HOG	OG	Gene Tree Parent Clade	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum
N3.HOG0004489	OG0002235	n0					Solyc07T001136.1
N3.HOG0004490	OG0002240	n0			CA11g12800		
N3.HOG0004491	OG0002249	n0			CA06g21330		Solyc10T000757.1, Solyc06T002133.1
N3.HOG0004492	OG0002250	n11			CA02g29980		Solyc02T002232.1
N3.HOG0004493	OG0002250	n12			CA09g13630		Solyc12T000500.1
N3.HOG0004494	OG0002250	n13			CA00g00370, CA00g00380		Solyc03T002501.1
N3.HOG0004495	OG0002251	n13			CA04g17920		Solyc04T002585.1
N3.HOG0004496	OG0002251	n14			CA08g16870		Solyc01T003904.1
N3.HOG0004497	OG0002252	n0			CA01g06280		
N3.HOG0004498	OG0002253	n7					Solyc12T000035.1
N3.HOG0004499	OG0002253	n10			CA09g07330		Solyc05T002002.1
N3.HOG0004500	OG0002253	n11			CA09g07310, CA09g07250		Solyc12T000077.2, Solyc12T000076.1, Solyc08T001861.1
N3.HOG0004501	OG0002254	n0			CA01g01720		Solyc08T002430.1
N3.HOG0004502	OG0002260	n0			CA07g21250, CA07g21220		Solyc07T002817.1
N3.HOG0004503	OG0002262	n0			CA03g31000		Solyc03T003148.1
N3.HOG0004504	OG0002265	n2			CA06g07130, CA08g05150, CA00g77310, CA05g06270, CA00g77320, CA06g03260, CA02g15390		
N3.HOG0004505	OG0002265	n9			CA10g09960, CA06g13380, CA01g28800, CA09g04290		
N3.HOG0004506	OG0002265	n13			CA08g06710, CA01g13450, CA02g13070		
N3.HOG0004507	OG0002266	n0			CA06g17120, CA01g23670, CA01g15720, CA09g11020, CA08g07940, CA02g09940, CA05g11690, CA00g60570, CA07g09840, CA01g25180, CA12g12000, CA10g11890, CA10g09330, CA08g03140, CA08g04730		
N3.HOG0004508	OG0002267	n0			CA12g16860, CA04g06010, CA01g07660, CA12g11090, CA07g09970, CA01g09790, CA12g05700, CA10g08240, CA02g20810, CA07g05100, CA04g08720, CA09g03670, CA08g06150, CA03g10370		Solyc11T000943.1
N3.HOG0004509	OG0002268	n0			CA01g20510, CA01g08030, CA03g14910, CA00g58140, CA01g16940, CA10g09770, CA00g58150, CA00g86840, CA00g90220, CA03g14920, CA08g02580, CA03g15120, CA00g81580, CA00g68360, CA00g16490, CA07g05560		
N3.HOG0004510	OG0002269	n1			CA07g10860		Solyc02T002417.1
N3.HOG0004511	OG0002269	n2			CA11g09420, CA06g03770, CA12g13070, CA09g05080, CA02g26500, CA00g62280, CA02g28140, CA09g12790, CA05g09680, CA01g11810, CA03g19530, CA07g01460		Solyc12T001751.1, Solyc12T001744.1
N3.HOG0004512	OG0002270	n1			CA00g11090, CA11g05480, CA03g09430, CA03g17700		Solyc05T001887.1
N3.HOG0004513	OG0002270	n5			CA12g06710, CA01g13560, CA02g20730, CA03g09100, CA06g09920, CA02g21490, CA01g21070, CA11g14980, CA07g08330, CA00g80650		Solyc11T001493.1
N3.HOG0004514	OG0002271	n1			CA03g16330, CA00g47450		Solyc05T001709.1
N3.HOG0004515	OG0002271	n5			CA10g10740, CA12g12400		
N3.HOG0004516	OG0002271	n9			CA07g09120		Solyc05T000974.1
N3.HOG0004517	OG0002271	n10			CA01g17740		Solyc05T001539.1
N3.HOG0004518	OG0002271	n12			CA11g06840		Solyc05T000970.1
N3.HOG0004519	OG0002271	n13			CA11g12950, CA04g11300		Solyc10T001316.1
N3.HOG0004520	OG0002272	n0			CA01g25820, CA07g12320, CA07g03800, CA06g13220, CA12g14320, CA03g06670, CA00g15370, CA12g08670, CA04g11910, CA11g07860, CA12g15690, CA00g92860, CA02g05310, CA05g07250, CA12g04240, CA04g02810		
N3.HOG0004521	OG0002273	n4			CA11g12220		Solyc11T001994.1
N3.HOG0004522	OG0002273	n5			CA12g21630		Solyc12T002788.1, Solyc12T002792.1
N3.HOG0004523	OG0002273	n9			CA11g12580, CA01g27800		Solyc11T002000.1
N3.HOG0004524	OG0002273	n11			CA11g12210		Solyc11T001995.1
N3.HOG0004525	OG0002273	n13			CA11g12250		Solyc11T002002.1
N3.HOG0004526	OG0002273	n14			CA11g12560		Solyc11T002001.1
N3.HOG0004527	OG0002274	n1			CA07g13220		Solyc05T001501.1
N3.HOG0004528	OG0002274	n5			CA05g04510, CA00g89880, CA04g04980, CA00g86070, CA00g36480, CA01g28420		
N3.HOG0004529	OG0002274	n12			CA00g16010		Solyc05T000982.1
N3.HOG0004530	OG0002274	n13			CA04g11840		Solyc02T000343.1
N3.HOG0004531	OG0002274	n14			CA00g04530, CA01g32170		
N3.HOG0004532	OG0002275	n1			CA00g50580		Solyc04T000806.1
N3.HOG0004533	OG0002275	n2			CA09g06220, CA04g10990, CA11g10360, CA03g16750, CA07g12260, CA08g01720, CA08g02900, CA08g03540, CA03g17660, CA02g13930, CA10g02460, CA00g71880, CA03g11100		Solyc08T001051.1
N3.HOG0004534	OG0002276	n1			CA04g09060, CA00g70600, CA07g17150, CA09g05590, CA07g17490, CA00g91830, CA12g01270, CA06g08410, CA06g25580		Solyc09T001824.1
N3.HOG0004535	OG0002276	n10			CA02g15940, CA11g08270, CA12g18860, CA07g17480		Solyc06T000419.1, Solyc02T000080.1
N3.HOG0004536	OG0002277	n1			CA09g17760		Solyc12T000990.1
N3.HOG0004537	OG0002277	n4					Solyc12T000378.1, Solyc12T000364.1, Solyc10T001308.1, Solyc12T000379.1, Solyc12T000606.1
N3.HOG0004538	OG0002277	n10			CA03g11900		Solyc12T000363.1
N3.HOG0004539	OG0002277	n12			CA09g17750		Solyc04T001773.1
N3.HOG0004540	OG0002277	n13			CA09g08690, CA09g07470		Solyc12T000611.1
N3.HOG0004541	OG0002278	n0			CA03g16500		Solyc07T000594.1, Solyc07T000492.1, Solyc07T000484.1, Solyc07T000477.1, Solyc07T000488.1, Solyc07T000596.1, Solyc07T000481.1, Solyc11T002490.1, Solyc03T000430.1, Solyc07T000802.1, Solyc07T000803.1, Solyc07T000794.1, Solyc07T000790.1, Solyc07T000808.1, Solyc07T000789.1
N3.HOG0004542	OG0002279	n0			CA12g10910, CA03g19470		Solyc11T001667.1, Solyc09T001767.1, Solyc09T001758.1, Solyc09T001738.1, Solyc09T001768.1, Solyc09T001752.1, Solyc09T001736.1, Solyc09T001737.1, Solyc09T001776.1, Solyc09T001704.1, Solyc02T000207.1, Solyc11T000866.1, Solyc07T000737.1, Solyc11T001668.1
N3.HOG0004543	OG0002280	n0			CA06g12380		Solyc04T001366.1, Solyc04T001542.1, Solyc04T001420.1, Solyc04T001369.1, Solyc04T001540.1, Solyc04T001432.1, Solyc04T001536.1, Solyc04T001538.1, Solyc04T001425.1, Solyc04T001373.1, Solyc10T000554.1, Solyc08T000493.1, Solyc08T000488.1, Solyc10T000560.1, Solyc08T000486.1
N3.HOG0004544	OG0002281	n1			CA03g36730		Solyc06T001674.1
N3.HOG0004545	OG0002281	n2			CA00g45500, CA00g45510, CA06g16270, CA06g16280, CA06g16080, CA06g16290, CA06g16300, CA06g16250, CA03g00680, CA04g17040, CA09g16340, CA09g16000, CA09g16330		Solyc12T000241.2
N3.HOG0004546	OG0002283	n0					Solyc07T000716.1
N3.HOG0004547	OG0002285	n0					Solyc12T001161.1, Solyc01T000644.1, Solyc05T001573.1, Solyc05T001471.1, Solyc07T001086.1, Solyc01T000631.1, Solyc01T000776.1, Solyc01T000637.1, Solyc08T000917.1, Solyc03T001397.1, Solyc12T001160.1, Solyc09T001246.1, Solyc12T001355.1, Solyc10T001423.1, Solyc03T001398.1, Solyc01T000630.1
N3.HOG0004548	OG0002286	n0			CA03g30400		Solyc12T001878.1
N3.HOG0004549	OG0002287	n0			CA09g12330		Solyc09T000673.1
N3.HOG0004550	OG0002288	n3			CA00g64570		Solyc10T000449.1, Solyc01T002981.1
N3.HOG0004551	OG0002288	n10			CA01g00440		Solyc08T002547.1
N3.HOG0004552	OG0002289	n5			CA09g18650		Solyc07T002258.1
N3.HOG0004553	OG0002289	n8			CA09g18620, CA09g18680, CA09g18660		Solyc07T002257.1, Solyc07T002245.1
N3.HOG0004554	OG0002289	n12			CA09g18670, CA07g12770		Solyc04T000152.1
N3.HOG0004555	OG0002293	n6			CA10g11240		Solyc10T002111.1
N3.HOG0004556	OG0002293	n7			CA09g11960		Solyc09T000743.1
N3.HOG0004557	OG0002294	n1			CA06g25450		Solyc06T002004.1
N3.HOG0004558	OG0002294	n5			CA06g20080		
N3.HOG0004559	OG0002294	n6			CA06g25460		
N3.HOG0004560	OG0002295	n1			CA04g16870		Solyc04T002540.1
N3.HOG0004561	OG0002295	n6			CA02g07240		
N3.HOG0004562	OG0002296	n0			CA03g17350		Solyc03T000216.1
N3.HOG0004563	OG0002297	n4			CA09g04740		Solyc09T000459.1
N3.HOG0004564	OG0002297	n5			CA10g11600		Solyc10T002921.1
N3.HOG0004565	OG0002298	n5			CA12g22920, CA01g12170		PRAM_267.1.p1
N3.HOG0004566	OG0002300	n0			CA11g18170		Solyc11T002095.1
N3.HOG0004567	OG0002301	n0					Solyc09T002611.1
N3.HOG0004568	OG0002302	n0					Solyc11T002011.1, Solyc11T002009.1
N3.HOG0004569	OG0002303	n0			CA07g14220, CA01g26960		Solyc01T002257.3
N3.HOG0004570	OG0002304	n7			CA09g18520		Solyc12T000447.1
N3.HOG0004571	OG0002304	n8			CA07g02840		Solyc07T000225.1
N3.HOG0004572	OG0002304	n9			CA01g29000		Solyc01T000569.1, Solyc08T000838.1
N3.HOG0004573	OG0002305	n6					Solyc08T000426.1, Solyc08T000427.1, Solyc06T001105.1
N3.HOG0004574	OG0002305	n11			CA06g08090		Solyc06T001100.1
N3.HOG0004575	OG0002305	n12			CA01g29060		Solyc08T000422.3
N3.HOG0004576	OG0002306	n0			CA09g00080		Solyc09T000430.1
N3.HOG0004577	OG0002307	n8			CA05g10970		Solyc05T002032.1
N3.HOG0004578	OG0002307	n9			CA07g09820		Solyc07T000509.1
N3.HOG0004579	OG0002308	n3			CA01g25580		Solyc01T001970.1
N3.HOG0004580	OG0002308	n10			CA03g08950		Solyc09T002196.1
N3.HOG0004581	OG0002310	n0			CA09g10940, CA06g26960, CA08g10820		Solyc09T001960.2, Solyc01T003143.1
N3.HOG0004582	OG0002311	n10			CA06g10190		Solyc06T001083.1
N3.HOG0004583	OG0002311	n11			CA03g20560, CA03g20550, CA03g20570		Solyc03T001676.1
N3.HOG0004584	OG0002312	n4			CA10g05570, CA10g05820		Solyc05T001681.1, Solyc10T000043.3, Solyc10T000042.1
N3.HOG0004585	OG0002312	n12					Solyc10T000035.1
N3.HOG0004586	OG0002313	n1			CA03g20580		Solyc03T001675.1
N3.HOG0004587	OG0002313	n7					Solyc01T002999.1
N3.HOG0004588	OG0002314	n0			CA12g01150, CA12g00610		Solyc06T000081.1, Solyc11T000603.1
N3.HOG0004589	OG0002316	n0			CA06g13640		
N3.HOG0004590	OG0002317	n0			CA01g02960		Solyc12T002212.1, Solyc08T002346.1
N3.HOG0004591	OG0002318	n5			CA11g15580		Solyc11T002433.1
N3.HOG0004592	OG0002318	n9					Solyc11T001453.1
N3.HOG0004593	OG0002319	n0			CA08g09760		Solyc01T003036.1
N3.HOG0004594	OG0002320	n0			CA01g31490, CA11g10800		Solyc01T003852.1
N3.HOG0004595	OG0002321	n0					Solyc09T002503.1, Solyc06T000233.3
N3.HOG0004596	OG0002322	n4			CA02g19870, CA02g19880		
N3.HOG0004597	OG0002322	n9			CA00g96260, CA03g17900, CA03g29670		Solyc03T000360.1
N3.HOG0004598	OG0002324	n8			CA00g43000		
N3.HOG0004599	OG0002324	n11			CA10g20890, CA10g19340		
N3.HOG0004600	OG0002325	n0			CA10g14420, CA09g05540, CA10g04960		Solyc10T002940.2
N3.HOG0004601	OG0002326	n11			CA10g10410, CA11g18240		Solyc10T000474.1
N3.HOG0004602	OG0002326	n13			CA08g08230		Solyc01T002933.1
N3.HOG0004603	OG0002327	n8			CA03g09150		Solyc09T002181.1
N3.HOG0004604	OG0002327	n9			CA06g27600, CA06g25740		Solyc06T002765.1
N3.HOG0004605	OG0002328	n2			CA08g14930		Solyc09T001975.1
N3.HOG0004606	OG0002328	n10			CA04g00210		Solyc06T001161.1, Solyc03T000021.1
N3.HOG0004607	OG0002329	n0			CA08g05670		Solyc11T000058.4
N3.HOG0004608	OG0002331	n0			CA01g02700		Solyc03T001616.1
N3.HOG0004609	OG0002332	n1			CA03g08290, CA03g08280		Solyc09T002224.1
N3.HOG0004610	OG0002332	n9			CA07g16380, CA03g08620, CA06g03940		Solyc09T002222.1, Solyc09T002221.1
N3.HOG0004611	OG0002333	n12			CA10g13330		Solyc10T002108.1
N3.HOG0004612	OG0002333	n13			CA09g10180		Solyc10T002106.1
N3.HOG0004613	OG0002334	n0			CA12g04500		Solyc03T001277.4, Solyc03T001278.1, Solyc11T000333.1
N3.HOG0004614	OG0002335	n0			CA09g06020, CA09g00330, CA08g07470		Solyc09T000405.1
N3.HOG0004615	OG0002336	n0			CA09g13040		Solyc01T002759.1
N3.HOG0004616	OG0002337	n4					Solyc11T002115.1
N3.HOG0004617	OG0002337	n7			CA07g13670, CA00g84830, CA04g06790		Solyc03T000625.1
N3.HOG0004618	OG0002338	n0					Solyc05T001980.1, Solyc12T001422.1, Solyc05T001987.1
N3.HOG0004619	OG0002339	n0			CA04g17210		Solyc04T002487.1
N3.HOG0004620	OG0002340	n1			CA10g06550		
N3.HOG0004621	OG0002340	n2			CA08g06960		Solyc10T000587.1, Solyc05T002086.2, Solyc01T002816.1
N3.HOG0004622	OG0002341	n7			CA04g04090		Solyc06T002579.1
N3.HOG0004623	OG0002341	n10					Solyc09T000880.1
N3.HOG0004624	OG0002342	n1			CA01g20350, CA00g25610		Solyc04T001149.1
N3.HOG0004625	OG0002342	n7			CA00g81740		Solyc09T001217.1, Solyc09T001206.1, Solyc10T000859.1
N3.HOG0004626	OG0002342	n12					Solyc00T000018.1
N3.HOG0004627	OG0002342	n13					Solyc10T000858.1, Solyc09T001729.1
N3.HOG0004628	OG0002343	n0			CA12g13290, CA09g05820, CA00g79870, CA04g03540, CA01g29030, CA00g68310, CA04g14370, CA00g81520		
N3.HOG0004629	OG0002344	n0			CA03g30290, CA12g12820		Solyc12T001877.1, Solyc03T003040.1
N3.HOG0004630	OG0002346	n1			CA10g01200		Solyc10T000100.1
N3.HOG0004631	OG0002347	n5			CA12g14080		Solyc12T002247.1
N3.HOG0004632	OG0002347	n6			CA04g13540		Solyc04T002117.1
N3.HOG0004633	OG0002348	n2			CA01g00460		Solyc08T002545.1
N3.HOG0004634	OG0002348	n6			CA00g64590		Solyc01T002978.1
N3.HOG0004635	OG0002349	n6			CA06g27930		Solyc06T002707.1
N3.HOG0004636	OG0002349	n9			CA03g10110		Solyc09T002085.1
N3.HOG0004637	OG0002349	n10			CA03g05190		Solyc09T002543.1
N3.HOG0004638	OG0002351	n1			CA10g21020		Solyc10T002276.1
N3.HOG0004639	OG0002352	n0			CA10g09180		Solyc10T001326.1
N3.HOG0004640	OG0002353	n9			CA01g09840		Solyc08T001675.2
N3.HOG0004641	OG0002353	n10			CA12g19140		Solyc12T002580.1
N3.HOG0004642	OG0002354	n0			CA00g68520		
N3.HOG0004643	OG0002355	n3			CA01g25540		Solyc01T001979.1
N3.HOG0004644	OG0002356	n0			CA00g79480, CA00g94390, CA03g02730		Solyc10T001603.1
N3.HOG0004645	OG0002358	n6			CA03g04890		Solyc09T002556.1
N3.HOG0004646	OG0002358	n7			CA04g00660		Solyc03T000061.1
N3.HOG0004647	OG0002359	n0			CA06g15600, CA03g36630		Solyc03T003582.1
N3.HOG0004648	OG0002360	n10			CA06g00500, CA00g89100, CA00g89080		Solyc06T000287.1
N3.HOG0004649	OG0002360	n13			CA06g11220		Solyc06T001275.1
N3.HOG0004650	OG0002361	n0			CA04g21310, CA11g00190		Solyc05T000362.1
N3.HOG0004651	OG0002362	n7			CA00g78500		Solyc03T003427.1
N3.HOG0004652	OG0002362	n8			CA06g16350		Solyc06T001404.1
N3.HOG0004653	OG0002363	n9			CA12g21620		Solyc12T002791.1
N3.HOG0004654	OG0002363	n10			CA00g80900		Solyc12T002787.1
N3.HOG0004655	OG0002364	n11			CA03g19050		Solyc03T000261.1
N3.HOG0004656	OG0002364	n12			CA12g08810, CA06g05660		Solyc06T000745.1
N3.HOG0004657	OG0002365	n0			CA04g14740		Solyc12T002287.1, Solyc04T002213.1
N3.HOG0004658	OG0002366	n0			CA03g07220		Solyc09T002373.1
N3.HOG0004659	OG0002367	n2			CA06g16770		
N3.HOG0004660	OG0002367	n4			CA03g34530		
N3.HOG0004661	OG0002368	n2			CA01g30930		
N3.HOG0004662	OG0002368	n5			CA01g30940, CA01g30950, CA12g06370, CA12g06300, CA00g97560, CA12g06320, CA12g06340, CA12g06290		
N3.HOG0004663	OG0002369	n8			CA03g18410, CA03g18400		
N3.HOG0004664	OG0002369	n12			CA01g02470		
N3.HOG0004665	OG0002370	n6			CA02g30600		Solyc02T002907.1
N3.HOG0004666	OG0002370	n10			CA03g36580		Solyc03T003583.1
N3.HOG0004667	OG0002371	n7			CA10g20280		Solyc10T002315.1
N3.HOG0004668	OG0002371	n8			CA05g00410		Solyc04T000723.1
N3.HOG0004669	OG0002372	n1			CA11g00410		Solyc05T000379.1
N3.HOG0004670	OG0002372	n7			CA05g10330		Solyc04T001030.1, Solyc04T001026.1
N3.HOG0004671	OG0002373	n8			CA00g83860		Solyc06T000104.1
N3.HOG0004672	OG0002374	n9			CA03g16880		Solyc03T001771.1
N3.HOG0004673	OG0002374	n10			CA03g16890		Solyc06T000634.1
N3.HOG0004674	OG0002375	n0			CA12g15270, CA02g23240		Solyc03T001674.1
N3.HOG0004675	OG0002376	n12			CA06g05830		Solyc06T000739.1
N3.HOG0004676	OG0002376	n13			CA03g25600		Solyc03T000273.1
N3.HOG0004677	OG0002377	n1			CA12g09890		Solyc04T001861.1
N3.HOG0004678	OG0002377	n7			CA06g10030		Solyc06T000114.1
N3.HOG0004679	OG0002378	n2			CA09g18310		Solyc12T000408.1
N3.HOG0004680	OG0002378	n6			CA03g32060		Solyc03T002963.1
N3.HOG0004681	OG0002379	n0			CA02g17870		Solyc10T000041.1, Solyc02T001702.2
N3.HOG0004682	OG0002380	n0			CA00g66990		Solyc01T003298.1
N3.HOG0004683	OG0002381	n11			CA02g10710		Solyc04T000714.1, Solyc02T001217.1
N3.HOG0004684	OG0002381	n13			CA06g02760		Solyc06T000132.1
N3.HOG0004685	OG0002382	n7			CA08g17800, CA03g08220		Solyc01T002800.1
N3.HOG0004686	OG0002382	n9			CA08g17820		Solyc01T004071.1
N3.HOG0004687	OG0002382	n11			CA00g72650		Solyc01T002250.1
N3.HOG0004688	OG0002382	n12			CA01g26990, CA01g27020		Solyc01T004070.1
N3.HOG0004689	OG0002383	n5			CA06g17100		Solyc06T001736.2
N3.HOG0004690	OG0002383	n6			CA03g31770		Solyc03T002935.1
N3.HOG0004691	OG0002383	n7			CA08g03130, CA08g03110		Solyc08T001460.1, Solyc08T001459.1
N3.HOG0004692	OG0002384	n0			CA06g03490		Solyc08T001335.1
N3.HOG0004693	OG0002385	n0			CA08g14220		Solyc12T001891.1, Solyc03T001751.1, Solyc01T003588.2
N3.HOG0004694	OG0002386	n0			CA00g80910		Solyc01T003360.2
N3.HOG0004695	OG0002387	n2			CA01g03560		Solyc08T002277.1
N3.HOG0004696	OG0002387	n4			CA03g16800		Solyc03T000177.1
N3.HOG0004697	OG0002388	n1			CA01g26810		Solyc01T002263.2
N3.HOG0004698	OG0002388	n6			CA00g84650		Solyc05T002503.1, Solyc09T002795.1
N3.HOG0004699	OG0002389	n5					Solyc04T000170.2
N3.HOG0004700	OG0002389	n8			CA03g32970		Solyc03T003188.1
N3.HOG0004701	OG0002390	n8			CA03g25500		Solyc03T000278.1
N3.HOG0004702	OG0002390	n10			CA03g18900		Solyc03T000280.1
N3.HOG0004703	OG0002390	n11			CA03g25480		Solyc03T000279.1
N3.HOG0004704	OG0002391	n0			CA02g11460, CA01g20640, CA12g13240, CA11g09280, CA00g68230, CA09g13670		
N3.HOG0004705	OG0002392	n1			CA12g09210		Solyc04T001660.2
N3.HOG0004706	OG0002392	n7			CA12g14050		Solyc12T002266.2
N3.HOG0004707	OG0002393	n0			CA06g24820		Solyc06T002478.1
N3.HOG0004708	OG0002394	n1			CA07g14550		Solyc07T002235.1
N3.HOG0004709	OG0002394	n7			CA02g13490		Solyc02T001376.1
N3.HOG0004710	OG0002395	n1			CA01g16500, CA06g21930		Solyc06T002186.1
N3.HOG0004711	OG0002395	n11			CA12g04330		Solyc11T000340.1
N3.HOG0004712	OG0002396	n0					Solyc06T001490.1
N3.HOG0004713	OG0002397	n1			CA07g20290		Solyc07T002702.1
N3.HOG0004714	OG0002397	n8			CA06g04580		Solyc06T000058.1
N3.HOG0004715	OG0002398	n0					Solyc03T002999.1
N3.HOG0004716	OG0002399	n1			CA07g19000		Solyc07T002629.2
N3.HOG0004717	OG0002399	n9			CA07g11920		Solyc07T001942.1
N3.HOG0004718	OG0002399	n10			CA09g07440		Solyc12T000086.1
N3.HOG0004719	OG0002400	n3			CA12g12580		Solyc12T001835.3
N3.HOG0004720	OG0002400	n4			CA03g31230		Solyc03T003116.1
N3.HOG0004721	OG0002401	n4			CA02g14140		Solyc02T001441.1
N3.HOG0004722	OG0002401	n9			CA07g17030, CA10g01660		Solyc10T000236.1
N3.HOG0004723	OG0002401	n13					Solyc07T002212.1
N3.HOG0004724	OG0002402	n6			CA02g15520		Solyc02T001509.1
N3.HOG0004725	OG0002402	n9			CA00g84200		Solyc07T002077.1
N3.HOG0004726	OG0002403	n0					Solyc08T001456.1, Solyc06T000386.1
N3.HOG0004727	OG0002404	n1			CA10g18750		
N3.HOG0004728	OG0002404	n4			CA10g21910		Solyc10T002220.1
N3.HOG0004729	OG0002404	n6			CA10g18760		Solyc10T002485.1
N3.HOG0004730	OG0002404	n7			CA10g18740		Solyc10T002486.1
N3.HOG0004731	OG0002406	n0			CA03g30690		Solyc03T003082.3
N3.HOG0004732	OG0002407	n1			CA11g16660		Solyc11T002224.1
N3.HOG0004733	OG0002407	n8			CA09g00110		Solyc09T000435.1
N3.HOG0004734	OG0002408	n2			CA02g12300		Solyc02T001286.1
N3.HOG0004735	OG0002408	n8			CA10g19820, CA10g19990		Solyc10T002354.1, Solyc10T002367.2
N3.HOG0004736	OG0002409	n1			CA02g31060, CA02g09200		Solyc02T001076.1, Solyc02T002960.1
N3.HOG0004737	OG0002410	n3			CA12g02780		Solyc11T000510.1
N3.HOG0004738	OG0002410	n5			CA03g37140		
N3.HOG0004739	OG0002411	n1			CA07g04110		Solyc03T002950.1, Solyc07T000310.1
N3.HOG0004740	OG0002411	n9			CA03g32500		Solyc03T003013.1
N3.HOG0004741	OG0002412	n0			CA09g07160		Solyc07T001974.1, Solyc12T000071.1
N3.HOG0004742	OG0002413	n7			CA07g18010, CA00g93470		Solyc07T002522.1
N3.HOG0004743	OG0002413	n9			CA09g12630, CA09g13200		Solyc12T000601.1
N3.HOG0004744	OG0002414	n2			CA07g04080		Solyc07T000308.1
N3.HOG0004745	OG0002414	n6			CA06g13860		Solyc08T000968.1, Solyc06T001624.1
N3.HOG0004746	OG0002415	n5			CA10g18960		Solyc10T002465.1
N3.HOG0004747	OG0002415	n9			CA01g12440		Solyc01T000296.2
N3.HOG0004748	OG0002415	n10			CA01g12430, CA11g11960		Solyc11T001951.1
N3.HOG0004749	OG0002416	n1			CA01g09600		Solyc08T001712.1
N3.HOG0004750	OG0002416	n9			CA05g12210		Solyc05T001527.1
N3.HOG0004751	OG0002417	n0			CA12g12570, CA03g31190		Solyc03T003120.1
N3.HOG0004752	OG0002418	n11			CA01g21210		Solyc01T002492.1
N3.HOG0004753	OG0002418	n12			CA01g21240		Solyc01T002493.1
N3.HOG0004754	OG0002418	n13			CA01g21180, CA01g21190		
N3.HOG0004755	OG0002419	n9			CA11g17620		Solyc11T002151.1
N3.HOG0004756	OG0002419	n10			CA12g06350, CA12g06360, CA06g23180		Solyc06T002313.1
N3.HOG0004757	OG0002420	n0			CA01g10710		Solyc01T000136.1, Solyc01T000656.1, Solyc01T000676.1
N3.HOG0004758	OG0002421	n8			CA08g07390		Solyc01T002860.1
N3.HOG0004759	OG0002421	n10			CA05g12140		Solyc05T002100.1
N3.HOG0004760	OG0002421	n11			CA10g06480, CA10g06470, CA05g12150		Solyc10T000547.1
N3.HOG0004761	OG0002422	n2			CA10g00550		Solyc10T000195.1
N3.HOG0004762	OG0002422	n3			CA07g17760, CA00g19900		Solyc12T000617.1
N3.HOG0004763	OG0002423	n7			CA09g13050		Solyc12T000622.1
N3.HOG0004764	OG0002423	n8			CA07g17660		Solyc07T002492.1
N3.HOG0004765	OG0002424	n0			CA11g15830, CA11g15820, CA11g15840		Solyc11T002444.1
N3.HOG0004766	OG0002425	n0			CA00g44070		Solyc12T000641.1, Solyc07T002218.2
N3.HOG0004767	OG0002426	n1			CA11g19030		Solyc11T002297.1
N3.HOG0004768	OG0002426	n8			CA01g07890		Solyc04T001358.1
N3.HOG0004769	OG0002427	n0			CA07g02070, CA07g02100		Solyc07T000044.2
N3.HOG0004770	OG0002428	n4			CA12g11850		Solyc07T001305.1, Solyc11T001150.1, Solyc10T000717.1
N3.HOG0004771	OG0002428	n7			CA02g02880, CA10g07340, CA01g19120, CA06g13350, CA04g12320, CA06g12810, CA10g14890		Solyc07T001306.1
N3.HOG0004772	OG0002429	n7			CA01g16490		Solyc01T001247.1
N3.HOG0004773	OG0002429	n12			CA01g16480		
N3.HOG0004774	OG0002430	n3			CA12g01440		Solyc11T000555.1
N3.HOG0004775	OG0002430	n4			CA06g09130, CA09g00280, CA09g06070, CA12g02070		Solyc06T001140.1
N3.HOG0004776	OG0002431	n1			CA07g17970		Solyc07T002519.1
N3.HOG0004777	OG0002431	n8			CA00g63860		Solyc02T001587.1
N3.HOG0004778	OG0002432	n0			CA07g06530		Solyc05T001582.1, Solyc07T001487.1
N3.HOG0004779	OG0002433	n0			CA07g05190		Solyc07T001530.1
N3.HOG0004780	OG0002434	n0			CA03g26290		Solyc03T002452.1
N3.HOG0004781	OG0002435	n0			CA00g60360, CA02g04710		Solyc02T001187.1
N3.HOG0004782	OG0002436	n6			CA02g20370, CA02g20380		Solyc02T001793.1, Solyc02T001792.1
N3.HOG0004783	OG0002436	n9			CA04g04110		Solyc03T000499.1
N3.HOG0004784	OG0002437	n7			CA11g07890		Solyc05T000045.2
N3.HOG0004785	OG0002438	n0			CA11g14580		Solyc11T002475.1
N3.HOG0004786	OG0002439	n0			CA12g14450		Solyc04T001848.1
N3.HOG0004787	OG0002440	n7			CA00g93950, CA12g15850		Solyc12T002353.1
N3.HOG0004788	OG0002440	n10			CA03g00760		Solyc09T002765.1
N3.HOG0004789	OG0002441	n0			CA11g05500, CA08g04500		Solyc05T000200.2
N3.HOG0004790	OG0002442	n5			CA04g17120		Solyc04T002478.1
N3.HOG0004791	OG0002442	n9			CA02g24340		Solyc02T002683.2
N3.HOG0004792	OG0002443	n0			CA05g08580, CA04g15790, CA00g45240, CA06g14450, CA03g06950		Solyc09T001507.1, Solyc09T001505.1, Solyc09T001506.1
N3.HOG0004793	OG0002444	n0			CA02g03990, CA02g00440		Solyc02T001166.1, Solyc02T000331.1
N3.HOG0004794	OG0002445	n0			CA00g80440		Solyc02T001598.1
N3.HOG0004795	OG0002446	n0			CA03g27030		Solyc03T002546.1, Solyc05T000020.2
N3.HOG0004796	OG0002447	n1			CA06g16360		Solyc11T001109.1
N3.HOG0004797	OG0002447	n11			CA06g15200		Solyc06T001538.1, Solyc06T001537.1
N3.HOG0004798	OG0002448	n7			CA00g60610		
