Orthogroup	Arachis_hypogaea	Solanum_lycopersicum
OG0000984	arahy.Tifrunner.gnm1.ann1.NQPD42.1, arahy.Tifrunner.gnm1.ann1.R4XPT2.1, arahy.Tifrunner.gnm1.ann1.R1RGSZ.1, arahy.Tifrunner.gnm1.ann1.MV2SR8.1	Solyc06T000946.1
OG0000984	arahy.Tifrunner.gnm1.ann1.R5V7VH.1, arahy.Tifrunner.gnm1.ann1.YDS48V.1, arahy.Tifrunner.gnm1.ann1.C25ZDC.1, arahy.Tifrunner.gnm1.ann1.PE6L90.1	Solyc09T000918.1
OG0000985	arahy.Tifrunner.gnm1.ann1.HAFQ9G.1, arahy.Tifrunner.gnm1.ann1.T5IY8Z.1	Solyc05T002160.1, Solyc01T002964.1
OG0000985	arahy.Tifrunner.gnm1.ann1.IA8S0M.1, arahy.Tifrunner.gnm1.ann1.S68IDS.1, arahy.Tifrunner.gnm1.ann1.LVRM3I.1, arahy.Tifrunner.gnm1.ann1.G4V3K2.1	Solyc08T002500.1
OG0000987	arahy.Tifrunner.gnm1.ann1.D3ZBZF.1, arahy.Tifrunner.gnm1.ann1.FZ7LA7.1, arahy.Tifrunner.gnm1.ann1.SXMW95.1, arahy.Tifrunner.gnm1.ann1.KTQ5NK.1, arahy.Tifrunner.gnm1.ann1.AGF01G.1, arahy.Tifrunner.gnm1.ann1.TG5IZ1.1	Solyc09T000558.1, Solyc10T002777.1
OG0000988	arahy.Tifrunner.gnm1.ann1.9XM5YI.1, arahy.Tifrunner.gnm1.ann1.0EN5GD.1, arahy.Tifrunner.gnm1.ann1.0513A0.1, arahy.Tifrunner.gnm1.ann1.RPGZ11.1	Solyc12T000327.1, Solyc07T001494.1
OG0000988	arahy.Tifrunner.gnm1.ann1.2547FM.1, arahy.Tifrunner.gnm1.ann1.G5DPCC.1	Solyc07T000403.2
OG0000989	arahy.Tifrunner.gnm1.ann1.9K247M.1, arahy.Tifrunner.gnm1.ann1.SB1I92.1, arahy.Tifrunner.gnm1.ann1.DYRS20.1, arahy.Tifrunner.gnm1.ann1.BBG51B.1, arahy.Tifrunner.gnm1.ann1.02PX6U.2, arahy.Tifrunner.gnm1.ann1.CIFX90.1	Solyc09T000352.1
OG0000990	arahy.Tifrunner.gnm1.ann1.PF76WK.1, arahy.Tifrunner.gnm1.ann1.Z23D3B.1, arahy.Tifrunner.gnm1.ann1.JWT6XR.1, arahy.Tifrunner.gnm1.ann1.K1QIEY.1, arahy.Tifrunner.gnm1.ann1.HG05DD.1, arahy.Tifrunner.gnm1.ann1.9J7JQ6.1, arahy.Tifrunner.gnm1.ann1.IKUR0B.1, arahy.Tifrunner.gnm1.ann1.KW4E90.1, arahy.Tifrunner.gnm1.ann1.Z5SK82.1, arahy.Tifrunner.gnm1.ann1.N7W281.1, arahy.Tifrunner.gnm1.ann1.YUT84C.1	Solyc12T002293.1, Solyc10T000512.1, Solyc04T002248.1
OG0000991	arahy.Tifrunner.gnm1.ann1.36PEC4.1, arahy.Tifrunner.gnm1.ann1.0CQJ15.1, arahy.Tifrunner.gnm1.ann1.F2F8FV.1, arahy.Tifrunner.gnm1.ann1.N5X18U.1, arahy.Tifrunner.gnm1.ann1.9KNF1J.1, arahy.Tifrunner.gnm1.ann1.FYP25E.1	Solyc10T002804.1, Solyc10T002156.1, Solyc10T002154.1
OG0000991	arahy.Tifrunner.gnm1.ann1.717FF7.1, arahy.Tifrunner.gnm1.ann1.KX8RC4.1	Solyc03T002048.1
OG0000992	arahy.Tifrunner.gnm1.ann1.18M8R5.1, arahy.Tifrunner.gnm1.ann1.5K396S.1, arahy.Tifrunner.gnm1.ann1.HT839T.1, arahy.Tifrunner.gnm1.ann1.C6CLGC.1, arahy.Tifrunner.gnm1.ann1.I8PQ41.1, arahy.Tifrunner.gnm1.ann1.7Y045D.1, arahy.Tifrunner.gnm1.ann1.L95KH7.1, arahy.Tifrunner.gnm1.ann1.5UA5U0.2, arahy.Tifrunner.gnm1.ann1.CMMP9X.1, arahy.Tifrunner.gnm1.ann1.GK85WT.1, arahy.Tifrunner.gnm1.ann1.M3PRP5.1, arahy.Tifrunner.gnm1.ann1.2YSW8E.2, arahy.Tifrunner.gnm1.ann1.HZL4S5.1	Solyc03T000365.1
OG0000993	arahy.Tifrunner.gnm1.ann1.2P3YG5.1, arahy.Tifrunner.gnm1.ann1.3R9A5K.1, arahy.Tifrunner.gnm1.ann1.5T510H.1, arahy.Tifrunner.gnm1.ann1.8LKN4P.1	Solyc06T001046.1, Solyc03T001749.1, Solyc01T002966.1, Solyc05T002159.1, Solyc10T000457.1
OG0000995	arahy.Tifrunner.gnm1.ann1.QHE7IT.1, arahy.Tifrunner.gnm1.ann1.4HL1MH.1	Solyc10T000164.1
OG0000995	arahy.Tifrunner.gnm1.ann1.PM64UH.1, arahy.Tifrunner.gnm1.ann1.HZCX8J.2, arahy.Tifrunner.gnm1.ann1.ZM6ZIL.1	Solyc06T002520.1
OG0000995	arahy.Tifrunner.gnm1.ann1.TH0EQN.1, arahy.Tifrunner.gnm1.ann1.23EIYW.1	Solyc02T001679.1
OG0000996	arahy.Tifrunner.gnm1.ann1.W0ZNBQ.1, arahy.Tifrunner.gnm1.ann1.D0TPSC.1, arahy.Tifrunner.gnm1.ann1.J2ZPCA.1, arahy.Tifrunner.gnm1.ann1.YL9UVR.1	Solyc06T000210.1
OG0000996	arahy.Tifrunner.gnm1.ann1.79M87P.1, arahy.Tifrunner.gnm1.ann1.3L8WES.1	Solyc02T001169.1
OG0000997	arahy.Tifrunner.gnm1.ann1.DP7WE9.1	Solyc01T002089.1
OG0000997	arahy.Tifrunner.gnm1.ann1.909YBZ.1, arahy.Tifrunner.gnm1.ann1.VIJ10A.1	Solyc01T001524.1, Solyc05T002454.1
OG0000998	arahy.Tifrunner.gnm1.ann1.26I3WB.1, arahy.Tifrunner.gnm1.ann1.QI3UGF.1	Solyc05T002384.1, Solyc06T002509.1
OG0000998	arahy.Tifrunner.gnm1.ann1.4PXD14.1, arahy.Tifrunner.gnm1.ann1.W9RD48.1	Solyc09T000653.1, Solyc10T002171.1
OG0000999	arahy.Tifrunner.gnm1.ann1.DT38XC.1, arahy.Tifrunner.gnm1.ann1.JHIU29.1, arahy.Tifrunner.gnm1.ann1.HV7TXL.1, arahy.Tifrunner.gnm1.ann1.V0H717.1, arahy.Tifrunner.gnm1.ann1.AD6V86.1, arahy.Tifrunner.gnm1.ann1.63P7R9.1	Solyc12T002648.1, Solyc06T000785.1, Solyc09T002646.1
OG0001000	arahy.Tifrunner.gnm1.ann1.MD3LS0.1, arahy.Tifrunner.gnm1.ann1.5185HY.1, arahy.Tifrunner.gnm1.ann1.JZ1PRS.1	Solyc09T002405.1
OG0001001	arahy.Tifrunner.gnm1.ann1.2WW2WS.1, arahy.Tifrunner.gnm1.ann1.4QLA4Z.1, arahy.Tifrunner.gnm1.ann1.GF06UQ.2, arahy.Tifrunner.gnm1.ann1.K54NA5.2	Solyc01T002825.3
OG0001001	arahy.Tifrunner.gnm1.ann1.WKC89F.1, arahy.Tifrunner.gnm1.ann1.WHQX43.1, arahy.Tifrunner.gnm1.ann1.T2XHT6.1, arahy.Tifrunner.gnm1.ann1.VX9EXA.1	Solyc08T002349.1, Solyc08T000309.1
OG0001002	arahy.Tifrunner.gnm1.ann1.07NAB6.1, arahy.Tifrunner.gnm1.ann1.PM8YSE.1	Solyc09T002635.1
OG0001002	arahy.Tifrunner.gnm1.ann1.79SS0U.1, arahy.Tifrunner.gnm1.ann1.0N6LTB.1	Solyc06T000189.1, Solyc06T002693.1, Solyc09T001845.1
OG0001003	arahy.Tifrunner.gnm1.ann1.F4JI80.1, arahy.Tifrunner.gnm1.ann1.RF2KBN.1	Solyc04T000702.1, Solyc10T002319.1
OG0001004	arahy.Tifrunner.gnm1.ann1.6G8285.1, arahy.Tifrunner.gnm1.ann1.48UGBA.1	Solyc10T002792.1, Solyc10T002172.1, Solyc09T000652.1
OG0001004	arahy.Tifrunner.gnm1.ann1.34QMY0.1, arahy.Tifrunner.gnm1.ann1.WSM0H5.1	Solyc06T002508.2
OG0001005	arahy.Tifrunner.gnm1.ann1.19WC2D.1	Solyc08T000984.1
OG0001005	arahy.Tifrunner.gnm1.ann1.JYE7Y9.1, arahy.Tifrunner.gnm1.ann1.QL9R2N.1, arahy.Tifrunner.gnm1.ann1.FSQ0ED.1	Solyc11T001914.1, Solyc07T000782.1
OG0001006	arahy.Tifrunner.gnm1.ann1.GDHS0B.1	Solyc09T001211.1
OG0001006	arahy.Tifrunner.gnm1.ann1.7VZ02V.1, arahy.Tifrunner.gnm1.ann1.3I3T69.1, arahy.Tifrunner.gnm1.ann1.X1UTTH.1, arahy.Tifrunner.gnm1.ann1.J0213X.1, arahy.Tifrunner.gnm1.ann1.RQ6CA8.1	Solyc09T001210.1
OG0001007	arahy.Tifrunner.gnm1.ann1.VW0TTK.1, arahy.Tifrunner.gnm1.ann1.5P5CS5.1	Solyc06T002729.1, Solyc09T002024.1
OG0001008	arahy.Tifrunner.gnm1.ann1.EGMR3D.1, arahy.Tifrunner.gnm1.ann1.L34K9S.1, arahy.Tifrunner.gnm1.ann1.KWV6UN.1, arahy.Tifrunner.gnm1.ann1.7SA5TE.1, arahy.Tifrunner.gnm1.ann1.RQZI72.1, arahy.Tifrunner.gnm1.ann1.7C4I10.1	Solyc08T002159.1, Solyc08T002160.1, Solyc08T002158.4
OG0001009	arahy.Tifrunner.gnm1.ann1.Z2GQ5K.1, arahy.Tifrunner.gnm1.ann1.83HUSC.1	Solyc07T000376.1, Solyc09T001646.1, Solyc07T000370.1, Solyc04T001140.1, Solyc07T000662.1, Solyc07T000663.1, Solyc07T000677.1, Solyc07T000678.1, Solyc07T000363.1, Solyc09T001648.1, Solyc09T001645.1, Solyc12T001183.1, Solyc12T001184.1
OG0001011	arahy.Tifrunner.gnm1.ann1.HTRQ4P.3	Solyc04T002256.1, Solyc07T001718.2, Solyc03T001884.1
OG0001011	arahy.Tifrunner.gnm1.ann1.PM92F7.1, arahy.Tifrunner.gnm1.ann1.0BP8ZB.1	Solyc12T002536.1, Solyc08T001392.2
OG0001012	arahy.Tifrunner.gnm1.ann1.WQU9DI.1, arahy.Tifrunner.gnm1.ann1.HRI3B0.1, arahy.Tifrunner.gnm1.ann1.KBR44A.1, arahy.Tifrunner.gnm1.ann1.STP0AL.1, arahy.Tifrunner.gnm1.ann1.0TP0XX.1	Solyc04T002222.1
OG0001013	arahy.Tifrunner.gnm1.ann1.9T7939.1, arahy.Tifrunner.gnm1.ann1.HRK85C.1	Solyc03T003271.1
OG0001013	arahy.Tifrunner.gnm1.ann1.EQC3K1.2, arahy.Tifrunner.gnm1.ann1.GYR9IA.1	Solyc05T000498.1
OG0001014	arahy.Tifrunner.gnm1.ann1.E7ZF1G.2, arahy.Tifrunner.gnm1.ann1.Q54IZ9.1	Solyc02T000869.1, Solyc02T000870.1, Solyc02T000866.1, Solyc02T002819.1
OG0001014	arahy.Tifrunner.gnm1.ann1.ZUK3ZD.1, arahy.Tifrunner.gnm1.ann1.RN6XTC.2	Solyc01T003957.1
OG0001015	arahy.Tifrunner.gnm1.ann1.3FE9AW.1, arahy.Tifrunner.gnm1.ann1.L7HHT1.1, arahy.Tifrunner.gnm1.ann1.Y6NHJS.1, arahy.Tifrunner.gnm1.ann1.T3EJFH.1	Solyc03T003321.2, Solyc06T001699.1
OG0001016	arahy.Tifrunner.gnm1.ann1.9U2UH9.1, arahy.Tifrunner.gnm1.ann1.T47WDV.1	Solyc12T002045.1, Solyc03T003430.2
OG0001016	arahy.Tifrunner.gnm1.ann1.0V74LF.1, arahy.Tifrunner.gnm1.ann1.2M482Q.2	Solyc07T001108.1
OG0001017	arahy.Tifrunner.gnm1.ann1.7CU32D.2, arahy.Tifrunner.gnm1.ann1.GLW41G.1, arahy.Tifrunner.gnm1.ann1.1T496B.2, arahy.Tifrunner.gnm1.ann1.V2WJE4.1, arahy.Tifrunner.gnm1.ann1.N0UQ4E.1, arahy.Tifrunner.gnm1.ann1.3RR4RB.1	Solyc12T000525.1, Solyc07T002315.1
OG0001018	arahy.Tifrunner.gnm1.ann1.F0YILW.1, arahy.Tifrunner.gnm1.ann1.DNVP1U.1	Solyc03T000985.1, Solyc05T002669.1, Solyc11T000302.1
OG0001018	arahy.Tifrunner.gnm1.ann1.G8D5NK.1, arahy.Tifrunner.gnm1.ann1.1WT5S9.1	Solyc09T000240.1
OG0001019	arahy.Tifrunner.gnm1.ann1.C4X96D.1, arahy.Tifrunner.gnm1.ann1.HX0053.1, arahy.Tifrunner.gnm1.ann1.YJKT09.1	Solyc09T002107.1
OG0001019	arahy.Tifrunner.gnm1.ann1.5HI5D0.1, arahy.Tifrunner.gnm1.ann1.T6398M.1, arahy.Tifrunner.gnm1.ann1.8CV590.1, arahy.Tifrunner.gnm1.ann1.07S39J.1	Solyc09T002559.1
OG0001020	arahy.Tifrunner.gnm1.ann1.R4PVYI.1, arahy.Tifrunner.gnm1.ann1.A049RL.1, arahy.Tifrunner.gnm1.ann1.LAST4K.1	Solyc08T000784.1
OG0001020	arahy.Tifrunner.gnm1.ann1.ZFFY2U.1, arahy.Tifrunner.gnm1.ann1.J9XL5M.1, arahy.Tifrunner.gnm1.ann1.JE53Y0.1, arahy.Tifrunner.gnm1.ann1.D10MHU.1, arahy.Tifrunner.gnm1.ann1.LWFR1C.1, arahy.Tifrunner.gnm1.ann1.Z84XTI.1, arahy.Tifrunner.gnm1.ann1.G70FPN.1	Solyc04T003039.1, Solyc06T000791.3
OG0001021	arahy.Tifrunner.gnm1.ann1.RGE3UE.1, arahy.Tifrunner.gnm1.ann1.LDG2HB.1, arahy.Tifrunner.gnm1.ann1.FZUB0X.1, arahy.Tifrunner.gnm1.ann1.0L0BEE.1	Solyc07T000608.1
OG0001021	arahy.Tifrunner.gnm1.ann1.E10R0K.1, arahy.Tifrunner.gnm1.ann1.KZ7LLB.1	Solyc12T002103.3, Solyc03T003547.1
OG0001022	arahy.Tifrunner.gnm1.ann1.TU458D.1, arahy.Tifrunner.gnm1.ann1.I50STK.1, arahy.Tifrunner.gnm1.ann1.GXB52G.1, arahy.Tifrunner.gnm1.ann1.3WGP8R.1	Solyc08T000328.1, Solyc12T002197.1, Solyc08T002442.1
OG0001023	arahy.Tifrunner.gnm1.ann1.B2M0SA.1	Solyc06T000480.1
OG0001023	arahy.Tifrunner.gnm1.ann1.CYZ3KW.1, arahy.Tifrunner.gnm1.ann1.V6U7IH.1, arahy.Tifrunner.gnm1.ann1.HA5ZC6.1	Solyc00T000015.1, Solyc00T000016.1
OG0001024	arahy.Tifrunner.gnm1.ann1.Q0RQ24.1, arahy.Tifrunner.gnm1.ann1.W9RZHZ.1	Solyc11T002343.1, Solyc06T002356.1
OG0001024	arahy.Tifrunner.gnm1.ann1.Z5DA2B.1, arahy.Tifrunner.gnm1.ann1.B29LWX.1	Solyc04T001053.1
OG0001025	arahy.Tifrunner.gnm1.ann1.GHD9XH.1, arahy.Tifrunner.gnm1.ann1.QT0JFD.1, arahy.Tifrunner.gnm1.ann1.7DAH0Y.1, arahy.Tifrunner.gnm1.ann1.YNG10Q.1, arahy.Tifrunner.gnm1.ann1.X51F92.1, arahy.Tifrunner.gnm1.ann1.LZE6WS.1, arahy.Tifrunner.gnm1.ann1.I1T3QD.1, arahy.Tifrunner.gnm1.ann1.07WNVU.1, arahy.Tifrunner.gnm1.ann1.WI0P5A.1, arahy.Tifrunner.gnm1.ann1.QQ9X2Y.3, arahy.Tifrunner.gnm1.ann1.6FX8FC.1, arahy.Tifrunner.gnm1.ann1.75KP2R.1	Solyc10T002259.1
OG0001027	arahy.Tifrunner.gnm1.ann1.T411S0.1, arahy.Tifrunner.gnm1.ann1.USCE91.1, arahy.Tifrunner.gnm1.ann1.644STB.1, arahy.Tifrunner.gnm1.ann1.QAL1ZF.1	Solyc07T002479.1, Solyc05T001122.1, Solyc07T002096.1
OG0001028	arahy.Tifrunner.gnm1.ann1.XRJ977.1, arahy.Tifrunner.gnm1.ann1.40T6WH.1, arahy.Tifrunner.gnm1.ann1.MEE04S.1, arahy.Tifrunner.gnm1.ann1.8160Y2.1	Solyc12T000084.1
OG0001029	arahy.Tifrunner.gnm1.ann1.H2P1IF.1, arahy.Tifrunner.gnm1.ann1.SB8ID5.1, arahy.Tifrunner.gnm1.ann1.2UYJ4Z.1, arahy.Tifrunner.gnm1.ann1.YQM1P4.1	Solyc02T001522.1, Solyc10T000321.1, Solyc07T002090.1
OG0001030	arahy.Tifrunner.gnm1.ann1.Y8JB9L.1, arahy.Tifrunner.gnm1.ann1.3STG0N.1, arahy.Tifrunner.gnm1.ann1.YQYW9N.1, arahy.Tifrunner.gnm1.ann1.ASAK87.1, arahy.Tifrunner.gnm1.ann1.F8E2AM.1, arahy.Tifrunner.gnm1.ann1.KGFT34.1, arahy.Tifrunner.gnm1.ann1.S6SHXY.1	Solyc07T001900.1
OG0001031	arahy.Tifrunner.gnm1.ann1.9V08HM.1	Solyc06T001680.1, Solyc03T003370.1, Solyc12T000244.1, Solyc12T001984.1
OG0001032	arahy.Tifrunner.gnm1.ann1.JI8LYR.1, arahy.Tifrunner.gnm1.ann1.09M2FB.1, arahy.Tifrunner.gnm1.ann1.C3IVFD.1	Solyc11T002301.1, Solyc11T002022.1, Solyc06T002370.1, Solyc04T001505.1, Solyc04T001507.1, Solyc04T001503.1, Solyc04T001509.1, Solyc04T001512.1, Solyc04T001504.1, Solyc04T001513.1, Solyc04T001506.1, Solyc04T001510.1, Solyc04T001508.1
OG0001033	arahy.Tifrunner.gnm1.ann1.IF0A72.1, arahy.Tifrunner.gnm1.ann1.663I25.1, arahy.Tifrunner.gnm1.ann1.R3SNN2.1, arahy.Tifrunner.gnm1.ann1.PVK25X.1	Solyc05T002766.1
OG0001033	arahy.Tifrunner.gnm1.ann1.3ML67S.1, arahy.Tifrunner.gnm1.ann1.MX3F0M.1	Solyc01T003598.1
OG0001034	arahy.Tifrunner.gnm1.ann1.67TJNT.1	Solyc11T002248.1, Solyc01T000362.1
OG0001036	arahy.Tifrunner.gnm1.ann1.4H3PV4.1, arahy.Tifrunner.gnm1.ann1.D699FL.1	Solyc03T000140.1, Solyc02T001552.2
OG0001036	arahy.Tifrunner.gnm1.ann1.Y8MVFP.1, arahy.Tifrunner.gnm1.ann1.ZH58RF.1	Solyc07T002110.1
OG0001037	arahy.Tifrunner.gnm1.ann1.555DAI.1, arahy.Tifrunner.gnm1.ann1.552TW2.2	Solyc07T001507.1, Solyc12T000336.1
OG0001038	arahy.Tifrunner.gnm1.ann1.25GHKR.1, arahy.Tifrunner.gnm1.ann1.FB2YWA.1	Solyc06T001610.1, Solyc03T003001.1
OG0001039	arahy.Tifrunner.gnm1.ann1.IQ4AXA.1, arahy.Tifrunner.gnm1.ann1.81R11T.1	Solyc08T001310.4
OG0001039	arahy.Tifrunner.gnm1.ann1.MK4DX9.1, arahy.Tifrunner.gnm1.ann1.84EG73.1, arahy.Tifrunner.gnm1.ann1.JE0YWU.1, arahy.Tifrunner.gnm1.ann1.V7GITX.1, arahy.Tifrunner.gnm1.ann1.U7X5PN.1, arahy.Tifrunner.gnm1.ann1.A2Z5WA.1	Solyc07T001303.1
OG0001040	arahy.Tifrunner.gnm1.ann1.ALW2B1.1, arahy.Tifrunner.gnm1.ann1.0FI6RG.1, arahy.Tifrunner.gnm1.ann1.UDJX6I.1, arahy.Tifrunner.gnm1.ann1.GSLK7G.1, arahy.Tifrunner.gnm1.ann1.6J3HHE.1, arahy.Tifrunner.gnm1.ann1.QZN0LQ.1, arahy.Tifrunner.gnm1.ann1.JH8TMD.1, arahy.Tifrunner.gnm1.ann1.K0UY8K.1	Solyc05T002477.1, Solyc12T002649.1, Solyc06T000783.1, Solyc09T002676.1
OG0001042	arahy.Tifrunner.gnm1.ann1.P7D082.1, arahy.Tifrunner.gnm1.ann1.0RJM1Q.1, arahy.Tifrunner.gnm1.ann1.HGTY5Y.2, arahy.Tifrunner.gnm1.ann1.31F6F0.2	Solyc03T002813.1, Solyc06T001892.1
OG0001042	arahy.Tifrunner.gnm1.ann1.IC58FC.1, arahy.Tifrunner.gnm1.ann1.F33TLL.1	PRAM_25853.1.p1, Solyc03T001413.1, Solyc02T002423.1
OG0001043	arahy.Tifrunner.gnm1.ann1.9UC92R.1, arahy.Tifrunner.gnm1.ann1.6G7EGE.1	Solyc02T002397.1
OG0001043	arahy.Tifrunner.gnm1.ann1.MN60MU.1, arahy.Tifrunner.gnm1.ann1.E24V4Y.1	Solyc01T000512.1
OG0001044	arahy.Tifrunner.gnm1.ann1.YLP5M7.1	Solyc01T003287.1
OG0001044	arahy.Tifrunner.gnm1.ann1.3G7FB6.1, arahy.Tifrunner.gnm1.ann1.VPJ94B.1, arahy.Tifrunner.gnm1.ann1.YLWP30.1, arahy.Tifrunner.gnm1.ann1.T42CFX.1	Solyc06T001054.1, Solyc03T001718.2, Solyc08T002531.2
OG0001045	arahy.Tifrunner.gnm1.ann1.VBG525.1, arahy.Tifrunner.gnm1.ann1.DH0IQZ.1, arahy.Tifrunner.gnm1.ann1.ACVJ7P.1	Solyc02T000704.1, Solyc03T000573.1
OG0001045	arahy.Tifrunner.gnm1.ann1.6DW5D6.1, arahy.Tifrunner.gnm1.ann1.P9T58S.1, arahy.Tifrunner.gnm1.ann1.C1YSMR.1, arahy.Tifrunner.gnm1.ann1.EUG4LP.1	Solyc01T004299.1
OG0001046	arahy.Tifrunner.gnm1.ann1.WMG1IV.1, arahy.Tifrunner.gnm1.ann1.HT4C7P.1	Solyc04T002352.3
OG0001046	arahy.Tifrunner.gnm1.ann1.RP0VY0.1, arahy.Tifrunner.gnm1.ann1.QIB13C.1, arahy.Tifrunner.gnm1.ann1.46W8J9.1, arahy.Tifrunner.gnm1.ann1.FKJ1CZ.1	Solyc04T000493.1, Solyc11T000397.1
OG0001047	arahy.Tifrunner.gnm1.ann1.483GQE.2, arahy.Tifrunner.gnm1.ann1.T6F2TX.1	Solyc02T002867.1
OG0001048	arahy.Tifrunner.gnm1.ann1.S5YSLN.1, arahy.Tifrunner.gnm1.ann1.X0XPJN.1	Solyc03T003129.1
OG0001048	arahy.Tifrunner.gnm1.ann1.N2VJYT.1, arahy.Tifrunner.gnm1.ann1.FL5QND.1, arahy.Tifrunner.gnm1.ann1.Z9XA8H.1, arahy.Tifrunner.gnm1.ann1.EA8RPB.1	Solyc01T001977.1, Solyc06T001217.1
OG0001049	arahy.Tifrunner.gnm1.ann1.D1TSEC.1, arahy.Tifrunner.gnm1.ann1.T4NGX3.1	Solyc06T000027.1, Solyc06T002404.2, Solyc11T002562.1
OG0001050	arahy.Tifrunner.gnm1.ann1.N6VT35.1, arahy.Tifrunner.gnm1.ann1.BFP0WX.1	Solyc12T000230.2
OG0001050	arahy.Tifrunner.gnm1.ann1.PPX5M3.1, arahy.Tifrunner.gnm1.ann1.YB6FQL.1	Solyc08T001473.1, Solyc04T000010.1, Solyc05T000092.1, Solyc05T000093.1, Solyc05T000090.1, Solyc05T000084.1, Solyc05T000087.1, Solyc05T000088.1
OG0001051	arahy.Tifrunner.gnm1.ann1.GL05UA.1, arahy.Tifrunner.gnm1.ann1.6E1MSX.1, arahy.Tifrunner.gnm1.ann1.56IG2I.1, arahy.Tifrunner.gnm1.ann1.HZ9QE4.1	Solyc10T001949.1, Solyc01T004322.1
OG0001052	arahy.Tifrunner.gnm1.ann1.JKDT9F.1, arahy.Tifrunner.gnm1.ann1.5YY8MK.1	Solyc03T001637.1
OG0001052	arahy.Tifrunner.gnm1.ann1.P1C30N.2, arahy.Tifrunner.gnm1.ann1.5HN39H.2, arahy.Tifrunner.gnm1.ann1.NMVH4Q.1, arahy.Tifrunner.gnm1.ann1.RSKR16.1	Solyc10T002490.1, Solyc10T002211.1
OG0001053	arahy.Tifrunner.gnm1.ann1.90BUAB.1, arahy.Tifrunner.gnm1.ann1.SQ16A9.1	Solyc07T002031.1
OG0001053	arahy.Tifrunner.gnm1.ann1.P9RAT5.1, arahy.Tifrunner.gnm1.ann1.31U2MU.1	Solyc01T003669.1
OG0001054	arahy.Tifrunner.gnm1.ann1.6Y71DM.2, arahy.Tifrunner.gnm1.ann1.SLB5B7.2, arahy.Tifrunner.gnm1.ann1.LIG486.2, arahy.Tifrunner.gnm1.ann1.2N14G0.2	Solyc03T001992.1
OG0001054	arahy.Tifrunner.gnm1.ann1.SBBQ0G.1, arahy.Tifrunner.gnm1.ann1.TD0XCK.1, arahy.Tifrunner.gnm1.ann1.I0VZYV.1, arahy.Tifrunner.gnm1.ann1.T67UVY.1	Solyc06T002594.1
OG0001055	arahy.Tifrunner.gnm1.ann1.QGFJ76.1, arahy.Tifrunner.gnm1.ann1.AS0C7C.1	Solyc10T000426.1, Solyc03T000133.1
OG0001056	arahy.Tifrunner.gnm1.ann1.29A50M.1	Solyc04T000074.1, Solyc05T000222.1
OG0001056	arahy.Tifrunner.gnm1.ann1.YX8FPP.1, arahy.Tifrunner.gnm1.ann1.NL7LZS.1, arahy.Tifrunner.gnm1.ann1.HR6FN8.1, arahy.Tifrunner.gnm1.ann1.2031JR.1	Solyc02T000996.1, Solyc02T002357.1
OG0001057	arahy.Tifrunner.gnm1.ann1.19VE15.1, arahy.Tifrunner.gnm1.ann1.EMB553.1	Solyc05T000738.1
OG0001057	arahy.Tifrunner.gnm1.ann1.6E1X4T.1, arahy.Tifrunner.gnm1.ann1.4PE6XX.1, arahy.Tifrunner.gnm1.ann1.I3KG3W.2, arahy.Tifrunner.gnm1.ann1.A2LG4B.2	Solyc02T002408.1, Solyc03T001393.1
OG0001058	arahy.Tifrunner.gnm1.ann1.UFS61Q.1	Solyc11T001072.1
OG0001059	arahy.Tifrunner.gnm1.ann1.ES1ZP9.1, arahy.Tifrunner.gnm1.ann1.SLJ44W.1, arahy.Tifrunner.gnm1.ann1.FNSI1P.1, arahy.Tifrunner.gnm1.ann1.7U2XF6.1	Solyc07T002287.2
OG0001059	arahy.Tifrunner.gnm1.ann1.LB8X36.1, arahy.Tifrunner.gnm1.ann1.AS063A.1	Solyc02T001330.2
OG0001060	arahy.Tifrunner.gnm1.ann1.U0U8AP.1	Solyc12T000649.1, Solyc09T001591.1, Solyc08T001032.1, Solyc02T000141.1, Solyc10T001058.1, Solyc07T000893.1, Solyc12T001272.1, Solyc04T000975.1, Solyc12T001427.1
OG0001061	arahy.Tifrunner.gnm1.ann1.BJVR2W.1, arahy.Tifrunner.gnm1.ann1.DASS99.1	Solyc02T001661.1, Solyc07T000595.1, Solyc07T000490.1, Solyc07T000482.1, Solyc07T000485.1, Solyc07T000478.1, Solyc07T000495.1
OG0001062	arahy.Tifrunner.gnm1.ann1.4UE924.2, arahy.Tifrunner.gnm1.ann1.7804KT.2	Solyc01T004186.1, Solyc04T002847.1
OG0001062	arahy.Tifrunner.gnm1.ann1.0ZF8VJ.1, arahy.Tifrunner.gnm1.ann1.W1ERKC.1, arahy.Tifrunner.gnm1.ann1.7NQA48.1, arahy.Tifrunner.gnm1.ann1.L3XW27.1	Solyc02T002090.1
OG0001063	arahy.Tifrunner.gnm1.ann1.L8TCL4.1, arahy.Tifrunner.gnm1.ann1.M7F8U1.1	Solyc03T002544.1
OG0001063	arahy.Tifrunner.gnm1.ann1.U07FV9.1, arahy.Tifrunner.gnm1.ann1.F7BECR.1, arahy.Tifrunner.gnm1.ann1.VDQ67E.1, arahy.Tifrunner.gnm1.ann1.W5FTYI.1	Solyc06T000024.1
