Orthogroup	Prunus_persica	Solanum_lycopersicum
OG0003034	Prupe.1G113100.1	Solyc05T002455.1
OG0003035	Prupe.4G010300.1, Prupe.3G205000.1	Solyc05T002528.1, Solyc04T000563.1, Solyc11T000611.1
OG0003036	Prupe.5G165800.1, Prupe.5G165900.1	Solyc03T002482.2, Solyc06T002020.1
OG0003037	Prupe.7G179100.1	Solyc02T001944.1
OG0003038	Prupe.1G084700.1	Solyc07T000731.1
OG0003039	Prupe.7G132400.1, Prupe.7G132700.1, Prupe.7G132500.1, Prupe.7G132800.1	Solyc02T002627.1, Solyc02T002628.1
OG0003040	Prupe.3G206000.1, Prupe.4G224900.1	Solyc10T000109.1, Solyc07T002668.1
OG0003041	Prupe.1G075800.1	Solyc02T000024.1
OG0003042	Prupe.5G087100.1	Solyc08T002268.1, Solyc08T000283.1
OG0003043	Prupe.7G244100.1	Solyc07T000332.2
OG0003043	Prupe.1G480600.1	Solyc06T001628.1, Solyc08T001078.2
OG0003044	Prupe.5G185300.1, Prupe.6G263500.1	Solyc03T002601.1
OG0003045	Prupe.4G002900.1	Solyc04T000601.1
OG0003045	Prupe.6G025600.1	Solyc07T002737.3, Solyc10T000078.1
OG0003046	Prupe.6G025300.1	Solyc07T002734.1
OG0003047	Prupe.3G247300.1	Solyc02T002483.1
OG0003047	Prupe.1G295700.1	Solyc05T000601.1
OG0003048	Prupe.5G184600.1	Solyc06T001949.1, Solyc03T002594.1
OG0003049	Prupe.1G431700.1	Solyc12T002410.1, Solyc04T002639.1, Solyc03T002531.1
OG0003049	Prupe.6G231300.1	Solyc03T000786.2
OG0003050	Prupe.6G306100.1, Prupe.1G106800.1, Prupe.3G273300.1, Prupe.1G106900.1	Solyc01T003432.1
OG0003051	Prupe.3G248200.1, Prupe.5G210400.1	Solyc12T001676.1, Solyc06T001872.1, Solyc03T001214.1, Solyc03T002744.1
OG0003052	Prupe.4G223200.1	Solyc12T000703.1, Solyc07T002658.1
OG0003053	Prupe.6G039300.1	Solyc06T002599.1, Solyc06T002596.1, Solyc07T001574.1
OG0003055	Prupe.2G279900.1	Solyc03T001784.1
OG0003056	Prupe.1G210300.1	Solyc12T000456.1, Solyc07T000122.1
OG0003056	Prupe.3G315900.1	Solyc05T002637.1, Solyc11T000159.1
OG0003057	Prupe.5G074500.1, Prupe.5G074400.1	Solyc06T002066.1, Solyc03T002325.1
OG0003058	Prupe.7G004200.1	Solyc06T002371.1
OG0003059	Prupe.3G285000.1	Solyc02T002258.1
OG0003060	Prupe.3G310000.1	Solyc02T002963.1
OG0003060	Prupe.1G220900.1	Solyc01T000416.1, Solyc05T001502.1
OG0003061	Prupe.1G143900.1	Solyc06T001216.1
OG0003061	Prupe.8G251100.1	Solyc01T001988.1, Solyc01T001989.1, Solyc01T001990.3
OG0003062	Prupe.1G287800.1, Prupe.3G254600.1	Solyc03T001216.1
OG0003063	Prupe.6G317100.1	Solyc10T002749.1, Solyc09T000449.1
OG0003064	Prupe.1G482200.1	Solyc08T000953.1
OG0003065	Prupe.1G007100.1	Solyc09T002728.2
OG0003066	Prupe.1G164600.1	Solyc05T002498.1, Solyc09T002769.2
OG0003067	Prupe.1G145000.1	Solyc01T002229.1
OG0003067	Prupe.8G249600.1	Solyc06T000268.1
OG0003068	Prupe.7G016600.1	Solyc06T002142.1
OG0003070	Prupe.3G310800.1	Solyc02T002967.1
OG0003070	Prupe.1G220000.1	Solyc01T000411.1
OG0003071	Prupe.3G305100.1	Solyc02T001060.1
OG0003071	Prupe.5G156900.1	Solyc03T002381.1
OG0003073	Prupe.7G121600.1	Solyc10T002657.1, Solyc10T002860.1, Solyc09T000273.1
OG0003074	Prupe.7G004700.1, Prupe.6G003400.1	Solyc01T000051.1
OG0003075	Prupe.7G186900.1, Prupe.5G005300.1	Solyc02T001891.1
OG0003076	Prupe.1G222000.1, Prupe.3G308700.1	Solyc02T002952.1, Solyc02T001073.1
OG0003077	Prupe.6G247600.1, Prupe.6G247500.1, Prupe.6G247700.1	Solyc09T000071.1, Solyc03T001862.1
OG0003077	Prupe.8G100200.1	Solyc09T002570.2
OG0003078	Prupe.6G338700.1, Prupe.6G338800.1	Solyc01T003146.1
OG0003079	Prupe.6G174700.1	Solyc10T002327.1, Solyc03T001821.1, Solyc10T000620.1
OG0003081	Prupe.3G243800.1, Prupe.1G299600.1	Solyc05T000564.2
OG0003082	Prupe.1G324700.1	Solyc05T000303.2
OG0003083	Prupe.2G000200.1	Solyc01T000096.2
OG0003084	Prupe.3G003900.1, Prupe.1G106400.1	Solyc12T002724.1, Solyc05T002443.2
OG0003085	Prupe.5G013700.1	Solyc07T002300.1, Solyc10T000274.1
OG0003086	Prupe.4G016100.1	Solyc07T001819.3
OG0003087	Prupe.2G263700.1, Prupe.6G041400.1	Solyc06T000824.1, Solyc06T000862.1
OG0003088	Prupe.1G356400.1	Solyc04T002967.1
OG0003089	Prupe.4G242700.1	Solyc07T002713.1
OG0003089	Prupe.3G197300.1	Solyc12T000113.1
OG0003090	Prupe.4G253200.1, Prupe.4G253300.1, Prupe.4G252900.1, Prupe.3G129800.1, Prupe.3G129400.1, Prupe.3G129600.1, Prupe.3G127600.1, Prupe.3G119100.1, Prupe.3G129100.1, Prupe.3G119700.1	Solyc10T000315.1
OG0003091	Prupe.1G323500.1	Solyc04T000182.1, Solyc05T000320.1
OG0003092	Prupe.1G122900.1	Solyc09T002884.1, PRAM_141869.1.p1
OG0003093	Prupe.1G325900.1	Solyc05T000294.1
OG0003095	Prupe.5G211600.1	Solyc06T001868.1, Solyc03T002730.1, Solyc05T000546.1
OG0003096	Prupe.4G015000.1, Prupe.4G014800.1	Solyc02T000570.1
OG0003097	Prupe.2G132800.1	Solyc01T002598.1, Solyc01T002595.1
OG0003098	Prupe.4G103500.1, Prupe.4G103600.1	Solyc02T001168.1, PRAM_37008.1.p1
OG0003099	Prupe.1G118700.1	Solyc01T001654.1
OG0003100	Prupe.5G011500.1	Solyc04T002987.1
OG0003101	Prupe.1G314000.1	Solyc05T000414.1, Solyc05T000415.1
OG0003102	Prupe.6G357600.1	Solyc09T001807.1
OG0003102	Prupe.8G206600.1	Solyc06T000183.1
OG0003105	Prupe.1G295800.1, Prupe.3G246600.1	Solyc02T000939.1, Solyc02T002487.1
OG0003107	Prupe.1G462300.1	Solyc12T002577.1
OG0003108	Prupe.1G420800.1	Solyc12T002376.1
OG0003109	Prupe.8G220300.1	Solyc06T002703.3
OG0003109	Prupe.1G041700.1	Solyc09T002555.1
OG0003113	Prupe.5G192500.1, Prupe.5G191800.1, Prupe.5G191600.1, Prupe.5G191500.1, Prupe.5G192800.1, Prupe.5G192600.1, Prupe.5G192700.1	Solyc03T002890.2
OG0003126	Prupe.6G182200.1, Prupe.1G513600.1, Prupe.3G009400.1	Solyc12T002307.1, Solyc04T002285.1
OG0003130	Prupe.4G062900.1	Solyc02T001412.1, Solyc03T000113.1
OG0003139	Prupe.1G361100.1, Prupe.7G173300.1	Solyc02T001991.1
OG0003141	Prupe.1G466300.1, Prupe.7G226700.1	Solyc08T001570.1, Solyc08T001569.1
OG0003148	Prupe.3G178000.1, Prupe.4G138500.1	Solyc02T001198.1
OG0003148	Prupe.4G106100.1	Solyc07T001701.1, Solyc05T001366.1
OG0003151	Prupe.2G147000.1	Solyc01T002735.1
OG0003151	Prupe.5G082200.1	Solyc08T000261.1, Solyc08T002243.1
OG0003153	Prupe.1G487700.1, Prupe.2G185900.1, Prupe.2G186000.1, Prupe.1G487900.1, Prupe.1G487800.1, Prupe.1G488000.1, Prupe.1G488300.1, Prupe.1G488100.1, Prupe.1G488200.1, Prupe.1G488400.1	Solyc02T000484.1
OG0003155	Prupe.7G200300.1, Prupe.7G200200.1, Prupe.7G200100.1	Solyc07T001465.1
OG0003155	Prupe.3G041700.1	Solyc03T003532.1
OG0003156	Prupe.1G138500.1	Solyc01T001913.1
OG0003156	Prupe.8G256000.1	Solyc06T000279.1, Solyc09T002218.1
OG0003156	Prupe.6G323400.1	Solyc01T003271.1
OG0003164	Prupe.2G322300.1	Solyc06T002151.1, Solyc03T002123.1, Solyc03T002125.1, Solyc03T002124.1
OG0003169	Prupe.5G033400.1	Solyc05T001705.1
OG0003175	Prupe.5G157600.1	Solyc10T001759.1, Solyc10T001624.1, Solyc10T001625.1, Solyc10T001758.1, Solyc03T002422.2, Solyc05T001886.1, Solyc03T002417.1
OG0003177	Prupe.3G222100.1, Prupe.7G003400.1	Solyc07T001994.1, Solyc07T002001.1, Solyc07T002002.1, Solyc07T001985.5, Solyc07T001995.1, Solyc07T001996.1, Solyc07T001987.1
OG0003179	Prupe.7G254200.1, Prupe.1G525100.1, Prupe.7G254000.1, Prupe.7G253900.1, Prupe.7G254100.1, Prupe.7G254400.1, Prupe.7G254300.1, Prupe.7G254500.1	Solyc07T000219.1
OG0003179	Prupe.7G253800.1	Solyc07T000216.1, Solyc12T000445.1
OG0003180	Prupe.6G035400.1	Solyc10T001988.1, Solyc11T002478.1, Solyc10T001995.1, Solyc10T001997.1, Solyc10T002012.1, Solyc10T002003.1, Solyc10T001987.1, Solyc10T002006.1, Solyc10T001984.1, Solyc10T002010.1, Solyc10T001991.1
OG0003204	Prupe.7G094300.1	Solyc01T000174.1
OG0003206	Prupe.6G252600.1, Prupe.2G233000.1	Solyc09T000473.1, Solyc10T002924.1
OG0003207	Prupe.2G015300.1	Solyc01T002428.1, Solyc01T002434.1, Solyc01T002427.1
OG0003208	Prupe.2G244700.1	Solyc03T002083.1
OG0003208	Prupe.6G268900.1	Solyc10T002786.1, Solyc09T000601.1
OG0003211	Prupe.2G074400.1	Solyc11T000139.1, Solyc04T000348.1
OG0003211	Prupe.7G091900.1	Solyc01T000155.1
OG0003212	Prupe.2G157300.1, Prupe.2G157400.1	Solyc01T002746.1
OG0003213	Prupe.8G180500.1	Solyc04T000275.1
OG0003214	Prupe.1G073100.1, Prupe.3G019000.1	Solyc07T000344.1
OG0003215	Prupe.1G493600.1	Solyc01T003210.1, Solyc07T000299.1
OG0003216	Prupe.2G200800.1	Solyc12T002169.1, Solyc08T002584.1, Solyc08T000374.1
OG0003216	Prupe.6G249900.1	Solyc09T000441.1
OG0003218	Prupe.8G105800.1	Solyc01T004116.1
OG0003220	Prupe.2G249400.1, Prupe.5G155200.1, Prupe.5G155100.1	Solyc06T001024.2
OG0003221	Prupe.6G349400.1	Solyc04T000372.1
OG0003222	Prupe.2G177600.1	Solyc09T000106.1
OG0003223	Prupe.2G123000.1	Solyc06T000609.1
OG0003224	Prupe.7G211000.1	Solyc05T000873.1, Solyc05T001554.1, Solyc05T001309.1, Solyc07T001251.1
OG0003225	Prupe.7G097400.1	Solyc01T000195.1, Solyc10T002582.1
OG0003226	Prupe.2G196200.1	Solyc10T000439.1
OG0003227	Prupe.8G240900.1	Solyc09T001945.1
OG0003227	Prupe.1G154700.1	Solyc01T002135.1
OG0003228	Prupe.2G177500.1	Solyc01T002889.1
OG0003229	Prupe.7G093400.1	Solyc10T002569.1, Solyc01T000161.1
OG0003230	Prupe.2G209000.1	Solyc11T000325.1
OG0003231	Prupe.6G284100.1	Solyc09T000786.1
OG0003232	Prupe.7G262200.1	Solyc07T000050.1
OG0003233	Prupe.7G073000.1	Solyc10T002427.1, Solyc10T002260.1
OG0003235	Prupe.5G132900.1	Solyc10T000347.1
OG0003235	Prupe.3G137400.1	Solyc07T002123.1
OG0003236	Prupe.8G232000.1	Solyc09T002029.1, Solyc06T002728.3
OG0003237	Prupe.2G196500.1	Solyc10T000001.1
OG0003237	Prupe.5G131700.1	Solyc08T002573.1
OG0003238	Prupe.1G380600.1	Solyc01T003318.1, Solyc01T003150.1, Solyc04T002789.1
OG0003239	Prupe.2G147200.1	Solyc10T002597.1, Solyc03T000839.1
OG0003241	Prupe.2G178600.1	Solyc10T000516.1, Solyc01T002896.1
OG0003242	Prupe.4G028900.1	Solyc03T000461.1, Solyc02T001697.1
OG0003244	Prupe.7G023900.1	Solyc08T001481.1
OG0003245	Prupe.5G115400.1	Solyc08T002454.1, Solyc01T002928.1, Solyc10T000493.1
OG0003246	Prupe.6G263900.1	Solyc09T000557.1, Solyc10T002947.1
OG0003247	Prupe.6G212400.1	Solyc02T000837.1
OG0003247	Prupe.8G157300.1	Solyc01T003854.1
OG0003248	Prupe.6G092700.1	Solyc10T002714.2, Solyc10T002889.1, Solyc09T000132.1
OG0003249	Prupe.1G353900.1	Solyc02T000709.1, Solyc03T000585.1, Solyc02T002029.1
OG0003250	Prupe.6G284900.1	Solyc10T002818.1
OG0003252	Prupe.7G121000.1	Solyc10T002656.1, Solyc09T000284.1, Solyc10T002829.1
OG0003253	Prupe.3G045300.1, Prupe.7G205700.1	Solyc07T001374.1, Solyc03T003474.1
OG0003254	Prupe.8G206400.1	Solyc09T001806.1
OG0003255	Prupe.8G216800.1	Solyc06T000202.1, Solyc09T002130.1
OG0003256	Prupe.1G463400.1	Solyc08T001713.1, Solyc08T000098.1
OG0003257	Prupe.6G288600.1	Solyc10T002105.1
OG0003258	Prupe.6G245800.1	Solyc09T000086.1, Solyc10T002732.1
OG0003259	Prupe.2G140900.1	Solyc01T002697.1
OG0003260	Prupe.8G211100.1	Solyc06T000192.1, Solyc09T001848.1
OG0003260	Prupe.1G054200.1	Solyc09T002634.2
OG0003261	Prupe.6G267800.1	Solyc10T002783.1, Solyc10T002954.1, Solyc06T000085.1, Solyc01T003310.1
OG0003262	Prupe.6G068500.1	Solyc08T001749.1, Solyc03T002117.1
OG0003263	Prupe.3G031200.1	Solyc03T003554.1
OG0003264	Prupe.2G241100.1	Solyc05T002409.1
OG0003265	Prupe.6G280300.1, Prupe.2G252100.1	Solyc06T000842.1
OG0003266	Prupe.7G097600.1, Prupe.6G140800.1, Prupe.6G136800.1, Prupe.8G051600.1	Solyc06T002259.1
OG0003267	Prupe.2G150800.1	Solyc10T000593.1, Solyc01T002786.1
OG0003268	Prupe.2G124100.1	Solyc01T002644.1, Solyc10T000807.1, Solyc01T002645.1
OG0003269	Prupe.5G114700.1, Prupe.2G183700.1	Solyc01T002926.1
OG0003270	Prupe.8G254800.1	Solyc09T002208.1
OG0003271	Prupe.1G054100.1	Solyc12T002645.1, Solyc09T002633.1
OG0003272	Prupe.2G044800.1, Prupe.2G047300.1	Solyc01T000327.1
OG0003273	Prupe.6G041000.1	Solyc06T002584.1
OG0003273	Prupe.6G293400.1	Solyc10T002082.6
OG0003274	Prupe.6G246400.1, Prupe.4G261600.1	Solyc06T002401.1, Solyc11T002552.1
OG0003277	Prupe.6G270500.1	Solyc09T000640.1, Solyc10T002788.1
OG0003278	Prupe.7G268400.1, Prupe.3G126000.1	Solyc08T001819.1
OG0003279	Prupe.2G107500.1	Solyc01T002303.1
OG0003280	Prupe.4G101600.1, Prupe.1G202200.1	Solyc12T000031.1, Solyc10T000159.1
OG0003281	Prupe.5G112100.1	Solyc08T001176.1, Solyc08T002439.1, Solyc08T002433.1
OG0003281	Prupe.2G182300.1	Solyc10T000504.1, Solyc01T002911.2
OG0003282	Prupe.3G031500.1	Solyc12T002107.1
OG0003283	Prupe.6G285100.1, Prupe.6G285200.1	Solyc10T002116.1, Solyc09T000762.1
OG0003284	Prupe.1G551600.1, Prupe.7G229900.1	Solyc10T002200.1
OG0003285	Prupe.3G032300.1	Solyc06T001448.1, Solyc12T002105.1, Solyc03T003545.1
OG0003286	Prupe.3G030000.1	Solyc12T002158.1, Solyc03T003568.1, Solyc06T001457.1
OG0003287	Prupe.7G127000.1	Solyc05T002670.1
OG0003288	Prupe.7G121500.1	Solyc09T000279.1, Solyc11T001600.1
OG0003289	Prupe.4G030900.1	Solyc03T000455.1, Solyc02T001680.1
OG0003290	Prupe.8G155900.1	Solyc01T003862.1
OG0003292	Prupe.6G270900.1	Solyc10T002790.1, Solyc09T000645.1
OG0003293	Prupe.1G433800.1	Solyc04T002657.1
OG0003294	Prupe.2G112100.1	Solyc01T002828.1
OG0003295	Prupe.2G144300.1, Prupe.8G261700.1	Solyc01T003301.1
OG0003296	Prupe.2G185500.1	Solyc01T002937.1, Solyc10T000473.2
OG0003297	Prupe.7G089300.1, Prupe.5G001900.1	Solyc10T002553.1, Solyc01T000142.1
OG0003301	Prupe.6G148300.1	Solyc11T002439.1, Solyc06T002247.1
OG0003302	Prupe.7G165600.1	Solyc03T000591.1
OG0003303	Prupe.1G350600.1	Solyc02T000060.2
OG0003304	Prupe.8G142500.1	Solyc04T001304.1
OG0003305	Prupe.4G127500.1	Solyc01T002660.1
OG0003305	Prupe.1G039300.1	Solyc09T002540.2
OG0003306	Prupe.3G020500.1	Solyc06T001469.1
OG0003307	Prupe.7G023500.1	Solyc10T002182.1
OG0003308	Prupe.1G182600.1	Solyc12T002713.1
OG0003309	Prupe.6G186500.1	Solyc12T002803.1
OG0003310	Prupe.6G307500.1	Solyc01T003421.2
OG0003310	Prupe.1G251000.1	Solyc05T000019.1
OG0003311	Prupe.1G180100.1	Solyc11T000020.1
OG0003312	Prupe.2G083400.1, Prupe.1G523200.1	Solyc11T000214.1
OG0003313	Prupe.1G474900.1	Solyc08T001156.1
OG0003314	Prupe.5G174100.1	Solyc03T002697.1, Solyc06T001986.2
OG0003315	Prupe.1G584200.1	Solyc08T002526.1, Solyc08T000351.1
OG0003316	Prupe.1G118100.1	Solyc09T000244.1, Solyc10T002671.1
OG0003317	Prupe.7G204400.1	Solyc07T001383.1
OG0003318	Prupe.3G085300.1, Prupe.7G036700.1, Prupe.7G244400.1	Solyc08T000549.1, Solyc07T000328.1
OG0003319	Prupe.2G298100.1	Solyc03T000338.1, Solyc06T000698.1
OG0003319	Prupe.5G102100.1	Solyc08T002372.2
OG0003320	Prupe.8G218100.1, Prupe.1G045900.1	Solyc03T000066.1, Solyc07T001860.1, Solyc09T002578.2
OG0003321	Prupe.7G242400.1	Solyc09T002698.1
OG0003322	Prupe.8G241500.1	Solyc09T001939.1
OG0003323	Prupe.1G533400.1, Prupe.1G572600.1	Solyc04T002444.1
OG0003324	Prupe.2G133800.1	Solyc01T002593.1
OG0003325	Prupe.8G204600.1	Solyc09T001781.1
OG0003326	Prupe.7G231700.1, Prupe.1G453300.1	Solyc08T001595.1
OG0003326	Prupe.3G069000.1	Solyc06T001693.1, Solyc03T003364.1
OG0003328	Prupe.4G283200.1, Prupe.5G013800.1	Solyc11T001727.2
OG0003329	Prupe.1G041500.1, Prupe.1G044700.1, Prupe.8G220700.1	Solyc09T002074.1, Solyc06T002704.1, Solyc06T000208.1
OG0003330	Prupe.3G056200.1	Solyc03T003402.1, Solyc03T003401.1
OG0003331	Prupe.3G051300.1	Solyc03T003432.1
OG0003332	Prupe.7G206700.1	Solyc06T001420.1, Solyc12T000304.1
OG0003333	Prupe.5G060100.1	Solyc08T002086.1
OG0003334	Prupe.6G305600.1	Solyc01T003439.1
OG0003335	Prupe.1G013500.1	Solyc11T000063.3, Solyc06T002188.1, Solyc03T001543.1
OG0003336	Prupe.3G176300.1, Prupe.8G030400.1	Solyc07T002320.1, Solyc10T000279.1
OG0003337	Prupe.1G155500.1	Solyc09T002314.1, Solyc06T001189.1
OG0003338	Prupe.2G298400.1	Solyc03T000332.1, Solyc03T000333.1
OG0003339	Prupe.3G098100.1	Solyc03T002964.1, Solyc06T001768.1
OG0003342	Prupe.6G083600.1, Prupe.2G230100.1	Solyc04T001956.1
OG0003343	Prupe.8G038400.1	Solyc04T000482.1, Solyc04T002157.1
OG0003347	Prupe.1G322000.1	Solyc05T000333.1
OG0003348	Prupe.4G196300.1, Prupe.4G288600.1	Solyc02T000790.2
OG0003349	Prupe.3G062100.1, Prupe.3G061700.1	Solyc03T003372.1
OG0003350	Prupe.8G021500.1	Solyc12T000425.1, Solyc02T001901.4, Solyc12T000745.1, Solyc02T000629.1
OG0003352	Prupe.6G302100.1	Solyc01T003459.1
OG0003353	Prupe.2G297500.1	Solyc03T000345.3, Solyc06T000695.1
OG0003354	Prupe.2G290300.1	Solyc06T000658.1, Solyc03T000427.1
OG0003355	Prupe.6G301900.1	Solyc08T000814.2
OG0003356	Prupe.2G036200.1	Solyc06T000714.1
OG0003357	Prupe.3G096500.1	Solyc06T001602.1
OG0003358	Prupe.2G131300.1	Solyc01T002616.1
OG0003359	Prupe.7G076400.1	Solyc10T002270.1, Solyc10T002273.1, Solyc10T002271.1
OG0003360	Prupe.8G186700.1	Solyc06T002622.2
OG0003361	Prupe.5G221000.1	Solyc03T003246.1
OG0003361	Prupe.1G310900.1	Solyc04T000138.1, Solyc05T000430.1
OG0003362	Prupe.1G479900.1, Prupe.3G084000.1	Solyc06T001629.1
OG0003363	Prupe.1G016000.1	Solyc09T002365.1
OG0003364	Prupe.3G082100.1, Prupe.8G193600.1	Solyc12T001920.1, Solyc03T002926.1, Solyc12T000174.1
OG0003366	Prupe.3G126100.1, Prupe.4G276600.1	Solyc12T000816.1, Solyc07T000589.3
OG0003369	Prupe.1G178800.1, Prupe.3G059200.1	Solyc11T001932.1, Solyc08T001417.1, Solyc11T002373.1
OG0003370	Prupe.6G335200.1	Solyc06T001886.1, Solyc01T003167.1
OG0003371	Prupe.6G328100.1	Solyc01T003224.3
OG0003372	Prupe.5G006800.1	Solyc04T003010.1
OG0003374	Prupe.1G154100.1	Solyc01T002140.1
OG0003374	Prupe.6G326700.1	Solyc01T003232.1
OG0003376	Prupe.6G335800.1	Solyc01T001974.1
OG0003377	Prupe.3G071700.1	Solyc03T003318.1
OG0003378	Prupe.1G576100.1	Solyc03T001753.1
OG0003379	Prupe.5G075100.1	Solyc08T000147.2, Solyc03T002197.2
OG0003380	Prupe.5G060200.1	Solyc08T000223.1, Solyc08T000222.1
OG0003380	Prupe.2G132500.1	Solyc01T002601.2
OG0003381	Prupe.2G277300.1	Solyc06T000623.1
OG0003381	Prupe.5G072000.1, Prupe.5G071800.1	Solyc01T002691.1, Solyc08T002161.1
OG0003382	Prupe.6G178300.1	Solyc04T001768.1
OG0003383	Prupe.8G053500.1	Solyc01T003576.3, Solyc01T003575.1
OG0003384	Prupe.2G093900.1	Solyc05T002664.2, Solyc11T000283.1
OG0003385	Prupe.2G293000.1	Solyc03T000396.1, Solyc10T002120.1, Solyc06T000674.1
OG0003386	Prupe.5G136300.1	Solyc04T000148.1
OG0003387	Prupe.2G204000.1	Solyc03T000999.1, Solyc11T000266.1
OG0003388	Prupe.1G358700.1	Solyc04T002954.1, Solyc12T002484.1
OG0003388	Prupe.8G170400.1	Solyc10T001970.1
OG0003389	Prupe.3G162600.1	Solyc02T002680.1
OG0003390	Prupe.7G067500.1	Solyc03T003487.1, Solyc06T001429.1
OG0003391	Prupe.6G118000.1, Prupe.2G090500.1, Prupe.2G090300.1	Solyc11T002138.1
OG0003393	Prupe.3G155900.1, Prupe.1G197100.1	Solyc06T002171.1
OG0003394	Prupe.1G154200.1	Solyc01T002139.1
OG0003395	Prupe.3G066900.1, Prupe.3G066300.1	Solyc06T001687.1
OG0003395	Prupe.7G234100.1	Solyc07T000827.1
OG0003396	Prupe.2G316300.1	Solyc06T001074.1
OG0003397	Prupe.3G046100.1	Solyc12T002053.1, Solyc06T001421.1, Solyc03T003470.1
OG0003398	Prupe.1G510900.1, Prupe.1G096600.1, Prupe.1G552400.1	Solyc04T002262.1
OG0003399	Prupe.2G096900.1	Solyc11T000267.1, Solyc05T002661.1
OG0003401	Prupe.1G325600.1	Solyc04T000190.1
OG0003402	Prupe.6G166500.1, Prupe.4G204400.1	Solyc01T000105.1, Solyc01T000104.1
OG0003403	Prupe.6G115100.1, Prupe.6G115200.1	Solyc11T002118.1
OG0003404	Prupe.3G217900.1	Solyc07T001951.1, Solyc05T001971.1
OG0003405	Prupe.3G072500.1	Solyc03T003322.1, Solyc06T001700.1
OG0003406	Prupe.4G281700.1	Solyc11T000043.1
OG0003408	Prupe.4G139400.1, Prupe.5G008400.1, Prupe.4G108500.1	Solyc02T000425.1, Solyc02T001147.1
OG0003409	Prupe.6G116900.1	Solyc01T000370.1, Solyc11T002130.1, Solyc06T002324.2
OG0003410	Prupe.6G074100.1	Solyc06T002466.7, Solyc06T000055.2
OG0003411	Prupe.1G411400.1	Solyc11T002356.1, Solyc12T002545.1, Solyc08T001318.1
OG0003411	Prupe.3G049400.1	Solyc03T003449.1
OG0003412	Prupe.3G019300.1, Prupe.3G050700.1	Solyc12T002047.3
OG0003412	Prupe.5G166600.1	Solyc03T002493.1
OG0003413	Prupe.8G089700.1	Solyc01T004185.1
OG0003414	Prupe.2G024300.1	Solyc01T002487.1
OG0003415	Prupe.6G106100.1	Solyc06T002357.1
OG0003416	Prupe.4G079300.1	Solyc08T000576.1
OG0003416	Prupe.4G152400.1	Solyc12T000558.1
OG0003417	Prupe.3G156900.1	Solyc12T000476.1
OG0003417	Prupe.4G042700.1	Solyc02T001580.1
OG0003418	Prupe.6G048900.1	Solyc01T000164.1
OG0003420	Prupe.5G120700.1	Solyc08T002495.1
OG0003421	Prupe.3G272100.1	Solyc01T000356.1
OG0003422	Prupe.3G030700.1	Solyc03T003560.5, Solyc06T001453.2
OG0003423	Prupe.4G157600.1	Solyc12T000687.1
OG0003424	Prupe.3G223500.1	Solyc07T002009.1, Solyc12T000065.1
OG0003424	Prupe.6G264300.1	Solyc09T000562.1
OG0003425	Prupe.6G200500.1, Prupe.8G094100.1	Solyc01T004164.1, Solyc01T004165.1, Solyc01T004168.1, Solyc01T004167.1
OG0003426	Prupe.6G105800.1, Prupe.6G106000.1, Prupe.6G105500.1, Prupe.6G105400.1	Solyc11T002348.1
OG0003427	Prupe.4G155900.1, Prupe.4G071400.1	Solyc07T002407.1
OG0003428	Prupe.6G023800.1	Solyc11T001873.1
OG0003428	Prupe.1G306200.1	Solyc01T002407.1, Solyc05T000488.1
OG0003429	Prupe.3G095600.1	Solyc03T002995.1
OG0003429	Prupe.1G486900.1	Solyc04T001205.1
OG0003430	Prupe.8G082900.1	Solyc01T004223.1
OG0003431	Prupe.6G133000.1, Prupe.6G133100.1, Prupe.6G132900.1, Prupe.6G133200.1, Prupe.6G133400.1, Prupe.6G133300.1	Solyc11T002218.1, Solyc11T002217.1, Solyc11T002219.1
OG0003432	Prupe.5G149100.1, Prupe.5G149200.1	Solyc04T000690.1, Solyc04T000692.1, Solyc10T002394.1
OG0003433	Prupe.6G112500.1, Prupe.6G112600.1	Solyc06T001012.1
OG0003434	Prupe.3G046200.1	Solyc12T002052.1, Solyc03T003469.1
OG0003434	Prupe.4G074900.1	Solyc02T001282.1
OG0003435	Prupe.6G102200.1	Solyc11T002303.1, Solyc05T002725.1
OG0003436	Prupe.6G130300.1	Solyc11T002204.1
OG0003437	Prupe.2G005200.1	Solyc10T001167.1, Solyc01T002374.1
OG0003438	Prupe.6G220500.1, Prupe.5G061600.1	Solyc07T002572.1, Solyc08T002123.1
OG0003439	Prupe.5G050500.1	Solyc03T000542.1
OG0003441	Prupe.7G001700.1	Solyc10T002619.2, Solyc10T002846.2
OG0003442	Prupe.4G167300.1	Solyc07T002443.1
OG0003442	Prupe.3G121300.1	Solyc10T000230.1
OG0003443	Prupe.6G001900.1	Solyc01T001215.1
OG0003444	Prupe.5G141800.1	Solyc03T003104.1, Solyc06T001810.1
OG0003445	Prupe.6G134100.1, Prupe.7G102100.1	Solyc10T002611.1, Solyc09T000417.1
OG0003446	Prupe.1G562500.1, Prupe.7G129300.1, Prupe.6G109000.1	Solyc11T002261.1
OG0003447	Prupe.4G180900.1	Solyc07T002494.1, Solyc12T000620.1
OG0003448	Prupe.7G257100.1, Prupe.3G093400.1	Solyc03T003011.1, Solyc06T001754.1
OG0003449	Prupe.1G500400.1, Prupe.1G500500.1	Solyc11T000682.1
OG0003450	Prupe.3G228600.1	Solyc07T002191.1, Solyc10T000373.1
