Orthogroup	Prunus_persica	Capsicum_anuum
OG0003071	Prupe.3G305100.1	CA02g30740, CA02g09150
OG0003071	Prupe.5G156900.1	CA03g24220
OG0003072	Prupe.7G020700.1	CA10g22320
OG0003072	Prupe.7G022600.1	CA10g22330
OG0003073	Prupe.7G121600.1	CA10g16000, CA10g15990, CA10g11940, CA00g84950
OG0003074	Prupe.7G004700.1, Prupe.6G003400.1	CA08g01580
OG0003075	Prupe.7G186900.1, Prupe.5G005300.1	CA00g65320
OG0003076	Prupe.1G222000.1, Prupe.3G308700.1	CA02g31000, CA02g09250
OG0003077	Prupe.6G247600.1, Prupe.6G247500.1, Prupe.6G247700.1	CA09g04140
OG0003077	Prupe.8G100200.1	CA03g04750
OG0003078	Prupe.6G338700.1, Prupe.6G338800.1	CA10g07350, CA08g10840
OG0003079	Prupe.6G174700.1	CA10g20450
OG0003079	Prupe.7G058900.1	CA05g00900
OG0003081	Prupe.3G243800.1, Prupe.1G299600.1	CA03g15620, CA02g26600, CA11g02170
OG0003082	Prupe.1G324700.1	CA00g92300, CA04g09920, CA00g96450, CA00g94190, CA00g78560, CA00g92620, CA00g92690, CA00g93210, CA00g57090
OG0003083	Prupe.2G000200.1	CA01g11770
OG0003084	Prupe.3G003900.1, Prupe.1G106400.1	CA12g21000, CA05g16690
OG0003085	Prupe.5G013700.1	CA07g15720, CA10g02020
OG0003086	Prupe.4G016100.1	CA02g18660, CA07g10710, CA07g10700
OG0003087	Prupe.2G263700.1, Prupe.6G041400.1	CA06g07150, CA06g07280
OG0003088	Prupe.1G356400.1	CA04g22530
OG0003089	Prupe.4G242700.1	CA07g20350
OG0003089	Prupe.3G197300.1	CA09g14120
OG0003090	Prupe.4G253200.1, Prupe.4G253300.1, Prupe.4G252900.1, Prupe.3G129800.1, Prupe.3G129400.1, Prupe.3G129600.1, Prupe.3G127600.1, Prupe.3G119100.1, Prupe.3G129100.1, Prupe.3G119700.1	CA10g02820
OG0003091	Prupe.1G323500.1	CA05g08760, CA00g59340
OG0003092	Prupe.1G122900.1	CA03g02990, CA12g20880
OG0003093	Prupe.1G325900.1	CA00g57510
OG0003095	Prupe.5G211600.1	CA06g18170, CA03g29010, CA11g02320
OG0003096	Prupe.4G015000.1, Prupe.4G014800.1	CA02g03120, CA02g03140
OG0003097	Prupe.2G132800.1	CA08g00120, CA08g00100
OG0003098	Prupe.4G103500.1, Prupe.4G103600.1	CA05g03910, CA05g03900
OG0003099	Prupe.1G118700.1	CA01g15950
OG0003100	Prupe.5G011500.1	CA04g22760
OG0003100	Prupe.8G178200.1	CA00g81260
OG0003101	Prupe.1G314000.1	CA11g00790, CA11g00800
OG0003102	Prupe.6G357600.1	CA12g11100
OG0003102	Prupe.8G206600.1	CA06g01950
OG0003105	Prupe.1G295800.1, Prupe.3G246600.1	CA02g08170, CA02g26800
OG0003107	Prupe.1G462300.1	CA12g18990
OG0003108	Prupe.1G420800.1	CA04g17320, CA12g15960
OG0003109	Prupe.8G220300.1	CA06g28000
OG0003109	Prupe.1G041700.1	CA03g05060
OG0003113	Prupe.5G192500.1, Prupe.5G191800.1, Prupe.5G191600.1, Prupe.5G191500.1, Prupe.5G192800.1, Prupe.5G192600.1	CA03g05850
OG0003113	Prupe.5G192700.1	CA03g30120
OG0003126	Prupe.6G182200.1, Prupe.1G513600.1, Prupe.3G009400.1	CA04g14920
OG0003130	Prupe.4G062900.1	CA02g13820, CA04g01480, CA04g01500, CA04g03720, CA04g01600, CA04g06920, CA04g04440, CA04g01490
OG0003139	Prupe.1G361100.1	CA02g05650
OG0003139	Prupe.7G173300.1	CA02g20420
OG0003141	Prupe.1G466300.1, Prupe.7G226700.1	CA08g06300, CA08g06270
OG0003148	Prupe.3G178000.1, Prupe.4G138500.1	CA07g21320, CA02g04820
OG0003151	Prupe.2G147000.1	CA01g18790
OG0003151	Prupe.5G082200.1	CA01g33280, CA01g04010, CA06g12290
OG0003153	Prupe.1G487700.1, Prupe.2G185900.1, Prupe.2G186000.1, Prupe.1G487900.1, Prupe.1G487800.1, Prupe.1G488000.1, Prupe.1G488300.1, Prupe.1G488100.1, Prupe.1G488200.1, Prupe.1G488400.1	CA02g02650
OG0003155	Prupe.7G200300.1, Prupe.7G200200.1, Prupe.7G200100.1	CA07g08820
OG0003155	Prupe.3G041700.1	CA05g12690, CA00g61760, CA03g07830
OG0003156	Prupe.8G256000.1	CA05g15010, CA03g08630
OG0003156	Prupe.6G323400.1	CA08g12240
OG0003164	Prupe.2G322300.1	CA06g21510, CA03g20830, CA03g20820
OG0003169	Prupe.5G033400.1	CA03g18040, CA03g22610, CA01g17750, CA03g04390, CA03g15450, CA09g09230, CA09g07650, CA10g06350, CA09g11330, CA00g25930, CA08g05420, CA01g28830
OG0003175	Prupe.5G157600.1	CA00g82380, CA03g24740, CA03g25040, CA03g16190, CA03g25050, CA03g24730
OG0003177	Prupe.3G222100.1, Prupe.7G003400.1	CA00g83880, CA00g89440, CA00g89360, CA07g12470, CA05g07790
OG0003179	Prupe.7G254200.1, Prupe.1G525100.1, Prupe.7G254000.1, Prupe.7G253900.1, Prupe.7G254100.1, Prupe.7G254400.1, Prupe.7G254300.1, Prupe.7G254500.1	CA00g94060, CA07g02240
OG0003180	Prupe.6G035400.1	CA07g20950, CA11g14600
OG0003204	Prupe.7G094300.1	CA00g06870
OG0003206	Prupe.6G252600.1, Prupe.2G233000.1	CA09g04860, CA10g11570
OG0003207	Prupe.2G015300.1	CA01g20730
OG0003208	Prupe.2G244700.1	CA03g12780
OG0003208	Prupe.6G268900.1	CA10g14120, CA02g29810, CA09g06290
OG0003209	Prupe.6G247900.1	CA09g04440
OG0003211	Prupe.7G091900.1	CA00g33040, CA08g02830
OG0003212	Prupe.2G157300.1, Prupe.2G157400.1	CA07g17600, CA02g07000, CA03g23140, CA00g96130, CA06g18010, CA01g18970
OG0003213	Prupe.8G180500.1	CA00g97170
OG0003214	Prupe.1G073100.1, Prupe.3G019000.1	CA01g29430, CA12g18880, CA07g05820
OG0003215	Prupe.1G493600.1	CA00g22880, CA09g16900
OG0003216	Prupe.2G200800.1	CA12g14810, CA01g34790
OG0003216	Prupe.6G249900.1	CA09g04260
OG0003218	Prupe.8G105800.1	CA08g18250, CA00g78330
OG0003221	Prupe.6G349400.1	CA00g75110
OG0003223	Prupe.2G123000.1	CA06g06360
OG0003224	Prupe.7G211000.1	CA03g21980
OG0003225	Prupe.7G097400.1	CA00g07090, CA10g17010
OG0003226	Prupe.2G196200.1	CA10g05480
OG0003227	Prupe.8G240900.1	CA09g08800
OG0003227	Prupe.1G154700.1	CA01g24470
OG0003228	Prupe.2G177500.1	CA11g10890, CA03g18360, CA09g09740, CA03g27520, CA03g32910, CA06g25970, CA08g07740
OG0003229	Prupe.7G093400.1	CA10g17530, CA00g33120
OG0003230	Prupe.2G209000.1	CA00g45420
OG0003231	Prupe.6G284100.1	CA09g08550
OG0003232	Prupe.7G262200.1	CA07g02010
OG0003233	Prupe.7G073000.1	CA10g19380, CA10g20850
OG0003236	Prupe.8G232000.1	CA03g09710, CA06g27750
OG0003237	Prupe.2G196500.1	CA10g05830
OG0003237	Prupe.5G131700.1	CA11g10300, CA01g00230
OG0003238	Prupe.1G380600.1	CA08g12630, CA08g10880
OG0003239	Prupe.2G147200.1	CA10g17480, CA04g06500
OG0003241	Prupe.2G178600.1	CA08g07800
OG0003242	Prupe.4G028900.1	CA04g03060, CA02g17730
OG0003244	Prupe.7G023900.1	CA08g03240
OG0003245	Prupe.5G115400.1	CA01g01370, CA08g08180, CA10g05920
OG0003246	Prupe.6G263900.1	CA00g18370, CA10g05080
OG0003247	Prupe.6G212400.1	CA02g07310
OG0003247	Prupe.8G157300.1	CA01g31510
OG0003248	Prupe.6G092700.1	CA09g03400, CA06g06290, CA10g11810, CA10g14830
OG0003249	Prupe.1G353900.1	CA02g06690, CA02g21600
OG0003250	Prupe.6G284900.1	CA10g13100
OG0003252	Prupe.7G121000.1	CA10g16020, CA09g01660, CA10g12910
OG0003254	Prupe.1G003300.1, Prupe.8G206400.1	CA03g02190
OG0003255	Prupe.6G351000.1	CA12g10410
OG0003255	Prupe.8G216800.1	CA06g01530, CA00g62830, CA00g62840
OG0003256	Prupe.1G463400.1	CA01g09590, CA01g30570
OG0003257	Prupe.6G288600.1	CA10g08430
OG0003258	Prupe.6G245800.1	CA09g03770, CA10g14990
OG0003259	Prupe.2G140900.1	CA00g32690
OG0003260	Prupe.8G211100.1	CA06g01850, CA09g11010
OG0003260	Prupe.1G054200.1	CA03g02850
OG0003261	Prupe.6G267800.1	CA10g14140, CA09g06300, CA10g10880, CA10g10910
OG0003262	Prupe.6G068500.1	CA00g49980
OG0003263	Prupe.3G031200.1	CA10g06200, CA12g12640, CA03g37010
OG0003264	Prupe.2G241100.1	CA11g07170
OG0003265	Prupe.6G280300.1, Prupe.2G252100.1	CA09g12600, CA03g29750
OG0003266	Prupe.7G097600.1, Prupe.6G140800.1, Prupe.6G136800.1, Prupe.8G051600.1	CA11g16330, CA06g22670
OG0003267	Prupe.2G150800.1	CA01g10450
OG0003268	Prupe.2G124100.1	CA01g27790
OG0003269	Prupe.5G114700.1, Prupe.2G183700.1	CA08g08150
OG0003270	Prupe.8G254800.1	CA06g27480, CA03g08700, CA01g09910
OG0003271	Prupe.1G054100.1	CA12g19910, CA03g02830
OG0003272	Prupe.2G044800.1, Prupe.2G047300.1	CA01g13360
OG0003273	Prupe.6G041000.1	CA06g25910
OG0003273	Prupe.6G293400.1	CA10g08330
OG0003274	Prupe.6G246400.1, Prupe.4G261600.1	CA06g24220, CA11g13700
OG0003277	Prupe.6G270500.1	CA09g06340, CA10g14000
OG0003278	Prupe.7G268400.1, Prupe.3G126000.1	CA01g08840
OG0003279	Prupe.2G107500.1	CA01g26540
OG0003280	Prupe.4G101600.1, Prupe.1G202200.1	CA09g13440, CA07g18530
OG0003281	Prupe.5G112100.1	CA01g31730, CA01g01760, CA12g13570
OG0003281	Prupe.2G182300.1	CA08g07960
OG0003282	Prupe.3G031500.1	CA12g15040
OG0003283	Prupe.6G285100.1, Prupe.6G285200.1	CA10g09040, CA09g11120, CA10g13090
OG0003284	Prupe.1G551600.1, Prupe.7G229900.1	CA10g22230
OG0003285	Prupe.3G032300.1	CA02g22550, CA00g81840, CA12g14940, CA03g37120, CA02g05950
OG0003286	Prupe.3G030000.1	CA12g14880, CA03g36880, CA06g15700
OG0003287	Prupe.7G127000.1	CA09g01830, CA10g15610, CA05g20260
OG0003288	Prupe.7G121500.1	CA09g01710, CA09g01720
OG0003289	Prupe.4G030900.1	CA04g02940, CA02g17470
OG0003290	Prupe.8G155900.1	CA04g10650, CA07g10230, CA01g31200
OG0003291	Prupe.6G078100.1	CA00g58370, CA04g11430, CA04g21520
OG0003292	Prupe.6G270900.1	CA10g14010, CA09g06440
OG0003293	Prupe.1G433800.1	CA06g05340, CA04g18560
OG0003294	Prupe.2G112100.1	CA08g07050
OG0003295	Prupe.2G144300.1, Prupe.8G261700.1	CA03g24790, CA00g67020
OG0003296	Prupe.2G185500.1	CA08g08260, CA10g06370
OG0003297	Prupe.7G089300.1, Prupe.5G001900.1	CA10g17870, CA01g10780
OG0003301	Prupe.6G148300.1	CA06g22560
OG0003302	Prupe.7G165600.1	CA04g06970
OG0003303	Prupe.1G350600.1	CA02g02980
OG0003304	Prupe.8G142500.1	CA12g10810
OG0003305	Prupe.4G127500.1	CA00g32470
OG0003305	Prupe.1G039300.1	CA00g88890
OG0003306	Prupe.3G020500.1	CA06g15570
OG0003307	Prupe.7G023500.1	CA10g22420
OG0003308	Prupe.1G182600.1	CA12g20790
OG0003309	Prupe.6G186500.1	CA12g22190, CA00g84450, CA00g91290, CA00g90590, CA00g91300, CA00g84440, CA12g21990, CA12g22260
OG0003310	Prupe.6G307500.1	CA00g62060
OG0003312	Prupe.2G083400.1, Prupe.1G523200.1	CA12g06540
OG0003313	Prupe.1G474900.1	CA12g03380
OG0003314	Prupe.5G174100.1	CA03g28420, CA03g28440, CA06g19650
OG0003315	Prupe.1G584200.1	CA01g00710, CA01g34610
OG0003316	Prupe.1G118100.1	CA09g01820, CA11g07550, CA10g15580, CA00g98050, CA10g08910
OG0003317	Prupe.3G044700.1	CA07g09420
OG0003319	Prupe.2G298100.1	CA03g18490, CA06g07490
OG0003320	Prupe.8G218100.1, Prupe.1G045900.1	CA04g00670, CA03g04410
OG0003321	Prupe.7G242400.1	CA03g01660, CA03g01640, CA03g01680, CA03g01720, CA03g01650, CA03g01700, CA00g95220, CA03g01670
OG0003322	Prupe.8G241500.1	CA10g02130
OG0003322	Prupe.6G326600.1	CA00g43820
OG0003323	Prupe.1G533400.1, Prupe.1G572600.1	CA04g16320
OG0003324	Prupe.2G133800.1	CA01g28150
OG0003325	Prupe.8G204600.1	CA09g11670, CA08g12670
OG0003326	Prupe.7G231700.1, Prupe.1G453300.1	CA01g32790
OG0003326	Prupe.3G069000.1	CA03g34930
OG0003328	Prupe.4G283200.1, Prupe.5G013800.1	CA05g05170, CA05g05180
OG0003329	Prupe.1G041500.1, Prupe.1G044700.1, Prupe.8G220700.1	CA00g42930, CA06g27990, CA06g01580
OG0003330	Prupe.3G056200.1	CA03g36020, CA03g36010, CA11g09790
OG0003331	Prupe.3G051300.1	CA03g36180
OG0003332	Prupe.7G206700.1	CA11g08170
OG0003333	Prupe.5G060100.1	CA01g06270
OG0003334	Prupe.6G305600.1	CA00g53870
OG0003335	Prupe.1G013500.1	CA03g11550, CA06g21960, CA12g07030, CA09g15300
OG0003336	Prupe.3G176300.1, Prupe.8G030400.1	CA07g15520, CA10g02210
OG0003337	Prupe.1G155500.1	CA03g08180, CA06g09260
OG0003338	Prupe.2G298400.1	CA03g18600
OG0003339	Prupe.3G098100.1	CA03g32070, CA00g87690
OG0003342	Prupe.6G083600.1, Prupe.2G230100.1	CA04g12290, CA06g10870, CA05g12310
OG0003343	Prupe.8G038400.1	CA12g08550, CA05g02570, CA04g13960
OG0003347	Prupe.1G322000.1	CA01g25220
OG0003348	Prupe.4G196300.1, Prupe.4G288600.1	CA02g08450, CA02g08460
OG0003349	Prupe.3G062100.1, Prupe.3G061700.1	CA03g35000
OG0003350	Prupe.8G021500.1	CA02g02070
OG0003352	Prupe.6G302100.1	CA08g13400
OG0003353	Prupe.2G297500.1	CA03g18340, CA06g07450
OG0003354	Prupe.2G290300.1	CA06g09600, CA03g16430
OG0003355	Prupe.6G301900.1	CA08g05460
OG0003356	Prupe.2G036200.1	CA02g16040
OG0003357	Prupe.3G096500.1	CA06g14550
OG0003358	Prupe.2G131300.1	CA00g67820
OG0003359	Prupe.7G076400.1	CA10g20940, CA10g20950
OG0003360	Prupe.8G186700.1	CA06g26250
OG0003361	Prupe.5G221000.1	CA03g33660
OG0003361	Prupe.1G310900.1	CA11g01070
OG0003362	Prupe.1G479900.1, Prupe.3G084000.1	CA06g13830
OG0003363	Prupe.1G016000.1	CA03g07330
OG0003364	Prupe.3G082100.1, Prupe.8G193600.1	CA03g31680, CA09g15100
OG0003366	Prupe.3G126100.1, Prupe.4G276600.1	CA00g82080, CA00g80290, CA09g13710, CA11g20410, CA00g82050, CA00g90020, CA11g20420
OG0003369	Prupe.1G178800.1, Prupe.3G059200.1	CA03g35820, CA11g20150
OG0003370	Prupe.6G335200.1	CA06g18440, CA08g11210
OG0003371	Prupe.6G328100.1	CA00g43950, CA00g87860, CA00g46170, CA00g43960, CA00g96170, CA00g87870, CA00g87880, CA00g43970, CA00g64830
OG0003372	Prupe.5G006800.1	CA04g23310
OG0003374	Prupe.1G154100.1	CA01g24550
OG0003374	Prupe.6G326700.1	CA00g43860
OG0003376	Prupe.6G335800.1	CA01g25570
OG0003377	Prupe.3G071700.1	CA03g34410
OG0003378	Prupe.1G576100.1	CA03g19800, CA03g29080
OG0003379	Prupe.5G075100.1	CA10g11450, CA10g11480, CA01g28560
OG0003380	Prupe.5G060200.1	CA01g33750, CA06g12660
OG0003380	Prupe.2G132500.1	CA08g00180
OG0003381	Prupe.2G277300.1, Prupe.5G072000.1, Prupe.5G071800.1	CA00g67550
OG0003382	Prupe.6G178300.1	CA00g42530
OG0003383	Prupe.8G053500.1	CA08g14100, CA08g14070
OG0003384	Prupe.2G093900.1	CA00g86420, CA12g05330
OG0003385	Prupe.2G293000.1	CA00g80380, CA03g17240
OG0003386	Prupe.5G136100.1, Prupe.5G135900.1	CA01g10240
OG0003386	Prupe.5G136300.1	CA01g10230
OG0003387	Prupe.2G204000.1	CA03g10280, CA12g05560
OG0003388	Prupe.1G358700.1	CA04g22370, CA12g17810, CA12g17830
OG0003388	Prupe.8G170400.1	CA10g08220
OG0003389	Prupe.3G162600.1	CA02g24300
OG0003390	Prupe.7G067500.1	CA03g35490, CA06g15950
OG0003391	Prupe.6G118000.1, Prupe.2G090500.1, Prupe.2G090300.1	CA11g17760
OG0003393	Prupe.3G155900.1, Prupe.1G197100.1	CA06g21770
OG0003394	Prupe.6G326300.1	CA08g11840
OG0003394	Prupe.1G154200.1	CA01g24590
OG0003395	Prupe.3G066900.1, Prupe.3G066300.1	CA00g46830
OG0003395	Prupe.7G234100.1	CA07g05690
OG0003396	Prupe.2G316300.1	CA03g20480
OG0003397	Prupe.3G046100.1	CA12g10480, CA06g16060, CA03g35620
OG0003398	Prupe.1G510900.1, Prupe.1G096600.1, Prupe.1G552400.1	CA00g04590
OG0003399	Prupe.2G096900.1	CA12g05550, CA05g17140, CA00g86480
OG0003400	Prupe.3G256600.1, Prupe.2G121800.1	CA03g29410, CA00g66820
OG0003401	Prupe.1G325600.1	CA05g08650, CA05g07230, CA05g04350, CA05g07220
OG0003403	Prupe.6G115100.1, Prupe.6G115200.1	CA11g18560, CA11g18570
OG0003404	Prupe.3G217900.1	CA07g12250, CA04g07100
OG0003405	Prupe.3G072500.1	CA03g34450, CA06g16730
OG0003408	Prupe.4G139400.1, Prupe.5G008400.1, Prupe.4G108500.1	CA02g00390
OG0003409	Prupe.6G116900.1	CA01g14900, CA06g23270
OG0003410	Prupe.6G074100.1	CA06g24690, CA06g04850
OG0003411	Prupe.1G411400.1	CA00g95360, CA11g20000, CA05g18240
OG0003412	Prupe.3G019300.1, Prupe.3G050700.1	CA12g10640
OG0003413	Prupe.8G085300.1	CA03g11920
OG0003413	Prupe.8G089700.1	CA00g72010
OG0003414	Prupe.2G024300.1	CA01g21130
OG0003415	Prupe.2G210800.1, Prupe.2G211100.1	CA05g20800
OG0003415	Prupe.6G106100.1	CA00g90630
OG0003416	Prupe.4G079300.1	CA02g11570
OG0003417	Prupe.3G156900.1	CA09g13770
OG0003417	Prupe.4G042700.1	CA02g15730
OG0003418	Prupe.6G048900.1	CA00g33160
OG0003420	Prupe.5G120700.1	CA00g84010, CA01g34520
OG0003421	Prupe.3G272100.1	CA01g13750
OG0003422	Prupe.3G030700.1	CA03g36950, CA06g26870
OG0003424	Prupe.3G223500.1	CA02g17510, CA07g12600, CA09g07050
OG0003424	Prupe.6G264300.1	CA10g09590, CA00g95800
OG0003425	Prupe.6G200500.1, Prupe.8G094100.1	CA01g05150, CA01g05130, CA01g05140
OG0003426	Prupe.6G105800.1, Prupe.6G106000.1, Prupe.6G105500.1, Prupe.6G105400.1	CA11g18780, CA11g18770, CA11g18760
OG0003427	Prupe.4G071400.1	CA02g12830
OG0003428	Prupe.6G023800.1	CA11g10410
OG0003428	Prupe.1G306200.1	CA01g19870, CA00g88960
OG0003429	Prupe.3G095600.1	CA03g32310
OG0003430	Prupe.8G082900.1	CA01g19850
OG0003431	Prupe.6G133000.1, Prupe.6G133100.1, Prupe.6G132900.1, Prupe.6G133200.1, Prupe.6G133400.1, Prupe.6G133300.1	CA11g16730, CA11g16720
OG0003432	Prupe.5G149100.1, Prupe.5G149200.1	CA05g00740, CA05g00730
OG0003433	Prupe.6G112500.1, Prupe.6G112600.1	CA06g09750, CA00g90280
OG0003434	Prupe.3G046200.1	CA03g35630
OG0003434	Prupe.4G074900.1	CA02g12210
OG0003435	Prupe.6G102200.1	CA11g18970, CA05g20730
OG0003436	Prupe.6G130300.1	CA11g17020, CA04g12180
OG0003437	Prupe.2G005200.1	CA01g18610
OG0003438	Prupe.6G220500.1, Prupe.5G061600.1	CA02g05750, CA07g18890, CA01g05630
OG0003439	Prupe.5G050500.1	CA04g05340
OG0003441	Prupe.7G001700.1	CA10g16780, CA10g12810
OG0003442	Prupe.4G167300.1	CA07g17210
OG0003442	Prupe.3G121300.1	CA10g01620
OG0003443	Prupe.7G002800.1	CA08g00850
OG0003443	Prupe.6G001900.1	CA01g16430
OG0003444	Prupe.5G141800.1	CA03g31310, CA03g36740, CA06g17520
OG0003445	Prupe.6G134100.1, Prupe.7G102100.1	CA10g17300, CA09g00180
OG0003446	Prupe.1G562500.1, Prupe.7G129300.1, Prupe.6G109000.1	CA11g17970
OG0003447	Prupe.4G180900.1	CA07g17680, CA09g11590
OG0003448	Prupe.7G257100.1, Prupe.3G093400.1	CA03g32480, CA00g69370
OG0003449	Prupe.1G500400.1, Prupe.1G500500.1	CA04g07590
OG0003450	Prupe.3G228600.1	CA07g13050, CA10g03630
OG0003451	Prupe.3G233500.1	CA00g86060, CA07g13380
OG0003453	Prupe.3G139900.1, Prupe.4G050700.1	CA02g15230
OG0003454	Prupe.3G092400.1	CA00g69390, CA03g20500, CA03g32530
OG0003455	Prupe.6G263400.1	CA09g05680
OG0003456	Prupe.7G094100.1	CA00g06840
OG0003456	Prupe.6G145200.1	CA01g13820, CA11g16240, CA06g22740
OG0003457	Prupe.1G191600.1	CA06g21990
OG0003458	Prupe.5G117700.1	CA01g01180
OG0003460	Prupe.6G145600.1	CA11g15990, CA06g22630
OG0003461	Prupe.6G113300.1	CA11g18330
OG0003462	Prupe.3G233900.1	CA10g03430
OG0003463	Prupe.1G214400.1, Prupe.5G140600.1	CA06g17480, CA03g31350
OG0003464	Prupe.5G179500.1	CA03g27220
OG0003464	Prupe.5G179300.1	CA01g20960
OG0003466	Prupe.4G167600.1	CA10g01600
OG0003467	Prupe.6G118700.1	CA09g01410, CA10g12680
OG0003468	Prupe.7G049900.1	CA10g20240
OG0003468	Prupe.2G027600.1	CA01g21600
OG0003469	Prupe.5G140500.1, Prupe.1G214300.1	CA06g17470, CA11g03780
OG0003470	Prupe.4G171300.1, Prupe.4G171400.1	CA07g17350
OG0003471	Prupe.6G104600.1	CA09g02360
OG0003472	Prupe.1G478800.1	CA08g01930
OG0003473	Prupe.5G113900.1	CA01g01460
OG0003473	Prupe.2G306100.1	CA03g19100
OG0003474	Prupe.3G226700.1, Prupe.3G226300.1, Prupe.3G226100.1, Prupe.3G226500.1, Prupe.3G226200.1, Prupe.3G226600.1, Prupe.3G226000.1	CA07g12790, CA07g12800
OG0003475	Prupe.5G157700.1	CA03g25080
OG0003475	Prupe.1G238500.1	CA11g11290
OG0003476	Prupe.1G555400.1	CA04g09140
OG0003477	Prupe.7G195000.1	CA03g30390, CA07g06540, CA09g17230
OG0003478	Prupe.5G022100.1, Prupe.7G200000.1	CA12g18690, CA01g08350
OG0003479	Prupe.3G215700.1, Prupe.4G018100.1	CA02g18500, CA02g06270
OG0003480	Prupe.6G178400.1	CA00g04610
OG0003481	Prupe.4G254300.1	CA11g12540
OG0003482	Prupe.5G096300.1	CA00g28970, CA01g34100
OG0003483	Prupe.6G137600.1	CA11g16520
OG0003484	Prupe.5G137400.1	CA01g34850
OG0003485	Prupe.7G149400.1, Prupe.8G102400.1	CA02g06610, CA04g06000, CA08g18390
OG0003486	Prupe.2G276700.1	CA05g14160
OG0003487	Prupe.5G221500.1	CA03g25450, CA00g86360
OG0003488	Prupe.1G234800.1	CA10g08420
OG0003489	Prupe.8G085000.1	CA00g70490
OG0003490	Prupe.3G311300.1, Prupe.5G144900.1	CA06g21060, CA06g21050, CA03g22580
OG0003491	Prupe.1G405800.1, Prupe.7G202300.1	CA07g10050, CA05g11440, CA08g03090
OG0003492	Prupe.6G363200.1	CA00g87370
OG0003493	Prupe.4G197000.1	CA07g18490, CA07g12860
OG0003494	Prupe.3G124500.1, Prupe.4G170600.1	CA10g02710
OG0003495	Prupe.1G560100.1	CA08g15460
OG0003496	Prupe.5G098000.1, Prupe.5G097900.1	CA01g02940, CA01g02930
OG0003497	Prupe.4G257200.1	CA11g10510, CA11g10500, CA11g10520
OG0003499	Prupe.3G186500.1	CA03g08530, CA09g14690
OG0003500	Prupe.6G087300.1	CA06g24230, CA11g13440
OG0003501	Prupe.1G278500.1, Prupe.5G196900.1	CA03g29900, CA06g13300
OG0003503	Prupe.5G216100.1	CA06g18060, CA03g33970
OG0003504	Prupe.7G204700.1	CA00g92940, CA00g74230
OG0003505	Prupe.1G369300.1	CA00g58490, CA04g23110
OG0003506	Prupe.1G223700.1	CA05g10420, CA11g09850
OG0003507	Prupe.2G022300.1	CA01g21060
OG0003508	Prupe.8G087000.1	CA10g20720, CA01g19690
OG0003509	Prupe.1G331000.1	CA05g14130, CA05g14140, CA09g00030
OG0003510	Prupe.1G329500.1	CA04g09000, CA00g18440
OG0003511	Prupe.1G338400.1	CA08g01180
OG0003512	Prupe.2G028700.1, Prupe.4G258200.1	CA12g21800, CA01g12960
OG0003513	Prupe.7G263100.1	CA01g32150, CA07g01950
OG0003514	Prupe.1G523000.1	CA04g15670
OG0003514	Prupe.6G193400.1	CA12g03310, CA05g13390, CA12g03320
OG0003515	Prupe.4G059200.1	CA02g11210
OG0003516	Prupe.3G227800.1	CA09g07680, CA11g14620, CA11g14610
OG0003518	Prupe.2G130000.1, Prupe.1G159500.1, Prupe.2G130800.1, Prupe.8G200100.1	CA05g16980
OG0003519	Prupe.5G147500.1, Prupe.3G309200.1	CA00g26910, CA01g17210
OG0003520	Prupe.3G137500.1	CA01g27820, CA07g13620, CA04g21010, CA07g13810
OG0003522	Prupe.5G149300.1	CA03g24040
OG0003524	Prupe.6G118600.1	CA01g14870, CA11g17740
OG0003524	Prupe.7G118600.1	CA10g16270
OG0003525	Prupe.7G206100.1	CA00g74180
OG0003526	Prupe.2G136200.1	CA00g32490
OG0003526	Prupe.2G275900.1	CA01g18400, CA03g15750
OG0003527	Prupe.4G085800.1	CA08g03510
OG0003528	Prupe.7G213900.1, Prupe.7G213800.1	CA09g16680
OG0003529	Prupe.5G097500.1	CA00g72110, CA12g13690
OG0003530	Prupe.8G098200.1	CA08g18540
OG0003531	Prupe.7G260100.1	CA00g45310, CA00g45320
OG0003532	Prupe.5G118500.1, Prupe.2G187000.1	CA01g34510, CA01g01110
OG0003533	Prupe.1G533600.1, Prupe.3G020400.1, Prupe.1G533700.1, Prupe.6G303900.1, Prupe.6G304100.1	CA00g32970, CA00g53740
OG0003534	Prupe.6G306700.1	CA00g62120
OG0003534	Prupe.6G306600.1	CA00g62130, CA11g18610, CA10g00360
OG0003535	Prupe.5G169500.1	CA06g20100, CA00g00270
OG0003536	Prupe.1G163100.1	CA12g20660, CA03g00170
OG0003537	Prupe.1G255300.1	CA11g07680
OG0003538	Prupe.4G088300.1	CA03g06800
OG0003539	Prupe.3G163400.1	CA12g01460
OG0003540	Prupe.1G233000.1	CA11g08560
OG0003541	Prupe.4G082000.1	CA08g03620
OG0003542	Prupe.1G266400.1	CA11g05750
OG0003543	Prupe.4G154500.1, Prupe.7G068600.1	CA00g63830, CA10g19040
OG0003544	Prupe.6G172800.1	CA12g14270
OG0003545	Prupe.8G096500.1	CA10g07890, CA10g05010, CA00g64310
OG0003546	Prupe.1G172000.1	CA06g22190, CA11g14540
OG0003547	Prupe.6G005400.1	CA01g32090, CA01g12200
OG0003548	Prupe.2G019700.1	CA04g09260
OG0003548	Prupe.1G551100.1, Prupe.2G019600.1	CA04g09240, CA04g09250
