Orthogroup	Prunus_persica	Brassica_napus
OG0001136	Prupe.5G138300.1	CDY32647, CDY38845
OG0001136	Prupe.1G211000.1	CDX86335, CDX85316, CDY45918, CDY35764
OG0001136	Prupe.6G321500.1	CDY22644
OG0001137	Prupe.5G089100.1	CDY21057, CDY57073, CDY58608
OG0001137	Prupe.2G288400.1	CDX91616, CDY27093, CDY32608, CDY31927, CDY31926, CDY00506, CDY38886
OG0001138	Prupe.2G230200.1, Prupe.6G083700.1, Prupe.6G249800.1	CDY71506, CDY30926, CDX86045, CDY31592, CDX76198, CDY30856
OG0001140	Prupe.5G135800.1, Prupe.2G203500.1	CDY66443, CDY35779, CDY45904, CDX86350, CDY00079
OG0001141	Prupe.2G004600.1, Prupe.7G075700.1, Prupe.6G017900.1	CDX78501, CDX70488, CDX69677, CDX97218, CDX85675, CDX91150
OG0001142	Prupe.6G338400.1, Prupe.1G014000.1	CDY42795, CDY68436
OG0001142	Prupe.1G102600.1	CDY17914, CDX79804, CDY30438, CDY23400
OG0001143	Prupe.7G087600.1	CDY14077, CDY04994, CDY55765, CDX70087, CDX98939
OG0001144	Prupe.6G198300.1, Prupe.6G111000.1, Prupe.6G027700.1, Prupe.6G027800.1	CDX81732, CDY53315, CDY52868, CDY33379, CDY35039
OG0001145	Prupe.6G040400.1, Prupe.1G064900.1	CDY29670, CDX97826, CDX84829, CDY23995, CDY02068, CDY10741, CDX84830
OG0001146	Prupe.4G006600.1	CDY69435, CDY42533, CDY09696, CDX90526, CDY34465
OG0001146	Prupe.6G340100.1, Prupe.3G198800.1	CDY28021, CDY35959
OG0001147	Prupe.3G038500.1	CDX72920, CDX96412
OG0001147	Prupe.7G196100.1	CDY21682, CDX81914, CDX96680, CDX83787, CDY41019, CDY26699
OG0001148	Prupe.8G215600.1	CDY18204, CDX89845
OG0001148	Prupe.6G351900.1	CDX92605, CDY29997, CDY21128
OG0001149	Prupe.8G092600.1, Prupe.7G158900.1	CDX90674, CDY28993, CDX73767, CDX77966
OG0001151	Prupe.7G236700.1	CDX98800
OG0001151	Prupe.1G025600.1	CDX94721
OG0001152	Prupe.3G157300.1, Prupe.1G311700.1, Prupe.1G311600.1	CDY07384, CDY04229, CDY44892, CDY67846, CDY38584, CDX96015
OG0001153	Prupe.1G030700.1	CDX89830, CDY15496, CDY18216, CDX86644
OG0001153	Prupe.8G230300.1	CDY09958, CDY06226, CDX97803, CDY47127, CDY10751
OG0001154	Prupe.2G269600.1	CDY05837, CDX71690, CDY38851, CDY32641
OG0001157	Prupe.2G289500.1, Prupe.5G090200.1, Prupe.5G090000.1, Prupe.5G089900.1, Prupe.5G090500.1, Prupe.5G090100.1, Prupe.7G115900.1	CDY00510, CDY31925
OG0001158	Prupe.6G091800.1, Prupe.4G208900.1, Prupe.3G138100.1, Prupe.6G091900.1	CDX99152, CDX86030, CDX86031, CDY48147, CDY23696
OG0001159	Prupe.4G185900.1	CDY29310, CDX89250, CDY29839, CDX92831
OG0001159	Prupe.4G042400.1	CDY50209, CDY03784, CDY67483
OG0001160	Prupe.3G300600.1, Prupe.5G155800.1, Prupe.1G234000.1	CDY42906, CDY49358, CDX74199, CDX92059, CDY21098, CDY50169
OG0001161	Prupe.4G191600.1	CDY46787, CDY28793, CDY41776
OG0001161	Prupe.3G230200.1, Prupe.4G035500.1	CDX79064
OG0001163	Prupe.7G063500.1	CDY06905, CDY14788, CDY48767, CDX79909
OG0001163	Prupe.2G016800.1	CDY09095, CDX70960
OG0001164	Prupe.3G015500.1	CDY16428, CDY60868, CDY39261, CDY07472
OG0001164	Prupe.3G288200.1	CDX70573
OG0001165	Prupe.2G012200.1, Prupe.4G244400.1	CDX78525, CDX70507
OG0001165	Prupe.3G139400.1	CDY14242
OG0001166	Prupe.7G090300.1	CDY72642, CDY47923
OG0001166	Prupe.6G148600.1	CDY57481, CDX83256, CDY63609, CDY71899, CDX71471
OG0001167	Prupe.1G416400.1, Prupe.6G109200.1, Prupe.7G128800.1	CDY33205, CDX75005, CDY46743, CDX79698
OG0001170	Prupe.6G182600.1	CDY66773, CDY15844, CDX76943, CDY13777, CDX90353, CDY56636
OG0001171	Prupe.7G163400.1	CDX75568, CDX69218
OG0001171	Prupe.6G157300.1	CDX81912, CDX81913, CDY21683, CDY41018
OG0001172	Prupe.7G168700.1, Prupe.1G364400.1, Prupe.8G162800.1	CDY26834, CDY30342, CDY29205, CDY07811, CDY24828, CDY34072, CDX72573, CDX69193, CDX75547
OG0001173	Prupe.4G054600.1, Prupe.4G172800.1, Prupe.2G137500.1, Prupe.2G137800.1, Prupe.2G141500.1, Prupe.2G141600.1	CDY58059
OG0001174	Prupe.3G163600.1	CDY44028, CDY13550
OG0001174	Prupe.8G096400.1	CDY70933, CDY46213, CDX71276, CDY41969, CDY42616, CDX90323
OG0001175	Prupe.6G000500.1, Prupe.6G000400.1	CDY23596, CDY43995, CDX82541, CDX75707, CDY68850, CDY49392
OG0001176	Prupe.8G163200.1	CDY38147, CDY61901, CDY52796
OG0001176	Prupe.7G169400.1	CDY63398, CDY20846, CDY38139
OG0001177	Prupe.1G341900.1	CDY66455, CDY65372, CDY70504, CDY53543, CDX81650
OG0001178	Prupe.1G494900.1, Prupe.7G166200.1, Prupe.8G083200.1, Prupe.1G370100.1	CDY45329
OG0001179	Prupe.6G016800.1	CDX91809, CDY28601, CDY21183, CDY05408
OG0001180	Prupe.4G263600.1	CDX85697, CDX91168, CDY63783, CDY44912, CDX92536, CDY13993, CDX69700, CDX97174, CDX70450, CDX78468
OG0001181	Prupe.5G233000.1	CDX92181, CDX95799, CDX93681, CDY40594, CDX68222, CDY11100
OG0001182	Prupe.1G264800.1	CDY31809
OG0001182	Prupe.1G264700.1, Prupe.1G264900.1	CDY07793, CDY34896, CDY37984, CDX93432, CDY37985
OG0001183	Prupe.3G161100.1, Prupe.1G330600.1	CDY17659, CDY36240, CDY48811, CDY09431, CDY09432, CDY48812, CDY04096
OG0001184	Prupe.2G301300.1, Prupe.6G028600.1	CDY27839
OG0001186	Prupe.1G168500.1, Prupe.1G168400.1	CDY51252, CDY69555, CDY59884, CDY50111, CDY18093, CDY50112, CDY61573, CDY63752
OG0001187	Prupe.7G160600.1, Prupe.8G091600.1, Prupe.1G374400.1	CDX72490, CDY45319, CDX75445, CDX69072, CDY31528, CDY17470, CDX76292
OG0001188	Prupe.1G267900.1, Prupe.3G270000.1, Prupe.3G272000.1	CDY28689, CDX78606, CDX70589
OG0001189	Prupe.7G170600.1, Prupe.8G164100.1	CDY24381, CDY20844, CDY07815, CDY29202, CDX77984, CDX73738, CDY01133
OG0001190	Prupe.1G109600.1	CDY08048, CDX74101
OG0001190	Prupe.3G287500.1	CDY28671, CDX91943, CDX74304, CDX85591, CDX91036
OG0001191	Prupe.2G099900.1, Prupe.2G100200.1, Prupe.2G100500.1	CDY56546, CDX81137, CDX85795, CDY40060, CDY40057, CDX85798, CDX69889, CDY21602, CDY21601, CDX69890
OG0001192	Prupe.3G188200.1, Prupe.4G082500.1	CDY43664, CDX79568, CDX84639, CDY17268, CDX84301, CDX90230, CDY51470, CDX99884, CDY26288
OG0001194	Prupe.1G396400.1	CDY17194, CDY71924, CDY27950, CDX79540, CDX84673, CDY26873
OG0001194	Prupe.5G092200.1, Prupe.5G102400.1, Prupe.5G102500.1, Prupe.5G102300.1, Prupe.5G100300.1, Prupe.5G102200.1	CDY18818, CDY35511
OG0001195	Prupe.2G055000.1, Prupe.2G069200.1, Prupe.7G185900.1, Prupe.7G021100.1	CDY04932, CDY14135, CDY04931, CDX98805, CDX70181, CDX98804, CDX70182, CDX80930, CDY11319
OG0001196	Prupe.1G457100.1, Prupe.2G073500.1, Prupe.3G100600.1, Prupe.1G064300.1, Prupe.3G091100.1, Prupe.3G088300.1, Prupe.3G025400.1	CDY46145, CDY20308
OG0001197	Prupe.5G033700.1, Prupe.1G434500.1	CDY65560, CDY17109
OG0001197	Prupe.8G126600.1	CDX72445, CDY68227, CDX69020
OG0001198	Prupe.5G056900.1, Prupe.2G269800.1	CDY14044, CDY55181
OG0001198	Prupe.7G004100.1	CDY21157, CDY29969, CDY38492, CDY25453
OG0001199	Prupe.2G259400.1, Prupe.2G259300.1	CDX72159, CDY27236, CDY27234, CDY27235, CDY66186, CDY52929
OG0001201	Prupe.1G526100.1	CDX82218, CDY32404, CDY27541, CDY37315
OG0001202	Prupe.1G067100.1, Prupe.1G066800.1	CDY25243, CDX94264, CDX99535, CDX86866, CDX86865, CDX99538, CDY05096, CDX90754
OG0001203	Prupe.7G187600.1	CDY26806, CDY30366, CDY26807, CDY26805, CDY30367, CDY07845, CDX72537, CDY40633, CDY41653, CDY24812, CDY66403
OG0001204	Prupe.2G123200.1	CDX84176, CDY71448, CDY32094, CDY72553, CDX84602, CDX79619, CDY09667, CDX90497, CDY72344, CDY42937
OG0001205	Prupe.1G325700.1, Prupe.5G231400.1	CDY49620, CDX92190
OG0001205	Prupe.1G149300.1	CDX70861, CDY66706, CDX92566, CDY13942
OG0001206	Prupe.2G309700.1	CDY05915, CDY08119, CDY00194, CDX86984
OG0001207	Prupe.5G021900.1	CDX84193, CDY31703, CDY32117, CDY40460, CDY12272, CDY22572, CDY35527, CDY41750, CDX84115, CDY35526, CDY29915
OG0001208	Prupe.1G182000.1, Prupe.1G516300.1	CDY21353, CDY38230, CDY46637, CDY00441, CDX87469, CDX83082, CDY26857, CDX79249, CDX68028, CDX88424, CDX87471, CDX88423
OG0001209	Prupe.5G011200.1	CDY31491, CDY29516, CDY33637, CDX96629, CDY01361, CDY31876, CDX88264, CDX87610, CDX68103, CDX72535, CDY27141, CDX74395, CDX98943, CDY27140, CDY31492
OG0001210	Prupe.8G082200.1	CDX75459, CDX69085
OG0001210	Prupe.1G368100.1	CDY69518, CDY01394, CDY68586, CDY29393, CDY62584, CDX83744
OG0001211	Prupe.6G224600.1, Prupe.1G425600.1, Prupe.1G425500.1, Prupe.1G425700.1, Prupe.1G425400.1	CDY29697, CDY18654, CDY12840, CDY57437
OG0001212	Prupe.5G126200.1, Prupe.2G191800.1, Prupe.2G314400.1	CDY50438, CDY10983, CDY66676, CDY03496, CDY25264, CDY61072, CDX99567, CDX86842, CDY05119
OG0001213	Prupe.4G113300.1	CDX98244, CDX77556
OG0001213	Prupe.7G023000.1	CDX67650, CDY67461, CDX75993, CDX72132, CDY27209
OG0001214	Prupe.2G310800.1	CDX74119, CDY49991, CDY19017, CDX89220, CDX92850, CDY29868, CDX92849, CDY29867
OG0001215	Prupe.5G206200.1, Prupe.3G254500.1	CDY23092, CDY02179, CDX87195, CDY16827, CDY42844, CDY47006
OG0001216	Prupe.7G204900.1	CDY39150, CDX82671, CDY12863, CDY01402, CDY39151, CDY69048, CDY46707, CDY30195, CDY43525, CDX68586
OG0001217	Prupe.4G003100.1	CDY41066, CDY25949, CDY40544, CDY28908
OG0001217	Prupe.6G025500.1	CDY10527, CDY42389, CDY52903, CDY53762
OG0001218	Prupe.6G355800.1	CDY71359, CDY14463, CDY54423, CDY18385, CDY14461, CDY14462, CDY66717, CDY54462, CDY61536, CDX73489, CDX78229, CDY71064
OG0001219	Prupe.1G141000.1	CDY02605, CDY47180, CDX70831, CDX88926, CDX92593, CDY13909
OG0001219	Prupe.8G254000.1	CDX76679, CDY11467
OG0001220	Prupe.7G099300.1, Prupe.2G071300.1	CDY44878, CDX70203, CDY11309, CDY04927, CDY14138, CDY08586, CDY00960, CDY25845, CDY19565, CDY48004, CDX80997, CDY47259
OG0001221	Prupe.4G238200.1	CDX72309, CDY13438, CDX68755
OG0001223	Prupe.3G209900.1, Prupe.4G013800.1	CDY18281
OG0001225	Prupe.6G035100.1	CDY06517, CDY64978, CDY65747
OG0001226	Prupe.1G152000.1, Prupe.1G152200.1, Prupe.1G152100.1, Prupe.8G243100.1	CDY15456, CDX86682, CDX86683, CDY15455, CDY37436, CDY32500
OG0001228	Prupe.6G130100.1, Prupe.1G226300.1	CDY30545, CDX77119, CDX83271, CDY31182, CDY04500, CDX71446
OG0001229	Prupe.7G072600.1, Prupe.7G072700.1	CDX98968, CDX70056, CDY58889, CDX81022, CDY58884, CDY58887, CDY58888, CDX81023, CDX70060, CDX98965, CDX70058, CDX70057, CDX98967, CDX70059, CDX98966
OG0001230	Prupe.1G376000.1	CDX72858, CDY38644, CDY42613
OG0001232	Prupe.4G006200.1	CDY17346, CDY66688
OG0001232	Prupe.2G240100.1, Prupe.2G240200.1	CDY02950, CDX76084
OG0001246	Prupe.6G271700.1	CDY40314, CDY48117, CDY55902
OG0001246	Prupe.2G246800.1	CDX93218, CDY07045, CDX74815, CDY24938
OG0001247	Prupe.1G200900.1, Prupe.1G234700.1	CDX84241, CDY07326
OG0001263	Prupe.6G288000.1	CDY54459, CDY61534
OG0001264	Prupe.1G033200.1	CDY15498, CDX86642, CDY32539, CDY10066, CDY18218, CDX89828, CDY68000
OG0001265	Prupe.2G079600.1, Prupe.7G113000.1	CDY23233, CDX95371, CDX84568, CDX67536, CDY13349, CDX73606, CDX78123, CDX84138, CDX75053
OG0001266	Prupe.1G570200.1	CDY69452, CDX79810, CDY30427, CDY44245, CDX83471, CDY30425, CDY23384
OG0001267	Prupe.5G066400.1	CDY25967, CDY41050, CDY65118
OG0001268	Prupe.7G188800.1	CDY33774, CDX81613, CDY33773, CDX81614, CDX84043, CDX96865, CDY49109, CDY39339, CDY39340, CDY49110, CDY49111
OG0001269	Prupe.6G092800.1, Prupe.6G241200.1	CDY46753, CDX79715, CDX74989, CDX91334
OG0001270	Prupe.8G235800.1	CDX93914, CDY53717
OG0001270	Prupe.1G020300.1	CDY29764, CDY50683, CDY16256, CDY36868, CDY36869
OG0001271	Prupe.6G061500.1, Prupe.6G271200.1	CDY10485, CDY40315, CDY13185
OG0001272	Prupe.8G155300.1, Prupe.8G155500.1	CDY27927, CDY17212, CDY03587, CDY12427, CDY45047, CDY03586, CDY03585, CDY28146, CDY69091, CDY45046, CDY16426, CDY66609
OG0001273	Prupe.1G045600.1, Prupe.8G218400.1, Prupe.8G218300.1	CDY69420, CDY53408, CDY52213, CDY66934, CDY48783
OG0001274	Prupe.1G458100.1	CDX68448
OG0001274	Prupe.5G181300.1, Prupe.1G262400.1	CDX68449, CDY16232, CDY46411, CDY62371
OG0001275	Prupe.6G147900.1	CDY37960, CDY45058, CDY21380, CDY04796, CDY12519, CDY25748
OG0001276	Prupe.6G238500.1	CDY44344, CDY11241, CDX80854, CDY10404, CDX70328
OG0001280	Prupe.2G210400.1, Prupe.6G234300.1	CDX70248, CDY67470, CDY41387
OG0001280	Prupe.7G037800.1	CDY63485, CDY53709
OG0001281	Prupe.4G127300.1, Prupe.4G127200.1, Prupe.4G127100.1, Prupe.4G127600.1, Prupe.4G127800.1	CDX88532, CDX87388, CDY22274, CDY56805, CDX96817, CDX83951
OG0001282	Prupe.8G215400.1, Prupe.1G049200.1, Prupe.7G197200.1	CDX79522, CDX84693, CDY19477, CDY17158, CDY18243, CDX89814, CDY59182, CDY53196
OG0001283	Prupe.3G031400.1, Prupe.7G191000.1	CDY22486, CDY00937, CDY57164, CDX82488, CDY60692, CDY21825, CDY33237, CDX75762
OG0001284	Prupe.2G184100.1	CDY27325, CDY66318, CDX83370
OG0001286	Prupe.7G114700.1, Prupe.6G123800.1	CDX71430, CDY04508, CDY31188, CDX83277
OG0001287	Prupe.6G018400.1	CDY68091
OG0001287	Prupe.7G073400.1	CDX67712, CDX98254, CDY47660, CDY69710
OG0001288	Prupe.4G192100.1, Prupe.4G034900.1	CDY34836, CDY34649, CDX97955, CDY19362
OG0001289	Prupe.4G052500.1	CDY38388
OG0001289	Prupe.6G277900.1	CDY22173, CDY68815
OG0001290	Prupe.4G034400.1, Prupe.3G228000.1	CDY22116, CDY21951, CDX90892
OG0001294	Prupe.1G172800.1, Prupe.4G230200.1	CDY60374, CDY45095
OG0001295	Prupe.6G146800.1	CDY19672, CDY63601
OG0001296	Prupe.1G182200.1	CDY17943, CDY70902, CDY30386
OG0001297	Prupe.7G203300.1	CDY45084, CDY51844, CDX70929
OG0001297	Prupe.3G043800.1	CDY39088, CDY33257, CDY65327, CDX97536
OG0001298	Prupe.3G178600.1, Prupe.1G340500.1, Prupe.3G116700.1	CDX97319, CDY71094
OG0001299	Prupe.7G261000.1, Prupe.6G015000.1	CDX84410, CDY65812, CDY29599, CDY25209, CDY22826, CDY46564, CDY51249, CDY29620, CDY35575, CDY37109, CDY22814, CDY37108, CDY37130, CDY22801
OG0001300	Prupe.3G046000.1, Prupe.7G206400.1	CDX96430, CDX72938
OG0001301	Prupe.4G224700.1	CDY45917, CDY35765, CDX86337, CDX85314, CDY67293
OG0001302	Prupe.5G220100.1, Prupe.1G307900.1	CDY04182, CDY13586
OG0001304	Prupe.3G293200.1	CDX70568, CDX78580
OG0001304	Prupe.1G305300.1	CDY51128, CDY20528, CDX85002, CDY16138
OG0001305	Prupe.8G193900.1, Prupe.1G173300.1	CDX86296, CDY05670, CDX85347, CDX86297, CDY51061, CDY35923, CDY28061
OG0001306	Prupe.6G348000.1	CDY30004
OG0001306	Prupe.1G034300.1	CDY70443, CDY35503, CDY08978
OG0001308	Prupe.8G168000.1, Prupe.7G174300.1	CDX73725, CDY16313
OG0001309	Prupe.2G213600.1	CDX67611
OG0001309	Prupe.6G101600.1, Prupe.6G237000.1	CDX91340, CDY46758
OG0001310	Prupe.6G014800.1, Prupe.7G076300.1	CDX73836, CDY00756, CDY01104, CDY08453, CDY47892
OG0001312	Prupe.5G019700.1, Prupe.8G169300.1	CDY12285
OG0001313	Prupe.3G060900.1, Prupe.1G447300.1, Prupe.1G447400.1	CDX87075, CDY19792, CDX80542, CDX88201
OG0001314	Prupe.6G229200.1	CDY38934, CDX89556
OG0001314	Prupe.8G134500.1	CDX69035, CDY69287, CDX75411, CDY54466, CDY52422
OG0001315	Prupe.3G278900.1	CDY04014, CDY47236, CDY00136, CDY20027, CDY44591, CDY53111
OG0001315	Prupe.1G260500.1, Prupe.8G067000.1, Prupe.5G178700.1, Prupe.5G178600.1	CDY60795, CDY16244
OG0001316	Prupe.2G146300.1, Prupe.2G282400.1	CDY16786, CDX87240, CDX86911, CDY00270
OG0001317	Prupe.1G309600.1, Prupe.1G309400.1	CDX91998, CDX74251
OG0001317	Prupe.3G238000.1	CDX67404, CDY58121, CDX74522, CDY01661
OG0001318	Prupe.6G102900.1	CDX93600, CDX95103, CDY32815, CDY58825, CDY06293, CDY22706, CDY30494, CDY72431, CDX71356, CDY04556
OG0001319	Prupe.1G472500.1	CDX72362, CDY13492, CDX68852, CDX75250
OG0001319	Prupe.3G077900.1	CDY39649
OG0001321	Prupe.1G107200.1, Prupe.1G107300.1, Prupe.1G107400.1, Prupe.1G107700.1, Prupe.1G107600.1, Prupe.1G107900.1, Prupe.1G108000.1, Prupe.1G107800.1, Prupe.1G107500.1	CDX82371, CDX75913
OG0001322	Prupe.6G085000.1	CDX86041, CDX99125, CDX86040, CDX88722, CDX71075, CDY49581, CDX80230, CDY70097, CDY69199
OG0001324	Prupe.4G133800.1	CDY00798, CDX73803, CDY24247, CDY43401
OG0001324	Prupe.4G133900.1	CDY70232, CDX87375, CDX88547, CDY49746, CDX67989, CDX79326
OG0001325	Prupe.1G287200.1, Prupe.1G287100.1	CDY16105
OG0001325	Prupe.5G151600.1, Prupe.5G151400.1, Prupe.5G151500.1	CDY03409, CDY34321
OG0001326	Prupe.8G099800.1	CDY31982, CDY56816, CDX76259, CDX76257, CDY48088, CDY48861, CDY16488, CDX77254
OG0001327	Prupe.4G149000.1	CDY65129, CDY48471, CDX83923, CDY70865, CDY52446, CDX88445, CDX79262, CDX68015, CDY26862
OG0001329	Prupe.1G303700.1, Prupe.3G240800.1	CDY12630, CDY67849
OG0001330	Prupe.3G222000.1, Prupe.4G201000.1	CDY18346, CDY42470, CDY43811, CDY43029, CDY43813
OG0001331	Prupe.4G044300.1, Prupe.4G185300.1	CDX89247, CDY29313, CDY53481, CDY66674, CDY28817, CDX96240
OG0001332	Prupe.1G514700.1	CDY14626, CDY26852
OG0001332	Prupe.6G183300.1	CDY40087, CDX85770
OG0001333	Prupe.1G376200.1	CDY27626, CDX84911, CDY41275
OG0001333	Prupe.8G093900.1, Prupe.8G093400.1	CDX99581, CDY15884
OG0001334	Prupe.1G117000.1	CDX92112
OG0001334	Prupe.4G073900.1	CDX78827, CDY61670
OG0001335	Prupe.7G216400.1	CDX72379, CDY13507, CDY49819, CDX68921, CDX75300
OG0001335	Prupe.1G443300.1	CDX69737, CDX97137, CDX78436, CDX70413
OG0001336	Prupe.5G034300.1	CDY01500, CDX90437, CDX76551, CDY08880, CDY44504, CDX78810
OG0001337	Prupe.1G256200.1	CDY62994
OG0001337	Prupe.1G095500.1	CDY51491, CDY30305
OG0001337	Prupe.5G176400.1	CDY57320, CDX91726
OG0001338	Prupe.4G096400.1, Prupe.4G096300.1	CDX77568, CDY67309, CDY02326
OG0001339	Prupe.7G208400.1, Prupe.7G208500.1	CDY50467, CDY51023, CDY20702, CDY62828
OG0001340	Prupe.8G106300.1	CDX92286, CDX99298
OG0001341	Prupe.8G103400.1	CDX99302, CDX92282
OG0001341	Prupe.1G383800.1	CDY46009, CDY37264, CDY46017, CDX85871, CDX68152
OG0001342	Prupe.1G072600.1	CDY46716, CDY38264, CDY53981
OG0001342	Prupe.3G018900.1	CDX82212, CDY32412, CDY50072, CDY19575, CDY27537, CDY37311
OG0001343	Prupe.7G225200.1	CDY71100, CDY31992, CDY70304, CDY05721, CDY31993, CDY13886, CDX81958, CDY35227, CDY06862, CDY50928, CDX92898
OG0001344	Prupe.1G241400.1, Prupe.1G241500.1, Prupe.5G162100.1	CDY28669, CDX77080, CDY37506, CDY17992
OG0001345	Prupe.6G264800.1	CDY40325, CDY10476
OG0001345	Prupe.2G243000.1	CDX70109, CDX98888
OG0001347	Prupe.2G306800.1	CDX89126, CDY43942, CDX88076, CDX80413
OG0001348	Prupe.1G335900.1	CDY01871, CDX96059, CDY66644
OG0001349	Prupe.1G224500.1	CDY03912, CDX84931, CDY66149, CDY11821, CDX84929, CDY27607, CDY15716, CDY15714, CDY03910
OG0001350	Prupe.2G026000.1, Prupe.4G255100.1	CDY49805, CDY71649
OG0001351	Prupe.1G363200.1	CDY62938, CDY54339, CDY43415
OG0001352	Prupe.5G164500.1	CDY34305, CDY03424, CDY05799, CDY05798, CDX71613, CDX91545, CDY16372, CDX83019, CDY34047, CDY64637
OG0001353	Prupe.2G277900.1, Prupe.5G075600.1	CDY03264, CDY39805, CDY46906, CDY31826, CDY03265, CDY39804
OG0001354	Prupe.1G080500.1, Prupe.1G080600.1, Prupe.1G080700.1, Prupe.1G080800.1, Prupe.1G080300.1, Prupe.1G205400.1, Prupe.1G205600.1, Prupe.1G204800.1, Prupe.1G204700.1, Prupe.1G204000.1	CDX73482
OG0001355	Prupe.1G364000.1	CDY10991, CDX92619, CDY34263, CDY03478
OG0001355	Prupe.7G169500.1, Prupe.8G163300.1	CDY12096, CDY72463
OG0001356	Prupe.6G210200.1, Prupe.1G540400.1	CDY37835, CDY69978, CDY08769
OG0001357	Prupe.1G273400.1	CDY40268
OG0001357	Prupe.5G045100.1	CDX78823
OG0001358	Prupe.7G090600.1	CDY32082, CDY40429, CDX79631, CDX84594, CDY23209, CDX95333, CDX81004, CDY55758, CDY57989, CDX98919, CDY01050, CDY08502
OG0001359	Prupe.8G092100.1	CDX99587, CDY15888
OG0001359	Prupe.8G092200.1, Prupe.8G092000.1, Prupe.7G244900.1, Prupe.7G160200.1	CDX99586, CDY15887
OG0001360	Prupe.2G252600.1	CDY07066, CDX93211, CDY24921, CDY07615
OG0001361	Prupe.1G140600.1	CDX92596, CDY13906, CDX88927, CDX70830
OG0001361	Prupe.1G220800.1	CDX78510, CDX69664, CDX97232, CDX85669, CDX91145
OG0001362	Prupe.1G139500.1, Prupe.8G254900.1	CDX95738, CDY53022, CDX80137
OG0001366	Prupe.5G007400.1, Prupe.6G138300.1	CDX71497, CDY46486, CDX71499, CDY30789, CDY22365, CDY25235, CDY68956, CDY58727
OG0001367	Prupe.6G177200.1	CDY33975, CDY37811, CDX81273, CDY18683, CDY08810, CDY14552, CDX85782, CDY40074, CDY21625, CDX69866
OG0001368	Prupe.3G252600.1, Prupe.5G206400.1	CDX78321, CDX81083, CDY47005, CDY68618, CDY58696, CDY02180
OG0001369	Prupe.1G567100.1, Prupe.1G567000.1	CDY34951, CDY34950, CDX74102, CDY08049, CDY24690, CDY05268
OG0001370	Prupe.7G131800.1	CDY66509, CDY66511, CDY29535
OG0001370	Prupe.8G127500.1	CDY51044, CDY00365, CDY16515, CDY32851
OG0001371	Prupe.3G104000.1	CDX88561, CDX87359
OG0001371	Prupe.1G395800.1, Prupe.1G395900.1	CDY05381, CDY05469, CDX88152, CDX80483
OG0001372	Prupe.5G073600.1	CDY15967, CDY26539, CDY21035, CDY31242, CDY69100, CDY30051, CDY30052, CDY71412
OG0001373	Prupe.1G428200.1, Prupe.6G226500.1	CDY57444, CDY18648, CDX81324
OG0001374	Prupe.3G147100.1, Prupe.1G316200.1	CDY27012, CDY66366, CDX74543, CDY01684, CDX74544
OG0001376	Prupe.1G307100.1	CDY24395, CDY51131, CDY03848
OG0001376	Prupe.5G218800.1	CDX92240, CDY24483, CDY69364, CDY18523, CDX82342, CDX75968
OG0001377	Prupe.6G161400.1	CDX72041, CDX72040, CDY64936, CDY31779, CDY16277, CDY06498, CDY68588, CDY09049, CDY22732, CDY09056, CDY06499, CDY68587
OG0001378	Prupe.2G118500.1, Prupe.5G052200.1	CDX77738, CDY33513, CDY66626, CDY43445, CDY40585, CDY12407, CDY69789
OG0001379	Prupe.3G281600.1	CDY09897, CDY28677
OG0001379	Prupe.6G107100.1	CDX80513
OG0001379	Prupe.5G176600.1	CDY36908, CDY44983, CDY30736, CDY45749, CDY00331, CDX84362
OG0001380	Prupe.2G110400.1, Prupe.5G042300.1	CDY01274, CDX93833
OG0001381	Prupe.1G263600.1, Prupe.1G263500.1, Prupe.1G263400.1	CDY14687, CDY16227, CDY46415, CDY52250, CDY16226, CDY14693, CDY46413, CDY62366
OG0001382	Prupe.2G281400.1	CDX99903, CDY00487
OG0001382	Prupe.2G144000.1, Prupe.5G079400.1	CDX82961, CDX79173
OG0001383	Prupe.1G261300.1	CDY11612, CDY38797, CDY03761, CDY42991
OG0001383	Prupe.4G210700.1, Prupe.4G210800.1	CDY29265, CDY19873, CDY17285
OG0001384	Prupe.5G244300.1, Prupe.5G244000.1	CDX82356, CDY59747, CDY31631, CDX82357, CDX82352, CDY64854, CDY68937
OG0001385	Prupe.1G081600.1	CDY28166, CDY51649, CDX72214
OG0001385	Prupe.6G223400.1	CDX69313, CDX75661, CDY29561, CDX72634
OG0001386	Prupe.7G132300.1, Prupe.1G434000.1	CDY30593, CDY17765, CDX83121, CDX68583, CDX81342, CDY18636, CDY43559, CDY63952, CDY01443, CDY12799
OG0001387	Prupe.1G434200.1	CDY17058, CDY43217
OG0001387	Prupe.7G133000.1	CDX75626, CDX69276, CDY67768, CDY42723
OG0001388	Prupe.1G428000.1, Prupe.1G428100.1	CDY47595, CDY17037, CDY17091, CDY06753, CDY06752, CDY22369
OG0001390	Prupe.3G168500.1, Prupe.6G032600.1, Prupe.3G192400.1	CDX82545, CDX75703, CDY23589, CDY44007
OG0001391	Prupe.1G122600.1, Prupe.1G122700.1, Prupe.6G314700.1, Prupe.8G271000.1	CDX91807
OG0001392	Prupe.4G243800.1, Prupe.4G004100.1, Prupe.4G004000.1	CDY57705
OG0001393	Prupe.7G025400.1	CDY28259, CDX68738
OG0001393	Prupe.1G077700.1	CDY66853, CDY03361, CDY01412, CDY12850, CDX83505, CDY30178, CDY46724, CDY14193, CDY03552
