Orthogroup	Capsicum_anuum	Brassica_napus
OG0002306	CA09g00080	CDY01035, CDY08513, CDX98909, CDY60443, CDY11358, CDX80995
OG0002307	CA05g10970, CA07g09820	CDX82806, CDX79039, CDY65340, CDX94025, CDY58482
OG0002308	CA01g25580, CA03g08950	CDY27467, CDY55525
OG0002310	CA09g10940, CA06g26960, CA08g10820	CDY52499, CDY59816, CDY00010, CDX80683, CDX86189, CDY05587, CDY41909
OG0002311	CA06g10190, CA03g20560, CA03g20550, CA03g20570	CDY07152
OG0002312	CA10g05570, CA10g05820	CDY61957, CDY12910, CDY12909
OG0002313	CA03g20580	CDX87128, CDY19836
OG0002314	CA12g01150, CA12g00610	CDY45451, CDY53367, CDX97878, CDY51361
OG0002316	CA06g13640	CDX86937, CDY00247
OG0002317	CA01g02960	CDY46386, CDY39752, CDY71891, CDX67492
OG0002318	CA11g15580	CDY55764, CDX81008, CDX98936, CDX70090
OG0002320	CA01g31490, CA11g10800	CDX93135, CDX89627
OG0002322	CA02g19870, CA02g19880, CA00g96260, CA03g17900, CA03g29670	CDY54367, CDY29180, CDY64459
OG0002324	CA00g43000, CA10g20890, CA10g19340	CDY61751, CDY47653, CDX98260, CDX67716
OG0002325	CA10g14420, CA09g05540, CA10g04960	CDY24950, CDY07640, CDX93240
OG0002326	CA10g10410, CA11g18240, CA08g08230	CDX90030, CDY15179
OG0002327	CA03g09150, CA06g27600, CA06g25740	CDY21940, CDY22101, CDX90902, CDY53779
OG0002328	CA08g14930, CA04g00210	CDY71795, CDY66094, CDY27458
OG0002329	CA08g05670	CDY16481, CDY25671, CDX77264
OG0002331	CA01g02700	CDX76083, CDY65769, CDX74831, CDY20481
OG0002333	CA09g10540, CA10g13330, CA09g10180	CDY67456, CDY00652
OG0002334	CA12g04500	CDY18351, CDX93284, CDY44630, CDX74865, CDX78269, CDX73443
OG0002335	CA09g06020, CA09g00330, CA08g07470	CDY68762, CDX78109, CDX73618
OG0002336	CA09g13040	CDY06073, CDX71992
OG0002337	CA07g13670, CA00g84830, CA04g06790	CDY35525, CDY29914
OG0002339	CA04g17210	CDY18360, CDY29147, CDY39900, CDY65408, CDY38691
OG0002340	CA10g06550	CDY54061
OG0002340	CA08g06960	CDX91901, CDX74342, CDY07205, CDY51147
OG0002341	CA04g04090	CDY02813, CDY32707, CDY32991, CDY43861, CDX88670, CDY69580
OG0002342	CA01g20350, CA00g25610	CDY28609
OG0002342	CA00g81740	CDX95209
OG0002343	CA12g13290, CA09g05820, CA00g79870, CA04g03540, CA01g29030, CA00g68310, CA04g14370, CA00g81520	CDX80065, CDY15766, CDX99950, CDY67708
OG0002344	CA03g30290, CA12g12820	CDX83959, CDX96824, CDY35065, CDY33357, CDY52854
OG0002346	CA10g01200	CDX81801, CDY21767, CDY48462
OG0002347	CA12g14080, CA04g13540	CDX87563, CDY45956, CDY45955, CDY65284, CDX88320, CDY48545, CDX68080, CDX87564
OG0002348	CA01g00460, CA00g64590	CDY07155, CDY51721, CDY01945, CDY01943, CDX97239, CDX91864, CDX74373
OG0002349	CA06g27930, CA03g10110, CA03g05190	CDX85083, CDX77531, CDY69731, CDY35523
OG0002351	CA10g21020	CDX69595, CDY57895
OG0002352	CA10g09180	CDY50073, CDY19576, CDY27538, CDY37312, CDY52949, CDY46552
OG0002353	CA01g09840, CA12g19140	CDY36434, CDY23303, CDY60850, CDY68556, CDY13440, CDX68762
OG0002355	CA01g25540	CDY08055, CDX74106, CDY18853, CDY05256, CDY24700
OG0002356	CA00g79480, CA00g94390, CA03g02730	CDX88045, CDX80383, CDX87160, CDY16864
OG0002358	CA03g04890, CA04g00660	CDX90257, CDY12063, CDY49412, CDY12760
OG0002359	CA06g15600, CA03g36630	CDY22853, CDY55669, CDY52948, CDY46554, CDX82213, CDY32409, CDY19581, CDY50074
OG0002360	CA06g00500, CA00g89100, CA00g89080, CA06g11220	CDY10133, CDY14973, CDY12535
OG0002361	CA04g21310, CA11g00190	CDX92213, CDY24439, CDX75961, CDY51935
OG0002362	CA00g78500, CA06g16350	CDX96756, CDX83895, CDX81847, CDY59498
OG0002363	CA12g21620, CA00g80900	CDX80103, CDY55381, CDY12735, CDY01193
OG0002364	CA03g19050, CA12g08810, CA06g05660	CDX71911, CDY06021
OG0002365	CA04g14740	CDY46459, CDX73304, CDY28397, CDY28401, CDX73305, CDX93723, CDY48632, CDX91785, CDY46460
OG0002366	CA03g07220	CDY34241
OG0002367	CA06g16770	CDX81723, CDY53305
OG0002367	CA03g34530	CDY21845, CDY20135, CDX82428, CDX75834, CDY71748
OG0002368	CA01g30930, CA01g30940, CA01g30950, CA12g06370, CA12g06300, CA00g97560, CA12g06320, CA12g06340, CA12g06290	CDY36151
OG0002369	CA03g18410, CA03g18400, CA01g02470	CDY10884, CDY44096, CDY13264, CDX86777
OG0002370	CA02g30600, CA03g36580	CDY13125, CDY37314, CDY27540, CDX82217, CDY32405
OG0002371	CA10g20280, CA05g00410	CDX88938, CDY30992, CDY06118, CDX72054, CDX67684, CDY33831
OG0002372	CA11g00410	CDX81695, CDY33719
OG0002372	CA05g10330	CDX92215, CDY24441
OG0002373	CA00g83860	CDX83311, CDX95746
OG0002374	CA03g16880, CA03g16890	CDX86908, CDY69766, CDY00273, CDY69982, CDX87243, CDY16780
OG0002375	CA12g15270, CA02g23240	CDY65450, CDX96237, CDY65451, CDY67677, CDY20238, CDY47084, CDY53477, CDX96236
OG0002376	CA06g05830, CA03g25600	CDY63435, CDY05137, CDX90794, CDX86798, CDY13243
OG0002377	CA12g09890	CDY08829, CDY14529
OG0002377	CA06g10030	CDY21785, CDY71298, CDX99060
OG0002378	CA09g18310, CA03g32060	CDX88572, CDX87348, CDY49387, CDY54093, CDX79346, CDX67972
OG0002379	CA02g17870	CDX94030, CDY58477, CDX79047, CDX82813, CDY71341, CDX76424, CDY47107
OG0002380	CA00g66990	CDY40715, CDX74141, CDY27759, CDY05177, CDY27760, CDY18820
OG0002381	CA02g10710, CA06g02760	CDY60025, CDY02821, CDY58877
OG0002382	CA08g17800, CA03g08220, CA08g17820, CA00g72650, CA01g26990, CA01g27020	CDY57769, CDY55104
OG0002383	CA06g17100, CA03g31770, CA08g03130, CA08g03110	CDY47540, CDY21865
OG0002384	CA06g03490	CDX72384, CDY13513, CDX68929, CDX75314, CDY45024, CDY28278
OG0002385	CA08g14220	CDY15348, CDY69097, CDY70980, CDY35050, CDX83963
OG0002386	CA00g80910	CDY11426, CDX76642, CDX89141, CDY63308
OG0002387	CA03g16800	CDX74756, CDY18910, CDX95656, CDY53888
OG0002388	CA01g26810	CDY13800
OG0002388	CA00g84650	CDY15544, CDX86574
OG0002389	CA03g32970	CDY00530, CDY54775, CDX91652, CDY27066
OG0002390	CA03g25500, CA03g18900, CA03g25480	CDY50400, CDY60907, CDX96164, CDY56162, CDY51826, CDY49164
OG0002391	CA02g11460, CA01g20640, CA12g13240, CA11g09280, CA00g68230, CA09g13670	CDY33710, CDY28593
OG0002392	CA12g09210	CDY49847, CDX90333
OG0002392	CA12g14050	CDY15312, CDX93731, CDX93733
OG0002393	CA06g24820	CDX86480, CDY15611, CDY06262, CDY09915, CDY06709, CDY10278
OG0002394	CA07g14550	CDY09976
OG0002394	CA02g13490	CDX78895, CDX99430
OG0002395	CA01g16500, CA06g21930	CDX84781, CDY19083, CDY15392
OG0002395	CA12g04330	CDY57807
OG0002397	CA07g20290	CDY42395, CDY10522
OG0002397	CA06g04580	CDY48680, CDY53449
OG0002399	CA07g19000	CDX97371, CDY14294
OG0002399	CA07g11920, CA09g07440	CDY48266
OG0002400	CA12g12580, CA03g31230	CDY12984, CDX87230, CDY16798, CDY67247, CDY00245, CDX86939
OG0002401	CA02g14140, CA07g17030, CA10g01660	CDY55387
OG0002402	CA02g15520, CA00g84200	CDY35194, CDX97242, CDY38383, CDY29910, CDX92878
OG0002404	CA10g18750	CDX99013
OG0002404	CA10g21910, CA10g18760, CA10g18740	CDX99012, CDX70003
OG0002406	CA03g30690	CDX78289, CDX81046, CDY55176, CDY14048, CDY00228, CDY68628, CDY42877
OG0002407	CA11g16660	CDX98570, CDX92364, CDY09132
OG0002407	CA09g00110	CDX98908, CDY60442
OG0002408	CA02g12300, CA10g19820, CA10g19990	CDY65526
OG0002409	CA02g31060, CA02g09200	CDY08963, CDY24852, CDY03397, CDY13672, CDY52406, CDY00174, CDY20068
OG0002410	CA12g02780, CA03g37140	CDY36236, CDY17662
OG0002411	CA07g04110	CDX82426, CDX75851
OG0002411	CA03g32500	CDX67950
OG0002412	CA09g07160	CDY57233, CDY22930, CDY71796, CDY57971, CDY57973, CDY50056, CDY64254, CDY55658, CDX71395, CDY33149
OG0002413	CA07g18010, CA00g93470, CA09g12630, CA09g13200	CDY29837, CDX92829, CDY29304, CDX89252
OG0002414	CA07g04080, CA06g13860	CDY13478, CDX72351, CDX75231, CDX68829
OG0002415	CA10g18960, CA01g12440, CA01g12430, CA11g11960	CDX73830, CDY00762, CDY50562, CDY08443
OG0002416	CA01g09600	CDX68724, CDY28246
OG0002416	CA05g12210	CDY43882, CDY62695, CDY02795
OG0002417	CA12g12570, CA03g31190	CDY64709
OG0002418	CA01g21210, CA01g21240, CA01g21180, CA01g21190	CDX68352, CDY23509
OG0002419	CA11g17620, CA12g06350, CA12g06360, CA06g23180	CDX77134, CDY30531
OG0002420	CA01g10710	CDX70481, CDY67745, CDY55867, CDY53973, CDX91157, CDX85683
OG0002422	CA10g00550, CA07g17760, CA00g19900	CDX98554, CDX97662, CDY48565, CDY21971, CDY48214, CDY61995
OG0002423	CA09g13050, CA07g17660	CDY19058, CDY14276, CDX97389, CDY56314, CDY29843, CDX89242
OG0002424	CA11g15830, CA11g15820, CA11g15840	CDY24286, CDX92931, CDY24282, CDX92933, CDY37387, CDY10618, CDY39505, CDY58749
OG0002425	CA00g44070	CDX71938, CDY49240, CDY58984, CDX97769, CDY69375, CDX84808, CDY23971
OG0002426	CA11g19030	CDY31525, CDY53631, CDY09193
OG0002426	CA01g07890	CDX73422, CDY56958
OG0002427	CA07g02070, CA07g02100	CDY11837, CDX88652, CDY57467, CDY55013
OG0002429	CA01g16490, CA01g16480	CDX92499, CDY35854, CDY42298, CDY44945, CDX70892, CDX88873
OG0002430	CA12g01440, CA06g09130, CA09g00280, CA09g06070, CA12g02070	CDY22138, CDY07477, CDY39255
OG0002431	CA07g17970	CDY21486
OG0002431	CA00g63860	CDY12885, CDY40972, CDY03788, CDY52492
OG0002432	CA07g06530	CDY33401, CDY65349, CDX74646
OG0002433	CA07g05190	CDY26687, CDY41033, CDY72319, CDX96670, CDY63803, CDY21673
OG0002434	CA03g26290	CDY49593, CDY24846, CDY08947, CDY34309, CDY71165, CDX92651, CDY11032
OG0002435	CA00g60360, CA02g04710	CDX99583, CDY13804, CDX89704
OG0002436	CA02g20370, CA02g20380, CA04g04110	CDY31626, CDY22985, CDY39263, CDY07470
OG0002437	CA11g07890	CDY61546, CDY25800, CDY28476
OG0002438	CA11g14580	CDX69707, CDX97168, CDY25217, CDY01982, CDX92523, CDY14008, CDX88888, CDX70879, CDY44921, CDY42270
OG0002439	CA12g14450	CDY08814, CDY68462, CDX78366, CDX81156, CDX85779, CDY40077, CDY21634, CDX69861
OG0002440	CA00g93950, CA12g15850, CA03g00760	CDY01163, CDY70845, CDY64789, CDY12721, CDX77480, CDX85135
OG0002441	CA11g05500, CA08g04500	CDY20410, CDY41340, CDY21314, CDX67943, CDX81866, CDY18479, CDX95569, CDX75947, CDY51921
OG0002442	CA04g17120	CDX96315, CDY49212
OG0002442	CA02g24340	CDX69344, CDX75685, CDY49684
OG0002443	CA05g08580, CA04g15790, CA00g45240, CA06g14450, CA03g06950	CDX80695
OG0002444	CA02g03990, CA02g00440	CDX99367, CDX78938, CDY01601, CDX98625
OG0002445	CA00g80440	CDY52222, CDY03812, CDY15006, CDY34846, CDY34658
OG0002446	CA03g27030	CDY34127, CDY34128, CDY24542, CDY37958, CDX93396, CDY20611, CDY20963
OG0002447	CA06g16360	CDY25745, CDY69861, CDY03662, CDX82188
OG0002447	CA06g15200	CDY69883
OG0002448	CA00g60610, CA00g60600	CDY57035, CDY20994, CDY27258, CDY19363, CDX97956
OG0002449	CA08g19330	CDX72748
OG0002449	CA02g21270	CDX88005, CDY07874
OG0002450	CA02g12170, CA04g00810	CDX79561
OG0002450	CA00g72060	CDY34946, CDY05275, CDY24683
OG0002451	CA09g09620	CDY00067, CDY19958
OG0002451	CA12g19720	CDY70798, CDY29648
OG0002452	CA08g19010	CDX90083
OG0002452	CA10g09300	CDY11813, CDY03919, CDY13843, CDY15921, CDX99623
OG0002453	CA00g64280, CA00g57450	CDY65058, CDY66821, CDY13793, CDY15872, CDX99572
OG0002454	CA09g08190, CA06g07730	CDX98850, CDX70143, CDY14108, CDY04957
OG0002455	CA04g03500, CA02g18220	CDY47167, CDY25331, CDY12917, CDY19508
OG0002456	CA11g11890, CA00g58510	CDY71955, CDX86082, CDX99110, CDY69819
OG0002457	CA06g15780, CA09g17200	CDY21680, CDX81916
OG0002458	CA11g11580	CDY34596, CDY21078, CDY16049, CDY26606, CDY52169, CDX99711, CDY13630, CDX83615
OG0002459	CA05g16750	CDY41838, CDX77316, CDY67948, CDX93662, CDX92138, CDX95845, CDX82362, CDY65740, CDY46897
OG0002460	CA11g17960, CA11g19750, CA00g82210	CDY50325, CDY26979, CDX88770
OG0002461	CA02g14180	CDY37670, CDY67393, CDY50789, CDX99791, CDX90171, CDY43321, CDY71347, CDY15647
OG0002462	CA03g33300, CA12g07980	CDY21708, CDX81871, CDY65028, CDY26166, CDY65029, CDY65030
OG0002463	CA06g06570, CA12g02720	CDY40049, CDY68708, CDX81768, CDY50998
OG0002464	CA02g15510, CA06g15300, CA00g84190	CDY38384, CDY35193
OG0002466	CA08g18130	CDY61195, CDY49552, CDY02272, CDX89685
OG0002466	CA02g07740	CDX73782, CDY28983, CDX90682
OG0002467	CA02g18840, CA00g42430	CDY54438, CDY16424
OG0002467	CA03g17480	CDY22986, CDX91283, CDY26056
OG0002469	CA01g01660	CDY08360, CDY38192
OG0002469	CA03g18860	CDY49165, CDY19639, CDY51824, CDY56163
OG0002470	CA07g05890, CA09g14750, CA03g12190, CA03g35350	CDX85866, CDY46021
OG0002471	CA06g19870, CA03g25340, CA06g19860	CDY70710, CDY45741, CDY30743, CDX84392, CDY41504
OG0002472	CA03g03200, CA05g08920	CDY44150, CDY04709, CDY41445, CDY25786, CDY54292, CDY11585, CDY47139, CDY04708
OG0002473	CA01g21380	CDX91095, CDX85625, CDX78538, CDX70520
OG0002475	CA01g24180	CDY38533, CDX83245, CDY04467, CDX71485
OG0002476	CA01g23750, CA02g08680, CA02g28550, CA02g28700	CDY66736
OG0002477	CA07g14280, CA07g14230, CA07g14290, CA07g14260, CA12g15660, CA12g18900	CDY13865, CDX81971
OG0002478	CA03g19720, CA03g19730	CDY44280, CDY59967
OG0002478	CA00g84030	CDY40863, CDX86829
OG0002479	CA07g01280	CDY13392, CDX72274, CDX68699, CDY28222, CDY34793, CDX76831, CDX83206, CDY21485
OG0002480	CA01g10680	CDX91417, CDY37803, CDX91403, CDX80115, CDY37802, CDY07924, CDX73977, CDY07923
OG0002481	CA04g19210, CA03g26530, CA08g17490	CDX71244, CDY37237, CDY37235, CDY36649
OG0002482	CA08g02420, CA02g11370	CDX78839, CDX99479, CDX76529, CDY34066, CDY62359, CDY33464, CDY35154, CDY03233
OG0002483	CA00g31240	CDX75339, CDX68956, CDY46126, CDX72394, CDY45032, CDY28286, CDY45031, CDY28285
OG0002484	CA03g12740	CDY07054
OG0002485	CA02g26460, CA02g26480, CA04g09830, CA02g08050	CDX69489, CDY69475
OG0002487	CA03g22650, CA11g10580	CDY37908, CDY49302, CDX83049, CDX87005, CDX68499, CDY64960, CDY05876, CDX80380, CDX88042
OG0002488	CA05g16360	CDX76086, CDY60320, CDY53688, CDY02947
OG0002488	CA10g04120	CDY00641
OG0002489	CA00g68610, CA02g12990, CA00g71750	CDX76504, CDX99407, CDX78907
OG0002490	CA05g13660	CDY13772, CDX78373
OG0002490	CA01g27210	CDY48241, CDX95606
OG0002491	CA12g02340, CA01g27870, CA09g17960, CA07g09750	CDX84898, CDY27638, CDY07428, CDY28894, CDY51186, CDY12639
OG0002492	CA05g14820, CA05g14810	CDX76075, CDY02957, CDY27269, CDX72206
OG0002493	CA08g15500	CDX68975, CDX75351, CDY45042
OG0002493	CA04g14890	CDX96350, CDX72833, CDY36679
OG0002494	CA02g30660, CA02g09120	CDX69598, CDY57891, CDY58404, CDX70547, CDX78565
OG0002496	CA04g19150, CA08g17450	CDX95176, CDY52067
OG0002497	CA06g06950, CA06g06940	CDY36295, CDY36290, CDY67040, CDY36293, CDY36298
OG0002499	CA00g57900	CDX74948, CDY67975
OG0002499	CA00g46670, CA02g28790	CDX67446, CDY11668, CDX85567
OG0002500	CA00g44690, CA10g03360	CDY52040, CDX84022, CDY66955, CDY72211, CDY45274, CDY41091, CDY59422, CDX81656
OG0002501	CA00g73590	CDX75504, CDX69141, CDY40634, CDX72536, CDY24811, CDY41654, CDY24333, CDY49426
OG0002503	CA02g02700, CA02g19240	CDY06746, CDY17083, CDY17842, CDY67651
OG0002504	CA07g03240	CDY68710
OG0002505	CA01g12520, CA06g19690	CDX80082, CDX93980
OG0002506	CA05g13290	CDY50902, CDX72678, CDX90345, CDY64506, CDY00065, CDX72679, CDY61801, CDY53167, CDX72680, CDY53166
OG0002507	CA02g01000, CA02g28000	CDY30251, CDX74450, CDX74449, CDY30252, CDX74448, CDY30253, CDY37006
OG0002508	CA02g23110	CDX83553, CDY13583, CDY59866, CDY04179
OG0002509	CA02g30190	CDY09855
OG0002509	CA06g21640	CDY49758, CDY60176, CDY04001
OG0002510	CA11g01910	CDY04190, CDY39174
OG0002511	CA01g28930, CA06g08130	CDX79809, CDY66694, CDY44247, CDX83468, CDY23391, CDY30433, CDY05984, CDX71881
OG0002512	CA01g08970, CA00g00920, CA03g32980, CA07g08650, CA00g80130, CA01g32910	CDY65184, CDY39683
OG0002513	CA07g07640, CA09g17280	CDX68725, CDY28247, CDY23284, CDY36453, CDY13414, CDX72296
OG0002514	CA06g12640, CA01g33770, CA01g06290	CDY09664, CDX90495, CDY42944, CDY35617
OG0002515	CA01g07160	CDY58500, CDX77687, CDY01499, CDX90439, CDY08879, CDX78809, CDY44506
OG0002516	CA03g27900, CA03g27870	CDY26708, CDY19262, CDX68165, CDX85856, CDX84248, CDX84326, CDY43681
OG0002517	CA01g09040	CDX84231, CDY40459, CDY32116, CDY31704, CDX84192, CDX84232, CDY66217
OG0002518	CA11g05820, CA01g16120	CDY31411, CDY61178, CDY52814, CDY16217, CDY14707, CDY52255, CDY46422, CDY40281
OG0002520	CA00g84320, CA11g07460	CDY63122, CDY56984, CDY24511, CDY33618, CDY63121
OG0002521	CA02g19200, CA02g19210, CA02g19220, CA02g05440	CDY24775, CDY35469, CDY42700, CDX72594
OG0002522	CA10g02280, CA07g15420	CDX83511
OG0002522	CA05g10500	CDX97905, CDY19314
OG0002523	CA02g23010, CA02g23000	CDY29242, CDY36488, CDY13026, CDY43896, CDY13025
OG0002524	CA09g01480	CDX75031, CDY33161, CDX84555, CDX79684, CDY65842, CDX73592
OG0002525	CA10g22160, CA07g10180, CA02g05290	CDX85590, CDX91035, CDY09872, CDX69571
OG0002526	CA04g21740, CA00g26970, CA02g21710, CA04g05750	CDY38143, CDY63759
OG0002527	CA06g06660, CA08g06910	CDX89411, CDX94438, CDX91636, CDY00526, CDY31909
OG0002528	CA02g05330, CA02g22970	CDY24769, CDY35477, CDX75593, CDX69241, CDX72601, CDY30312, CDY68376
OG0002531	CA01g03580	CDX86742
OG0002531	CA01g19440	CDY15144, CDX90066
OG0002532	CA12g14060	CDX91788, CDY46456, CDX93734, CDY15309
OG0002533	CA04g07290, CA02g22430	CDX72586, CDY42694, CDX69232, CDY64605, CDY24784, CDY53075, CDX72585, CDY24794
OG0002534	CA02g26220	CDX69252, CDX75604, CDY22463, CDY24765, CDY39669, CDY62523, CDX76849, CDY46061
OG0002535	CA04g06860, CA04g06850, CA02g22040, CA02g22030, CA02g22020	CDX81401, CDY65385
OG0002536	CA03g20710, CA06g21360	CDY13491
OG0002537	CA10g02250, CA01g14340, CA12g10290, CA10g02100, CA11g09300, CA01g20660, CA07g05380, CA01g25960, CA00g68160	CDY28595
OG0002538	CA11g02380, CA05g12410, CA02g26760	CDX85297, CDY66911, CDY35775
OG0002539	CA11g03420, CA01g16330, CA03g28700	CDY50305, CDY54148
OG0002540	CA03g07050	CDX92955, CDX94894, CDY10664, CDY10296
OG0002541	CA11g02250	CDY71992, CDY51120
OG0002541	CA03g29060	CDY45867, CDY47734
OG0002542	CA08g13520, CA06g24620	CDY65406, CDX72169, CDY16358, CDY27241
OG0002543	CA03g17110	CDX91604, CDY46931
OG0002543	CA01g03950	CDY45474, CDY45965
OG0002544	CA02g24910	CDX69309, CDX75658
OG0002544	CA02g24920	CDY29552, CDX72630, CDX72631, CDY06838, CDY06839
OG0002545	CA11g10960	CDY46280, CDY67035
OG0002546	CA07g19610, CA07g20920	CDY06518, CDY65746
OG0002546	CA07g19600	CDY17400, CDY51972, CDY71788
OG0002547	CA04g20840, CA04g20850	CDY45423
OG0002548	CA05g13580, CA04g09100	CDY03140, CDY12030
OG0002549	CA04g11740	CDY00080, CDY19976, CDX86352, CDY66445
OG0002550	CA00g36720, CA08g16170, CA08g16180	CDY16526, CDY31273, CDY31274, CDY21060, CDY16025, CDY26581, CDY57079, CDX98048
OG0002551	CA01g31520, CA00g88920	CDY57935, CDY53829, CDY22611, CDY62731, CDY31055, CDY20667
OG0002552	CA12g16890, CA04g18790	CDX77048, CDY48180
OG0002553	CA04g08990, CA00g53700, CA00g40910, CA12g16450, CA01g19890, CA01g19900	CDX76242, CDY58287, CDX78141
OG0002554	CA00g75200	CDX67737
OG0002554	CA06g20510, CA06g20470, CA06g20440, CA03g24170	CDY05857, CDY08084, CDY66668, CDX84419
OG0002555	CA06g05400, CA12g00160, CA06g11410	CDY38821, CDX96575, CDY01314, CDY00400
OG0002556	CA04g22850	CDY01359, CDY31874, CDY29513, CDY31494, CDY33640, CDX96627, CDX87607, CDX88267
OG0002557	CA00g62250	CDY08939, CDY24842, CDY61643, CDY14616, CDY34294, CDY03435, CDX92646, CDY11023
OG0002558	CA09g18320, CA03g29710	CDY71729, CDY40919
OG0002559	CA04g21050	CDY47508, CDX73184
OG0002559	CA04g07000, CA00g89770, CA00g89760, CA03g33460	CDX69210, CDX75559
OG0002560	CA00g92950, CA00g74220	CDY67156, CDY67274, CDX71225
OG0002561	CA00g52620, CA12g17970, CA12g17890, CA04g22480	CDY68834, CDX87633
OG0002562	CA01g21150, CA05g04440	CDY45023, CDY28276, CDX72381, CDY13509, CDX88210, CDX80553
OG0002563	CA10g04230, CA04g07650, CA06g04020, CA01g15380, CA08g09020, CA00g57350, CA01g02650, CA08g09380	CDY03035, CDX95228, CDY19662, CDY21197
OG0002564	CA01g33950, CA01g33940	CDY25965, CDY25964, CDY41052, CDY41051, CDX77770, CDY59292
OG0002565	CA02g18290, CA04g03440, CA10g01430, CA07g19020	CDX98721, CDX94069, CDX79115, CDX82889, CDY29096, CDY16655, CDX94568
OG0002566	CA12g00390, CA12g01120	CDY41060, CDY25956, CDY17718, CDY69950, CDX74807, CDY20519, CDY07055, CDY61707
OG0002567	CA01g24980, CA00g97280, CA00g47440, CA00g47480, CA00g82480	CDY13927, CDX92576
OG0002568	CA02g08040	CDY57531, CDY43236, CDX85528, CDX90968
OG0002569	CA03g11240	CDY38498, CDY54046, CDX70802, CDY51242, CDY51240, CDY02639, CDY53251, CDY53252
OG0002570	CA09g01960	CDX67562, CDY28639, CDY13309, CDX76222, CDX95400
OG0002571	CA03g13010	CDY19603, CDY06382, CDY60389, CDY27561
OG0002572	CA07g11020	CDX82615, CDY39136, CDY28162, CDY66508, CDY03549, CDY14190, CDY28161, CDX68628
OG0002573	CA12g21340, CA01g16690, CA05g18380	CDX75892, CDX82389, CDX95898, CDX92102
OG0002574	CA07g20770, CA10g01150	CDY44010, CDY23587, CDY23580, CDY44011
OG0002575	CA07g09250	CDY35121, CDY40030, CDX81786, CDY54374, CDX88488, CDX87425
OG0002576	CA04g19880	CDY26685, CDY41035
OG0002576	CA02g26240	CDX75603, CDX69251
OG0002577	CA06g12230, CA05g10810	CDY30076, CDX98068, CDY21049, CDY31264, CDY26562, CDY15996, CDY45964
OG0002578	CA02g05610, CA12g13870, CA00g25290, CA04g09330, CA01g18000, CA02g14610	CDX83088, CDY08155, CDY05948, CDY17752, CDY30601
OG0002579	CA04g23430, CA04g04480, CA00g94690, CA02g05800, CA00g65350	CDX88285, CDX87592
OG0002580	CA10g10060, CA01g05930	CDY58014, CDY40446, CDY32096, CDX84604, CDX79617, CDY31713, CDX84178
OG0002581	CA02g18560, CA02g06300	CDY30041, CDX98091, CDX82901, CDX79122, CDX82902, CDY27438, CDX76388
OG0002582	CA05g14390, CA12g00100	CDX69909, CDY21578
OG0002583	CA10g10680	CDY04827
OG0002583	CA00g95350	CDY02814, CDY32706, CDY32990, CDY43860, CDY02815, CDY32705
OG0002584	CA03g27670, CA11g06150, CA05g09130	CDY61420, CDY37978, CDY30889, CDX93427, CDY37979
OG0002585	CA01g09020, CA10g10010, CA08g06350, CA01g30360, CA05g11990, CA00g75230, CA01g16550	CDY67494
OG0002586	CA05g08770	CDX96061, CDY01869, CDY28836, CDY61039, CDY61038, CDY12674, CDY32575, CDY03875, CDY40787, CDY66566, CDY36130
OG0002587	CA06g27100, CA06g27090, CA09g10890	CDX91309, CDX97283, CDY45339, CDY22073, CDY21908, CDY66289, CDY18001
OG0002588	CA03g12850, CA10g20500	CDY28396, CDY33816, CDX82234, CDY52099, CDX88952, CDY06094, CDX72019, CDX67696
OG0002590	CA11g20090	CDY05511, CDY05335, CDY05512, CDX88208, CDX80550, CDY05513
OG0002591	CA10g09500, CA05g20300, CA00g96410, CA00g86490, CA03g13650	CDY16373, CDX91544
OG0002592	CA01g11590, CA00g73410, CA03g21350, CA02g03360	CDY19829, CDX87119
OG0002593	CA02g09130, CA00g82010, CA02g30710	CDY58406, CDX69599
OG0002594	CA08g07870, CA08g07860	CDX87145, CDY19852, CDX88072, CDX80411
OG0002595	CA00g83660, CA01g23460	CDX95722, CDX83330, CDY37800, CDY25109, CDX67891
OG0002596	CA11g13860, CA06g11770, CA00g95090	CDY44122, CDY57655, CDY41665, CDY24807, CDY41659, CDY10889, CDX98162
OG0002597	CA04g20990, CA04g21000	CDX83745, CDX96654, CDX83754, CDY39364, CDY39365, CDY29416, CDY44490, CDY01397
OG0002598	CA04g12450, CA06g20460, CA04g12440	CDX86202
OG0002598	CA00g54100, CA05g03710	CDY00027, CDY57020, CDY05600, CDY33883
OG0002599	CA00g78340, CA05g00560, CA10g20300	CDX70255, CDY41396, CDY08614, CDY32060, CDX88102, CDY56711
OG0002600	CA04g21700, CA12g19430	CDY37059, CDY27364, CDY53893, CDX95661, CDY36457, CDY18906, CDY36459, CDX73407, CDY25988
OG0002601	CA11g11670	CDX83618, CDY13633
OG0002602	CA02g31200	CDX80710, CDY34530, CDY46398, CDY48952, CDX67489, CDY11738, CDY69537, CDY32197, CDY69207, CDY48953
OG0002603	CA10g12820	CDY39880, CDY23311
OG0002603	CA00g32500, CA00g32480	CDY72221, CDX98420, CDX67831
OG0002604	CA09g04800	CDY07571, CDX76192, CDY71690, CDY52743, CDX73532, CDX78197, CDY30847
OG0002605	CA00g64650, CA05g10660	CDX67869, CDY57877, CDX71705, CDY61733, CDY27318, CDX80026, CDY56876
