Orthogroup	Capsicum_anuum	Prunus_persica
OG0002453	CA00g64280, CA00g57450	Prupe.8G096800.1
OG0002454	CA06g07730	Prupe.6G279100.1
OG0002455	CA04g03500, CA02g18220	Prupe.3G217500.1
OG0002456	CA11g11890	Prupe.6G078600.1
OG0002456	CA00g58510	Prupe.2G235100.1
OG0002457	CA06g15780, CA09g17200	Prupe.7G195800.1
OG0002458	CA11g11580	Prupe.1G246800.1
OG0002459	CA05g16750	Prupe.1G208000.1
OG0002460	CA11g17960, CA11g19750, CA00g82210	Prupe.6G108800.1
OG0002461	CA02g14180	Prupe.4G061400.1
OG0002462	CA03g33300, CA12g07980	Prupe.5G223900.1
OG0002463	CA06g06570	Prupe.2G289300.1
OG0002463	CA12g02720	Prupe.4G138600.1
OG0002464	CA02g15510	Prupe.4G053100.1
OG0002466	CA08g18130	Prupe.8G109700.1
OG0002466	CA02g07740	Prupe.7G145800.1
OG0002467	CA02g18840, CA00g42430	Prupe.3G013800.1
OG0002468	CA04g08090	Prupe.8G145500.1, Prupe.8G145400.1, Prupe.3G152000.1
OG0002469	CA01g01660	Prupe.5G110200.1
OG0002469	CA03g18860	Prupe.2G303900.1
OG0002470	CA07g05890, CA09g14750, CA03g12190, CA03g35350	Prupe.7G193900.1, Prupe.3G036900.1
OG0002471	CA06g19870, CA03g25340, CA06g19860	Prupe.5G161100.1
OG0002472	CA03g03200, CA05g08920	Prupe.1G251100.1
OG0002473	CA01g21380	Prupe.6G030800.1
OG0002475	CA01g24180	Prupe.7G031100.1
OG0002476	CA01g23750	Prupe.1G268200.1
OG0002476	CA02g08680, CA02g28550, CA02g28700	Prupe.3G271800.1
OG0002477	CA07g14280, CA07g14230, CA07g14290, CA07g14260, CA12g15660, CA12g18900	Prupe.3G133100.1, Prupe.3G133000.1
OG0002478	CA00g84030	Prupe.5G121400.1, Prupe.5G121600.1
OG0002479	CA07g01280	Prupe.1G101700.1
OG0002480	CA01g10680	Prupe.1G180700.1
OG0002481	CA04g19210	Prupe.1G441300.1
OG0002481	CA03g26530, CA08g17490	Prupe.8G119300.1
OG0002482	CA08g02420, CA02g11370	Prupe.4G080000.1
OG0002483	CA00g31240	Prupe.1G404200.1
OG0002484	CA03g12740	Prupe.2G248800.1
OG0002485	CA02g26460, CA02g26480, CA04g09830, CA02g08050	Prupe.3G242500.1
OG0002486	CA08g17850	Prupe.8G114300.1, Prupe.8G114200.1, Prupe.8G114600.1, Prupe.8G114400.1, Prupe.8G115100.1, Prupe.8G114800.1
OG0002486	CA08g17860	Prupe.8G114100.1
OG0002487	CA03g22650, CA11g10580	Prupe.5G144600.1
OG0002488	CA05g16360	Prupe.2G238700.1
OG0002489	CA02g12990, CA00g71750	Prupe.4G070400.1, Prupe.3G170100.1
OG0002490	CA05g13660	Prupe.6G187300.1
OG0002490	CA01g27210	Prupe.2G115200.1
OG0002491	CA12g02340, CA01g27870, CA09g17960, CA07g09750	Prupe.1G225200.1
OG0002492	CA05g14820, CA05g14810	Prupe.2G244500.1
OG0002493	CA04g14890	Prupe.8G048700.1
OG0002494	CA02g30660, CA02g09120	Prupe.3G303100.1, Prupe.5G153400.1
OG0002496	CA04g19150	Prupe.1G440700.1
OG0002496	CA08g17450	Prupe.8G119500.1
OG0002497	CA06g06950	Prupe.2G256300.1
OG0002499	CA00g57900	Prupe.6G253100.1
OG0002499	CA00g46670, CA02g28790	Prupe.3G273700.1
OG0002500	CA00g44690, CA10g03360	Prupe.2G289400.1, Prupe.1G576900.1
OG0002501	CA00g73590	Prupe.8G184200.1
OG0002505	CA01g12520	Prupe.1G109900.1
OG0002505	CA06g19690	Prupe.5G172600.1
OG0002506	CA05g13290	Prupe.6G176700.1
OG0002507	CA02g01000, CA02g28000	Prupe.3G263500.1
OG0002508	CA02g23110	Prupe.6G331600.1, Prupe.3G239900.1, Prupe.1G306100.1
OG0002509	CA02g30190	Prupe.3G294500.1, Prupe.3G294400.1
OG0002509	CA06g21640	Prupe.3G285100.1
OG0002510	CA11g01910	Prupe.1G237100.1, Prupe.1G237200.1, Prupe.1G236600.1, Prupe.1G236700.1, Prupe.1G236800.1, Prupe.4G142100.1, Prupe.4G142000.1, Prupe.1G236400.1, Prupe.1G236500.1
OG0002511	CA01g28930, CA06g08130	Prupe.1G207600.1
OG0002512	CA01g08970, CA00g00920, CA03g32980, CA07g08650, CA00g80130, CA01g32910	Prupe.7G104100.1
OG0002513	CA07g07640, CA09g17280	Prupe.1G001200.1, Prupe.1G001300.1
OG0002514	CA06g12640, CA01g33770, CA01g06290	Prupe.5G060400.1
OG0002515	CA01g07160	Prupe.5G035300.1
OG0002516	CA03g27900	Prupe.5G184300.1
OG0002517	CA01g09040	Prupe.5G011600.1
OG0002518	CA11g05820, CA01g16120	Prupe.1G265800.1
OG0002520	CA00g84320	Prupe.1G430900.1
OG0002520	CA11g07460	Prupe.1G256900.1
OG0002521	CA02g19200, CA02g19210, CA02g19220, CA02g05440	Prupe.7G152100.1
OG0002522	CA10g02280, CA07g15420	Prupe.3G173100.1
OG0002522	CA05g10500	Prupe.1G247200.1
OG0002523	CA02g23010, CA02g23000	Prupe.7G149100.1, Prupe.7G149200.1
OG0002524	CA09g01480	Prupe.7G118700.1, Prupe.2G281900.1
OG0002525	CA10g22160, CA07g10180, CA02g05290	Prupe.8G038800.1, Prupe.3G287400.1
OG0002526	CA04g21740	Prupe.1G366100.1
OG0002527	CA06g06660, CA08g06910	Prupe.2G295000.1, Prupe.2G165300.1
OG0002528	CA02g05330, CA02g22970	Prupe.7G149700.1
OG0002529	CA09g16470	Prupe.7G219500.1, Prupe.7G219300.1, Prupe.7G219400.1, Prupe.7G219100.1, Prupe.7G218900.1
OG0002531	CA01g03580	Prupe.5G088300.1
OG0002531	CA01g19440	Prupe.2G152100.1
OG0002532	CA12g14060	Prupe.8G041600.1, Prupe.8G041500.1, Prupe.8G041100.1, Prupe.8G041300.1, Prupe.8G041200.1, Prupe.8G041400.1
OG0002533	CA04g07290, CA02g22430	Prupe.7G156200.1
OG0002534	CA02g26220	Prupe.7G146900.1
OG0002535	CA04g06860, CA04g06850, CA02g22040, CA02g22030, CA02g22020	Prupe.7G161900.1
OG0002536	CA03g20710, CA06g21360	Prupe.2G129000.1, Prupe.2G129100.1, Prupe.1G196200.1, Prupe.2G323700.1, Prupe.1G099100.1, Prupe.7G089100.1, Prupe.7G086200.1
OG0002537	CA00g68160	Prupe.7G029800.1
OG0002538	CA11g02380, CA05g12410	Prupe.1G298200.1
OG0002538	CA02g26760	Prupe.3G246000.1
OG0002539	CA03g28700	Prupe.5G206800.1
OG0002540	CA03g07050	Prupe.1G018500.1
OG0002541	CA11g02250	Prupe.1G299100.1
OG0002541	CA03g29060	Prupe.5G212000.1
OG0002542	CA08g13520, CA06g24620	Prupe.7G086100.1, Prupe.1G530000.1
OG0002543	CA03g17110	Prupe.2G283100.1
OG0002543	CA01g03950	Prupe.5G083500.1
OG0002544	CA02g24910	Prupe.6G225100.1
OG0002545	CA11g10960	Prupe.8G146200.1
OG0002546	CA07g19610, CA07g20920	Prupe.6G034100.1
OG0002547	CA04g20840, CA04g20850	Prupe.1G377300.1
OG0002548	CA05g13580	Prupe.6G188300.1
OG0002548	CA04g09100	Prupe.1G517400.1
OG0002549	CA04g11740	Prupe.3G248800.1
OG0002550	CA00g36720, CA08g16170, CA08g16180	Prupe.1G526200.1
OG0002551	CA01g31520	Prupe.8G157200.1
OG0002551	CA00g88920	Prupe.1G542300.1, Prupe.8G088500.1
OG0002552	CA12g16890, CA04g18790	Prupe.1G436100.1
OG0002553	CA04g08990, CA00g53700, CA00g40910, CA12g16450, CA01g19890, CA01g19900	Prupe.1G430100.1
OG0002554	CA06g20510, CA06g20470, CA06g20440, CA03g24170	Prupe.5G150400.1
OG0002555	CA06g05400, CA12g00160, CA06g11410	Prupe.1G494100.1
OG0002556	CA04g22850	Prupe.5G010200.1, Prupe.8G179000.1
OG0002557	CA00g62250	Prupe.1G528700.1
OG0002558	CA09g18320	Prupe.7G262400.1
OG0002558	CA03g29710	Prupe.1G280900.1
OG0002559	CA04g21050	Prupe.1G370300.1
OG0002559	CA04g07000, CA00g89770, CA00g89760, CA03g33460	Prupe.7G166100.1
OG0002560	CA00g92950, CA00g74220	Prupe.7G205000.1
OG0002561	CA00g52620	Prupe.8G172900.1
OG0002561	CA12g17970, CA12g17890, CA04g22480	Prupe.1G357100.1
OG0002562	CA01g21150, CA05g04440	Prupe.1G414800.1
OG0002564	CA01g33950, CA01g33940	Prupe.2G136900.1, Prupe.5G070400.1
OG0002565	CA02g18290, CA04g03440, CA10g01430, CA07g19020	Prupe.4G214900.1
OG0002566	CA12g00390, CA12g01120	Prupe.4G004300.1
OG0002567	CA01g24980, CA00g97280, CA00g47440, CA00g47480, CA00g82480	Prupe.1G145300.1
OG0002568	CA02g08040	Prupe.3G241400.1
OG0002569	CA03g11240	Prupe.5G242100.1
OG0002570	CA09g01960	Prupe.7G128400.1
OG0002571	CA03g13010	Prupe.4G219100.1, Prupe.2G057500.1
OG0002572	CA07g11020	Prupe.1G079100.1
OG0002573	CA12g21340, CA01g16690, CA05g18380	Prupe.1G126400.1
OG0002574	CA07g20770, CA10g01150	Prupe.6G032100.1
OG0002575	CA07g09250	Prupe.1G076200.1, Prupe.3G021500.1
OG0002576	CA04g19880	Prupe.1G384500.1
OG0002576	CA02g26240	Prupe.7G147100.1
OG0002577	CA06g12230	Prupe.5G080900.1
OG0002577	CA05g10810	Prupe.2G146000.1
OG0002578	CA02g05610, CA12g13870, CA00g25290, CA04g09330, CA01g18000, CA02g14610	Prupe.6G230800.1
OG0002579	CA04g23430, CA04g04480, CA00g94690, CA02g05800, CA00g65350	Prupe.7G187000.1, Prupe.8G182300.1
OG0002580	CA10g10060, CA01g05930	Prupe.5G063900.1
OG0002581	CA02g18560, CA02g06300	Prupe.4G017400.1, Prupe.4G020600.1
OG0002582	CA05g14390	Prupe.2G275200.1
OG0002582	CA12g00100	Prupe.7G201300.1
OG0002583	CA00g95350	Prupe.6G290900.1, Prupe.6G042700.1
OG0002584	CA03g27670	Prupe.5G183200.1
OG0002584	CA11g06150	Prupe.1G263800.1
OG0002586	CA05g08770	Prupe.1G332700.1, Prupe.5G236200.1
OG0002587	CA06g27100, CA06g27090, CA09g10890	Prupe.8G238400.1
OG0002588	CA03g12850, CA10g20500	Prupe.7G065100.1
OG0002590	CA11g20090	Prupe.1G415900.1, Prupe.1G415800.1, Prupe.1G415600.1, Prupe.1G415700.1
OG0002591	CA10g09500	Prupe.1G577700.1
OG0002591	CA05g20300, CA00g96410	Prupe.1G102500.1
OG0002592	CA01g11590, CA00g73410	Prupe.2G197300.1
OG0002592	CA03g21350	Prupe.2G318300.1
OG0002593	CA02g09130, CA00g82010, CA02g30710	Prupe.3G304100.1
OG0002594	CA08g07870, CA08g07860	Prupe.2G177900.1, Prupe.2G179300.1
OG0002595	CA00g83660, CA01g23460	Prupe.8G266700.1, Prupe.3G288700.1, Prupe.4G256600.1, Prupe.1G195500.1
OG0002596	CA11g13860, CA06g11770, CA00g95090	Prupe.1G563200.1, Prupe.1G080900.1
OG0002597	CA04g20990, CA04g21000	Prupe.1G375700.1, Prupe.1G375800.1
OG0002598	CA00g54100, CA05g03710	Prupe.6G346900.1
OG0002599	CA00g78340, CA05g00560, CA10g20300	Prupe.7G054100.1
OG0002600	CA04g21700, CA12g19430	Prupe.1G366700.1
OG0002601	CA11g11670	Prupe.1G246600.1, Prupe.1G497700.1, Prupe.1G497400.1, Prupe.1G497600.1, Prupe.1G497900.1, Prupe.1G497800.1, Prupe.1G497500.1, Prupe.1G497300.1, Prupe.1G246700.1
OG0002602	CA02g31200	Prupe.3G311200.1
OG0002603	CA10g12820	Prupe.1G393600.1
OG0002603	CA00g32500, CA00g32480	Prupe.2G134700.1
OG0002604	CA09g04800	Prupe.6G251700.1, Prupe.6G251600.1
OG0002605	CA00g64650, CA05g10660	Prupe.2G190500.1
OG0002606	CA08g13180, CA08g13190	Prupe.6G310300.1
OG0002608	CA10g00840, CA00g90060	Prupe.7G255900.1, Prupe.1G485300.1
OG0002609	CA06g22290	Prupe.1G186900.1
OG0002610	CA08g16150, CA01g31970, CA08g16140	Prupe.8G066900.1
OG0002612	CA07g15370	Prupe.3G172700.1
OG0002613	CA02g20350, CA04g04080	Prupe.3G178500.1, Prupe.3G013200.1
OG0002614	CA05g10020, CA09g14450, CA07g07910	Prupe.1G352100.1, Prupe.3G179200.1
OG0002615	CA06g24830	Prupe.6G068800.1
OG0002615	CA05g16320	Prupe.2G239700.1
OG0002616	CA00g25510, CA09g13840	Prupe.3G194500.1
OG0002617	CA05g14690, CA03g12760	Prupe.6G275700.1
OG0002619	CA09g13860, CA00g43060	Prupe.6G028200.1
OG0002620	CA08g02110	Prupe.4G007100.1
OG0002624	CA08g06800, CA12g05690, CA12g05460, CA12g05680, CA04g19630	Prupe.6G318200.1
OG0002625	CA10g06640, CA01g19220, CA01g19210	Prupe.2G156300.1
OG0002626	CA10g06710	Prupe.2G172200.1
OG0002627	CA10g05210, CA02g19690, CA06g03590	Prupe.4G120600.1
OG0002628	CA03g22350	Prupe.5G146100.1
OG0002628	CA00g54690	Prupe.1G220400.1
OG0002630	CA07g08980, CA01g03980, CA01g04070	Prupe.1G074400.1
OG0002631	CA12g13590	Prupe.5G112300.1
OG0002631	CA11g02330	Prupe.3G245700.1
OG0002633	CA04g15370	Prupe.1G326400.1
OG0002634	CA00g63410, CA05g03110	Prupe.2G237300.1
OG0002634	CA10g04850, CA09g05400, CA09g05170, CA02g29990	Prupe.6G257000.1
OG0002635	CA09g09350, CA06g26410	Prupe.7G210500.1, Prupe.8G192700.1, Prupe.8G192600.1
OG0002636	CA06g23620, CA06g23700	Prupe.6G093000.1
OG0002642	CA00g72670, CA02g04690	Prupe.4G113700.1
OG0002654	CA04g18840, CA05g03540, CA04g18900, CA04g18850	Prupe.4G242900.1, Prupe.4G173600.1
OG0002657	CA00g41250, CA10g08260	Prupe.8G125100.1
OG0002658	CA02g14840	Prupe.6G229000.1
OG0002658	CA00g75700	Prupe.1G430000.1
OG0002663	CA03g34160, CA06g20920, CA05g06500, CA05g06510, CA01g12420, CA07g14770, CA07g14670	Prupe.6G314400.1
OG0002668	CA02g03700	Prupe.1G346800.1
OG0002673	CA02g07610	Prupe.6G223300.1
OG0002673	CA06g11760, CA00g95080, CA08g16930	Prupe.8G141200.1, Prupe.8G141100.1
OG0002675	CA01g24200	Prupe.1G150500.1
OG0002675	CA02g08020	Prupe.5G217900.1, Prupe.3G240100.1
OG0002676	CA03g24560, CA03g24570, CA03g24550	Prupe.5G152200.1
OG0002676	CA02g30770	Prupe.3G305600.1
OG0002677	CA06g04490, CA06g04510, CA06g00640, CA00g73230, CA09g10150	Prupe.1G151100.1
OG0002681	CA11g04790	Prupe.1G170900.1
OG0002682	CA00g41790, CA00g89240	Prupe.8G024600.1
OG0002690	CA03g18250	Prupe.2G296900.1
OG0002690	CA08g07150	Prupe.2G169800.1
OG0002692	CA03g10510, CA03g29630	Prupe.7G085700.1
OG0002694	CA03g24860	Prupe.8G263400.1, Prupe.8G263300.1
OG0002695	CA10g05690, CA02g16550	Prupe.4G036400.1
OG0002695	CA07g00490	Prupe.1G089100.1
OG0002696	CA00g84990, CA10g16400, CA10g15980	Prupe.7G122000.1, Prupe.7G044000.1
OG0002697	CA06g15680	Prupe.3G030200.1
OG0002698	CA11g05620, CA01g17290	Prupe.8G007100.1
OG0002699	CA05g00180, CA00g77580	Prupe.7G091600.1
OG0002700	CA03g25780, CA03g25790	Prupe.2G302200.1
OG0002701	CA10g06220, CA08g07780, CA00g99390	Prupe.2G178000.1, Prupe.2G178300.1, Prupe.2G178200.1, Prupe.2G178100.1
OG0002702	CA00g15840, CA03g37000, CA02g05730	Prupe.3G031100.1
OG0002703	CA10g12240	Prupe.7G122600.1, Prupe.3G009100.1
OG0002704	CA08g06770	Prupe.2G162700.1
OG0002705	CA03g07180	Prupe.1G020200.1
OG0002707	CA01g26730	Prupe.6G178800.1
OG0002708	CA06g26910	Prupe.4G207300.1, Prupe.4G207100.1, Prupe.4G207200.1, Prupe.4G207400.1, Prupe.4G207500.1, Prupe.7G081300.1, Prupe.7G081800.1, Prupe.7G082100.1, Prupe.8G240400.1
OG0002709	CA01g02340	Prupe.5G103600.1
OG0002709	CA08g07420	Prupe.2G173400.1
OG0002710	CA11g00080, CA02g23900	Prupe.1G320600.1, Prupe.3G150200.1
OG0002711	CA12g06740	Prupe.1G026700.1, Prupe.8G050400.1
OG0002712	CA10g13350, CA05g08460	Prupe.4G288400.1, Prupe.4G289100.1, Prupe.5G027600.1
OG0002714	CA08g08200	Prupe.5G115600.1, Prupe.2G184400.1
OG0002715	CA06g10980	Prupe.8G207300.1
OG0002716	CA01g02980	Prupe.5G158000.1
OG0002718	CA12g11130, CA05g19940	Prupe.6G356300.1
OG0002719	CA08g07310	Prupe.2G171700.1
OG0002719	CA10g06490	Prupe.6G060100.1
OG0002720	CA01g11830	Prupe.2G219300.1, Prupe.2G219700.1, Prupe.7G199100.1
OG0002721	CA09g10430, CA10g13910	Prupe.6G278500.1
OG0002722	CA11g12490	Prupe.7G074100.1
OG0002723	CA08g11590, CA10g11160, CA09g12200	Prupe.6G281500.1
OG0002724	CA03g32270	Prupe.2G099100.1
OG0002726	CA06g22020	Prupe.1G189900.1
OG0002727	CA06g22360	Prupe.1G170200.1
OG0002728	CA06g11700	Prupe.1G489300.1
OG0002729	CA01g33200, CA01g04340	Prupe.2G144100.1, Prupe.5G079600.1
OG0002730	CA05g04060	Prupe.2G221500.1
OG0002731	CA03g27050	Prupe.1G562300.1
OG0002732	CA01g02490	Prupe.5G101300.1
OG0002732	CA10g06750, CA08g07280	Prupe.2G171000.1
OG0002733	CA07g17220, CA09g12890	Prupe.4G167400.1
OG0002735	CA10g10870, CA09g06620	Prupe.2G244000.1, Prupe.6G267500.1
OG0002736	CA03g24940	Prupe.8G263900.1, Prupe.8G264000.1, Prupe.1G529500.1, Prupe.1G529400.1
OG0002737	CA09g13890, CA00g43010	Prupe.3G195500.1
OG0002737	CA02g30030	Prupe.3G292100.1
OG0002738	CA03g20510, CA06g08520, CA08g08630	Prupe.2G316400.1, Prupe.7G102800.1
OG0002739	CA09g00610, CA10g16820, CA10g12760	Prupe.2G083500.1, Prupe.7G114500.1
OG0002740	CA00g69000	Prupe.6G343400.1, Prupe.8G232600.1
OG0002742	CA06g21500, CA03g20810	Prupe.2G322400.1
OG0002743	CA09g03660	Prupe.6G242600.1, Prupe.1G078100.1
OG0002744	CA00g07150, CA10g16980	Prupe.7G098200.1
OG0002745	CA03g29460, CA00g16650	Prupe.5G201700.1, Prupe.6G159800.1
OG0002745	CA12g04540, CA00g16640	Prupe.8G103900.1, Prupe.8G104500.1
OG0002746	CA01g19070	Prupe.2G156900.1
OG0002747	CA10g10250, CA05g11560	Prupe.2G143600.1
OG0002748	CA10g18090, CA11g11340	Prupe.7G090000.1
OG0002749	CA00g99130, CA00g11110, CA00g11100, CA05g04920, CA04g05420	Prupe.6G234400.1, Prupe.2G210500.1
OG0002751	CA05g09200, CA00g43020	Prupe.3G195400.1
OG0002755	CA00g33170	Prupe.8G150500.1
OG0002756	CA12g10610	Prupe.7G228600.1, Prupe.3G071500.1
OG0002757	CA04g14100, CA12g14110	Prupe.8G040300.1
OG0002759	CA00g60450	Prupe.8G036200.1
OG0002759	CA08g15280	Prupe.1G579300.1
OG0002760	CA01g29590	Prupe.4G088600.1, Prupe.4G088500.1
OG0002761	CA02g23410	Prupe.7G035800.1, Prupe.4G276800.1, Prupe.4G276900.1
OG0002763	CA00g72820, CA05g03510	Prupe.2G224500.1
OG0002764	CA00g46850	Prupe.3G064500.1
OG0002765	CA06g26470	Prupe.8G194100.1
OG0002765	CA00g84660, CA00g66180	Prupe.1G172600.1
OG0002766	CA03g31860	Prupe.3G086900.1, Prupe.3G087000.1
OG0002767	CA03g36290, CA06g16230, CA12g10490	Prupe.3G050000.1
OG0002770	CA12g18450, CA08g05130	Prupe.1G444600.1
OG0002772	CA08g12170, CA07g20590	Prupe.6G325300.1, Prupe.6G325400.1
OG0002773	CA01g22730, CA02g12890, CA01g22720	Prupe.3G006200.1
OG0002774	CA01g09530	Prupe.7G057000.1, Prupe.7G057800.1
OG0002777	CA10g16810, CA01g02730	Prupe.5G099900.1
OG0002778	CA07g04830	Prupe.7G022400.1, Prupe.2G153200.1
OG0002779	CA10g07790, CA08g11570	Prupe.6G331300.1, Prupe.6G331200.1
OG0002780	CA00g69280, CA00g65150	Prupe.5G021000.1
OG0002780	CA05g20710	Prupe.2G215800.1
OG0002781	CA09g03270	Prupe.6G241800.1
OG0002781	CA05g04100, CA12g10990	Prupe.2G219500.1
OG0002783	CA03g36570	Prupe.3G020800.1, Prupe.1G342000.1
OG0002784	CA03g17400	Prupe.1G013100.1
OG0002784	CA08g10780	Prupe.6G339500.1
OG0002785	CA01g16770	Prupe.1G130000.1
OG0002785	CA08g12640	Prupe.6G317900.1
OG0002786	CA03g32700, CA00g87730	Prupe.3G100300.1
OG0002787	CA05g03470, CA05g18750	Prupe.2G230300.1, Prupe.2G230400.1
OG0002788	CA01g03160	Prupe.5G092700.1
OG0002788	CA03g16240	Prupe.2G291300.1
OG0002789	CA08g03940, CA08g10300	Prupe.8G232800.1, Prupe.6G343100.1
OG0002791	CA05g04120	Prupe.6G027500.1, Prupe.6G027400.1
OG0002792	CA00g36920	Prupe.2G107000.1
OG0002793	CA03g35740	Prupe.3G009500.1, Prupe.3G048300.1
OG0002794	CA11g03570	Prupe.1G282800.1
OG0002795	CA08g18680, CA07g06510	Prupe.1G422500.1, Prupe.2G078300.1, Prupe.2G077900.1
OG0002796	CA03g09600	Prupe.8G233100.1
OG0002796	CA06g08670, CA03g06530	Prupe.1G024900.1
OG0002797	CA01g34600, CA01g00740	Prupe.5G124900.1, Prupe.5G125000.1
OG0002798	CA01g07340	Prupe.5G031600.1
OG0002799	CA01g22470, CA05g09090	Prupe.3G006800.1
OG0002800	CA06g12680, CA02g20630	Prupe.7G175200.1
OG0002801	CA00g95900, CA00g59440, CA00g59450, CA00g59420, CA00g95890, CA01g25210, CA00g80020, CA00g59430	Prupe.1G322900.1
OG0002802	CA05g20100, CA12g10170, CA05g14750	Prupe.1G328300.1
OG0002803	CA01g15700, CA00g80350	Prupe.2G292500.1
OG0002804	CA08g03770, CA06g25470, CA06g10100	Prupe.6G054200.1
OG0002805	CA01g08200, CA01g08190	Prupe.5G023800.1
OG0002805	CA03g32520	Prupe.3G092800.1
OG0002806	CA12g15080, CA06g15790	Prupe.3G038300.1
OG0002807	CA12g20990	Prupe.1G106300.1
OG0002807	CA00g62200	Prupe.6G306000.1
OG0002809	CA02g24960	Prupe.6G224900.1
OG0002809	CA08g17020, CA03g00920	Prupe.8G139700.1
OG0002810	CA12g18970, CA01g30470	Prupe.1G455600.1
OG0002811	CA02g13020, CA02g13010	Prupe.4G070200.1
OG0002812	CA03g32160, CA03g32170	Prupe.1G391900.1, Prupe.7G260400.1
OG0002813	CA05g16780, CA03g02670	Prupe.1G051100.1, Prupe.1G051300.1
OG0002814	CA03g36330, CA06g16200, CA06g16220	Prupe.3G049600.1
OG0002815	CA01g29600, CA00g87720	Prupe.3G100200.1
OG0002817	CA02g16270	Prupe.4G039300.1
OG0002817	CA03g11830	Prupe.4G187800.1
OG0002818	CA07g18860, CA07g18870	Prupe.4G201900.1
OG0002819	CA01g16660, CA03g32100, CA00g69270, CA03g32090	Prupe.3G097600.1, Prupe.3G097700.1
OG0002820	CA04g18110, CA07g11770	Prupe.3G216000.1
OG0002821	CA03g07080	Prupe.1G018900.1
OG0002821	CA09g11150	Prupe.8G236600.1
OG0002822	CA07g18160	Prupe.4G189100.1
OG0002822	CA09g07600	Prupe.3G232400.1
OG0002823	CA03g30800, CA06g17450	Prupe.5G140200.1
OG0002823	CA08g00930	Prupe.1G213400.1
OG0002824	CA07g12150	Prupe.3G220500.1
OG0002825	CA00g74890, CA02g06460	Prupe.3G014200.1
OG0002827	CA07g03430	Prupe.1G483900.1, Prupe.7G252000.1
OG0002828	CA05g16080, CA00g07160	Prupe.7G098400.1
OG0002828	CA11g16460	Prupe.6G139400.1
OG0002829	CA06g23120	Prupe.6G126400.1
OG0002829	CA10g16590	Prupe.7G114100.1
OG0002830	CA04g13030, CA06g10760, CA06g11160, CA00g89470	Prupe.1G462700.1
OG0002831	CA12g06120, CA12g06460	Prupe.6G127200.1
OG0002832	CA04g20220	Prupe.3G220700.1
OG0002832	CA01g17920	Prupe.2G153500.1
OG0002833	CA05g13550, CA05g13530, CA12g03560	Prupe.6G191500.1
OG0002834	CA08g15260	Prupe.1G579600.1
OG0002835	CA09g12590, CA10g01530, CA07g17380, CA09g12580	Prupe.4G172400.1
OG0002836	CA00g81490, CA10g02630	Prupe.4G136000.1, Prupe.4G112500.1
OG0002837	CA01g29420	Prupe.4G134200.1, Prupe.4G100400.1
OG0002838	CA12g17130, CA04g20560	Prupe.1G379800.1
OG0002838	CA02g22670	Prupe.7G154300.1
OG0002839	CA02g22850, CA10g19530, CA02g22860	Prupe.8G156300.1, Prupe.5G015200.1
OG0002840	CA06g21170, CA03g22030	Prupe.5G148300.1
OG0002841	CA11g16160, CA00g81280	Prupe.6G144300.1
OG0002842	CA06g22970, CA01g15660, CA01g14440	Prupe.6G128600.1
OG0002843	CA02g13400, CA10g01770	Prupe.4G067500.1, Prupe.4G160300.1, Prupe.8G009900.1
OG0002844	CA00g40980	Prupe.8G046300.1
OG0002846	CA12g10520, CA03g36320	Prupe.3G005800.1, Prupe.3G049800.1
OG0002847	CA07g18040	Prupe.4G187300.1
OG0002847	CA10g03410	Prupe.3G234700.1
OG0002848	CA07g15010, CA12g02750, CA04g06930, CA12g12380, CA09g06270, CA03g26000	Prupe.1G257900.1
OG0002849	CA10g22440	Prupe.1G229100.1, Prupe.4G121400.1
OG0002850	CA11g13670	Prupe.6G088100.1
OG0002851	CA10g03220, CA07g13530	Prupe.3G132500.1
OG0002852	CA06g22580	Prupe.6G147600.1
OG0002853	CA04g16410	Prupe.4G275200.1
OG0002854	CA06g22780, CA11g16490	Prupe.6G138100.1
OG0002856	CA03g32210	Prupe.3G096800.1
OG0002857	CA10g03320	Prupe.3G156300.1
OG0002857	CA07g17900, CA07g17910	Prupe.4G185600.1
OG0002858	CA12g05990	Prupe.2G083900.1
OG0002858	CA11g17470	Prupe.6G122600.1
OG0002859	CA05g04410	Prupe.4G279600.1
OG0002859	CA06g11310, CA00g03050	Prupe.1G493100.1
OG0002860	CA01g31800, CA06g26190, CA09g09670	Prupe.1G199800.1
OG0002861	CA07g18180, CA10g00430	Prupe.4G038100.1, Prupe.4G189700.1
OG0002862	CA07g19480	Prupe.4G205500.1
OG0002863	CA01g24120	Prupe.8G271200.1
OG0002865	CA12g04850	Prupe.2G206000.1
OG0002865	CA11g18210	Prupe.6G111900.1
OG0002866	CA02g08470, CA02g28260	Prupe.3G268100.1
OG0002866	CA11g04540	Prupe.1G274600.1
OG0002868	CA10g21310	Prupe.7G084300.1
OG0002869	CA12g04190, CA05g20130	Prupe.6G365300.1
OG0002870	CA06g17930	Prupe.5G221200.1
OG0002871	CA01g21270	Prupe.2G023100.1
OG0002872	CA08g03010	Prupe.1G407600.1
OG0002872	CA05g11370	Prupe.7G203900.1
OG0002873	CA06g20170, CA03g24510	Prupe.3G305300.1, Prupe.5G152400.1, Prupe.1G228200.1
OG0002874	CA05g13270, CA08g15990	Prupe.6G193100.1
OG0002875	CA03g00320	Prupe.1G010300.1
OG0002876	CA03g16000	Prupe.2G281200.1
OG0002877	CA08g15670	Prupe.8G062200.1
