Orthogroup	Solanum_lycopersicum	Capsicum_anuum
OG0001943	Solyc04T002774.2	CA04g20310
OG0001943	Solyc05T000423.1, Solyc06T000172.2	CA06g01070, CA06g02610, CA06g03700, CA06g03580
OG0001943	Solyc06T000021.1	CA06g00880, CA06g01090, CA06g02750, CA00g29990, CA00g82500, CA00g82510, CA06g00690, CA06g03740
OG0001944	Solyc11T000236.1	CA12g06270, CA12g06280
OG0001944	Solyc11T000237.1	CA12g06260
OG0001944	Solyc08T000390.1	CA12g06250, CA07g17120, CA00g85870, CA12g06240
OG0001945	Solyc11T001880.1	CA12g16310
OG0001945	Solyc11T001883.1	CA09g17920, CA09g17950, CA12g16170, CA12g16200, CA12g19870, CA12g04920, CA12g17050, CA12g17900, CA12g19860, CA12g19890, CA12g19880, CA12g16320, CA12g16300, CA12g16190
OG0001958	Solyc08T001466.3	CA08g04640
OG0001959	Solyc12T002207.1	CA12g10710
OG0001959	Solyc08T002394.1	CA01g02220
OG0001961	Solyc12T002419.2	CA01g04730
OG0001962	Solyc03T003538.1	CA03g37160
OG0001962	Solyc03T000095.1	CA04g01130, CA04g01150, CA04g01120, CA04g01140
OG0001963	Solyc05T002161.1	CA05g11530
OG0001963	Solyc01T002962.1	CA00g64760
OG0001965	Solyc03T003557.1	CA03g36980
OG0001969	Solyc12T001760.1, Solyc12T001765.1, Solyc03T003175.1	CA03g32830
OG0001970	Solyc09T002274.1	CA03g24980, CA00g93340
OG0001970	Solyc06T000293.1	CA06g00420
OG0001971	Solyc10T002690.1	CA10g15230
OG0001971	Solyc10T002895.1, Solyc09T000170.1	CA09g02810, CA01g06060
OG0001972	Solyc03T003442.1	CA03g36280
OG0001973	Solyc09T002110.1, Solyc06T000206.1	CA00g53930, CA00g85810
OG0001973	Solyc10T000037.1, Solyc03T000487.1	CA02g18020
OG0001974	Solyc09T002624.1	CA03g04280
OG0001974	Solyc06T002696.1	CA00g53980
OG0001975	Solyc04T000832.1	CA05g00090
OG0001975	Solyc10T002337.1	CA10g20170
OG0001975	Solyc05T001209.1, Solyc10T002371.1	CA00g77650
OG0001976	Solyc12T001315.1, Solyc03T000794.1, Solyc10T002480.1	CA10g18820
OG0001976	Solyc10T002227.1	CA10g21810
OG0001977	Solyc08T002569.1	CA01g00260
OG0001977	Solyc09T002275.1	CA03g25000
OG0001978	Solyc04T000345.1	CA05g03830
OG0001978	Solyc11T000145.1	CA12g07650
OG0001978	Solyc11T002445.1	CA11g15850
OG0001978	Solyc06T002256.1	CA06g22650
OG0001979	Solyc04T002482.3	CA04g17170
OG0001980	Solyc03T003567.1, Solyc06T001456.1	CA06g15690, CA03g36890
OG0001983	Solyc01T003185.2	CA08g11360
OG0001983	Solyc01T002218.1	CA00g47420
OG0001984	Solyc01T002869.1	CA08g07480
OG0001984	Solyc01T002868.1	CA08g07490
OG0001985	Solyc01T001514.1, Solyc09T000042.1	CA08g02210, CA10g09970, CA05g09960, CA01g02660, CA00g71280
OG0001985	Solyc08T000804.1	CA03g35830, CA00g86530
OG0001986	Solyc08T002221.1	CA01g04320
OG0001987	Solyc01T001910.1	CA11g13280
OG0001988	Solyc01T001640.1	CA01g16020
OG0001988	Solyc12T002746.1	CA12g21220
OG0001989	Solyc06T001147.2	CA02g08440, CA02g10850, CA12g03970, CA09g09790
OG0001989	Solyc12T001659.1, Solyc06T000765.1	CA08g05450, CA00g98950, CA11g10050, CA12g09160, CA03g10020
OG0001990	Solyc09T000426.1	CA09g00050
OG0001990	Solyc10T002606.1	CA10g17390
OG0001991	Solyc07T000139.1	CA07g01140
OG0001992	Solyc09T000321.1	CA09g01270
OG0001992	Solyc10T002640.1	CA10g16370
OG0001993	Solyc09T002178.1	CA03g27510
OG0001993	Solyc06T001119.1	CA06g10330
OG0001994	Solyc10T002577.1	CA10g17100
OG0001994	Solyc11T000156.1	CA12g07420
OG0001994	Solyc04T000344.1	CA05g03840
OG0001995	Solyc09T000257.1	CA00g40940
OG0001995	Solyc10T002664.5	CA10g15940
OG0001995	Solyc11T002110.1	CA11g18400
OG0001996	Solyc08T002008.1	CA01g06710
OG0001997	Solyc11T001467.1	CA00g82730
OG0001997	Solyc08T000397.1	CA01g29220
OG0001998	Solyc01T002784.1, Solyc01T002783.1, Solyc01T002782.1	CA01g19500
OG0001999	Solyc11T002034.1	CA09g14000
OG0002002	Solyc10T002564.1	CA10g17640
OG0002002	Solyc01T000153.1	CA00g32980
OG0002003	Solyc08T000347.3	CA01g34570
OG0002003	Solyc05T002719.1	CA07g02550
OG0002003	Solyc01T002971.1	CA00g64660
OG0002004	Solyc09T000337.1	CA09g01010
OG0002005	Solyc03T003334.1	CA03g34580
OG0002006	Solyc12T000024.1	CA09g13510
OG0002006	Solyc07T002568.1	CA07g18830
OG0002007	Solyc06T000835.1, Solyc06T000834.1	CA06g13890
OG0002008	Solyc11T001945.1	CA12g22160, CA11g12240
OG0002009	Solyc03T003360.1	CA03g34880
OG0002010	Solyc03T001581.1	CA04g14180, CA04g18600, CA04g14720
OG0002010	Solyc03T000166.1, Solyc02T001635.1	CA02g16900, CA04g02680
OG0002011	Solyc10T002901.1	CA09g02530, CA10g12440
OG0002012	Solyc09T001840.1	CA04g21580
OG0002012	Solyc06T002691.1	CA06g28140
OG0002013	Solyc02T002164.1	CA09g16670, CA02g05380, CA02g22900
OG0002014	Solyc06T001344.1	CA06g12600
OG0002014	Solyc08T000232.1, Solyc08T002109.1	CA01g05840
OG0002015	Solyc05T002203.1, Solyc03T001774.1, Solyc11T002483.1, Solyc10T000666.1	CA03g16010
OG0002016	Solyc06T000282.1	CA05g14980
OG0002016	Solyc06T002774.1	CA06g27440
OG0002017	Solyc10T002421.1	CA10g19480
OG0002019	Solyc01T001764.1	CA02g26780, CA06g19830, CA00g25390, CA12g10970, CA10g07580, CA12g12260, CA11g19500
OG0002020	Solyc01T001084.1	CA05g10550, CA08g09570
OG0002020	Solyc03T001224.1	CA10g08950, CA01g28960, CA12g14780, CA11g01690, CA08g13540
OG0002021	Solyc01T001027.1	CA02g22310
OG0002022	Solyc12T002044.1	CA03g08550, CA00g04490, CA00g70570, CA03g08560
OG0002023	Solyc11T000855.1	CA04g11620
OG0002023	Solyc05T000461.1	CA11g01280
OG0002024	Solyc01T002024.1	CA01g23190
OG0002024	Solyc05T000259.1	CA11g04490
OG0002026	Solyc03T002427.1	CA03g25210
OG0002028	Solyc03T001945.1	CA03g14000
OG0002028	Solyc03T001944.1	CA03g27630
OG0002029	Solyc03T001697.1	CA03g20280
OG0002029	Solyc04T002084.1	CA04g12680
OG0002030	Solyc12T000610.1, Solyc12T000607.1, Solyc12T002478.1	CA00g70940
OG0002031	Solyc04T001859.1	CA12g12170
OG0002032	Solyc04T002624.1	CA00g84270
OG0002034	Solyc06T002195.1	CA06g22040
OG0002035	Solyc08T001695.1, Solyc08T000103.1	CA01g10030, CA01g30530
OG0002035	Solyc12T002574.1	CA12g18960
OG0002036	Solyc03T003208.1	CA03g33240
OG0002036	Solyc05T000390.1	CA11g00490
OG0002039	Solyc05T002710.1	CA05g20630
OG0002039	Solyc09T000099.1	CA09g03130
OG0002039	Solyc10T002726.1	CA00g29880, CA00g29840
OG0002040	Solyc11T002010.1, Solyc01T003283.1	CA00g66850
OG0002040	Solyc11T001701.1	CA05g04570
OG0002042	Solyc03T000366.1	CA03g17990
OG0002043	Solyc01T002541.1	CA03g26860, CA03g12730, CA08g12650, CA11g00020, CA05g15840, CA01g05640, CA03g02470, CA01g07620
OG0002044	Solyc10T001506.1	CA10g07000
OG0002044	Solyc03T002467.1	CA03g25870
OG0002045	Solyc01T003237.1	CA08g11820, CA08g11810, CA08g11830
OG0002046	PRAM_36921.1.p1	CA05g07880
OG0002046	Solyc03T003183.1	CA03g32920
OG0002048	Solyc08T001025.1	CA01g16200, CA01g20460, CA01g14530
OG0002048	Solyc03T001979.1	CA01g15090
OG0002048	Solyc01T000946.1	CA02g04050, CA12g10270, CA03g11010
OG0002051	Solyc05T000499.1	CA11g01590
OG0002052	Solyc07T000303.1	CA07g03880, CA07g03860
OG0002053	Solyc03T003448.1	CA03g36350
OG0002053	Solyc07T001286.1	CA07g05930
OG0002054	Solyc06T002340.1	CA11g18080
OG0002054	Solyc11T002086.1	CA06g23440
OG0002055	Solyc09T002574.3	CA03g04710
OG0002055	Solyc03T000062.1	CA04g00650
OG0002056	Solyc02T002217.2	CA02g23800
OG0002056	Solyc05T000383.2	CA11g00420, CA01g27860, CA11g00430
OG0002057	Solyc01T003376.1	CA08g12950
OG0002058	Solyc11T000900.1	CA04g10290
OG0002058	Solyc06T001566.1	CA06g14010
OG0002059	Solyc01T003274.1	CA08g12190, CA00g77480
OG0002060	Solyc03T003044.1	CA03g30320
OG0002060	Solyc06T001776.1	CA00g74830
OG0002060	Solyc07T000106.1	CA07g01250, CA09g02390, CA07g01240
OG0002061	Solyc09T002561.1	CA03g04830
OG0002061	Solyc09T000837.1	CA05g10620
OG0002062	Solyc02T002485.1	CA02g26810
OG0002063	Solyc07T000321.1	CA07g04050
OG0002063	Solyc11T002416.1	CA11g15290
OG0002063	Solyc06T002231.1	CA06g22400
OG0002064	Solyc02T001566.1	CA10g04110, CA02g16020
OG0002065	Solyc07T002793.1	CA07g21510, CA01g32630
OG0002065	Solyc03T003475.1	CA03g35580
OG0002066	Solyc03T003566.1	CA03g36900
OG0002066	Solyc06T001454.1	CA06g15670, CA05g10290
OG0002067	Solyc06T002473.1	CA06g24760
OG0002067	Solyc06T000063.1	CA06g04630
OG0002067	Solyc04T000443.1	CA05g03200
OG0002068	Solyc08T000022.1, Solyc04T002754.1	CA04g20050
OG0002068	Solyc03T003502.1, Solyc03T002885.1	CA01g30340
OG0002069	Solyc07T002449.1	CA07g17260
OG0002069	Solyc10T000065.1	CA10g00890
OG0002070	Solyc07T000162.1	CA04g23100, CA07g00160
OG0002072	Solyc10T000226.1	CA10g01580
OG0002072	Solyc12T000670.1	CA09g12880
OG0002073	Solyc02T001713.1	CA02g18030
OG0002073	Solyc10T000143.1	CA10g00050
OG0002073	Solyc07T002583.1	CA07g19500
OG0002076	Solyc07T001901.1, Solyc02T000174.1	CA07g11490
OG0002076	Solyc02T000531.1, Solyc02T001752.1	CA02g18540
OG0002077	Solyc03T003412.1	CA03g36120
OG0002077	Solyc12T000280.1	CA09g16730
OG0002078	Solyc11T001851.1	CA01g16220
OG0002078	Solyc10T002297.1	CA10g20690
OG0002079	Solyc03T000170.1	CA04g02700
OG0002079	Solyc02T001652.1	CA02g17050
OG0002080	Solyc07T002164.1	CA07g13410
OG0002081	Solyc05T001639.1, Solyc12T000273.1	CA09g16860
OG0002082	Solyc03T002391.1	CA03g24370
OG0002082	Solyc02T002904.1	CA02g30570
OG0002083	Solyc03T000098.1	CA04g01080
OG0002083	Solyc02T001358.1	CA02g13270
OG0002083	Solyc07T002417.1	CA07g16850
OG0002084	Solyc08T000120.1	CA01g29720
OG0002084	Solyc08T000119.1	CA01g29730
OG0002084	Solyc08T000176.1	CA01g32180
OG0002085	Solyc10T000202.1, Solyc12T000621.1, Solyc07T002493.1	CA07g17670
OG0002086	Solyc12T002610.1	CA12g19460
OG0002086	Solyc12T000892.3, Solyc08T000475.1	CA00g10840
OG0002087	Solyc02T001872.1	CA02g19620
OG0002088	Solyc06T002442.3	CA06g24570
OG0002088	Solyc11T002061.1	CA11g11830
OG0002089	Solyc02T001379.1	CA02g13520
OG0002089	Solyc02T001378.1	CA02g13510
OG0002089	Solyc12T000502.1	CA09g13530
OG0002089	Solyc07T002233.1	CA07g14570
OG0002090	Solyc02T002073.1	CA02g21830
OG0002091	Solyc02T001859.1	CA02g19510
OG0002091	Solyc09T002475.1, Solyc06T001143.1	CA03g06210
OG0002092	Solyc12T000769.1, Solyc07T002772.1	CA07g20900, CA07g19580
OG0002093	Solyc05T000043.1	CA11g07870
OG0002094	Solyc02T000380.1, Solyc01T002312.1, Solyc12T000751.1	CA03g14440
OG0002094	Solyc07T000199.1	CA00g69650
OG0002095	Solyc02T001784.1	CA02g20280, CA02g20260
OG0002096	Solyc06T002252.1	CA06g22610
OG0002096	Solyc01T000352.1, Solyc01T000353.1	CA01g13730, CA01g13720
OG0002096	Solyc11T002454.1	CA11g16000
OG0002098	Solyc02T000259.1	CA02g11290
OG0002098	Solyc02T001226.1	CA02g03290
OG0002099	Solyc12T002458.1, Solyc04T002810.1	CA04g20730
OG0002099	Solyc02T000754.1, Solyc02T002130.1	CA02g22520
OG0002100	Solyc09T001563.2, Solyc06T000173.3	CA00g30100
OG0002101	Solyc03T000144.1, Solyc03T000143.1	CA02g15920, CA04g02460
OG0002102	Solyc06T001798.1	CA06g17430
OG0002102	Solyc12T001860.1	CA12g12920, CA03g22330
OG0002103	Solyc12T000715.1, Solyc07T002675.1	CA07g20050
OG0002104	Solyc03T000136.1, Solyc02T001531.1	CA02g15240
OG0002105	Solyc02T001360.1	CA02g13280
OG0002105	Solyc03T000099.1	CA04g01070
OG0002106	Solyc12T000063.1, Solyc12T000064.1	CA09g07040
OG0002107	Solyc04T000217.2	CA05g08840
OG0002107	Solyc05T002238.1, Solyc11T000478.1	CA12g02460
OG0002108	Solyc05T000324.1	CA00g59350
OG0002108	Solyc08T000084.1	CA01g32550
OG0002108	Solyc12T002564.3, Solyc08T002539.1	CA01g00510
OG0002109	Solyc02T002394.1	CA02g28100
OG0002109	Solyc02T000978.1	CA02g01070
OG0002109	Solyc04T000069.1, Solyc05T000271.1	CA00g74660
OG0002110	Solyc06T002125.1	CA06g21280
OG0002110	Solyc03T002161.1	CA03g21660
OG0002110	Solyc08T000020.1	CA01g30350
OG0002110	Solyc08T001941.1	CA01g07540
OG0002111	Solyc02T001900.1	CA00g65290
OG0002112	Solyc09T000510.4	CA09g05100
OG0002113	Solyc01T000015.1	CA08g01260
OG0002114	Solyc02T001742.1	CA02g18360
OG0002114	Solyc12T000237.1	CA00g82820
OG0002115	Solyc05T000739.1	CA11g03730
OG0002116	Solyc02T001682.1	CA02g17500
OG0002116	Solyc10T000160.1	CA10g00200
OG0002116	PRAM_80945.1.p1	CA07g18500
OG0002117	Solyc12T000341.1	CA09g14770, CA00g93630
OG0002117	Solyc07T001534.1, Solyc05T001596.1	CA05g11840
OG0002118	Solyc06T002007.1	CA05g10460, CA06g20020
OG0002118	Solyc05T000786.1	CA00g64430
OG0002119	Solyc11T002500.1	CA11g14470
OG0002119	Solyc09T000135.1	CA09g03070
OG0002120	Solyc09T002040.1	CA06g07080
OG0002120	Solyc06T000243.1	CA06g01330
OG0002121	Solyc04T002311.1	CA04g08970
OG0002121	Solyc04T001871.1, Solyc05T002272.1	CA05g13650
OG0002122	Solyc03T001610.1, Solyc05T002407.1	CA05g16110
OG0002122	Solyc06T000075.1	CA06g04770
OG0002122	Solyc06T002484.1	CA06g24870
OG0002123	Solyc03T000629.1, Solyc02T000753.1	CA02g05210
OG0002123	Solyc01T004154.1	CA01g11010, CA03g10970, CA09g04160, CA02g06560, CA00g64360, CA03g10980, CA11g05240
OG0002124	Solyc12T000264.1	CA07g21080, CA07g00920, CA00g69830, CA09g14830, CA04g09410, CA00g88350
OG0002125	Solyc02T000944.1, Solyc02T002473.2	CA02g26970
OG0002126	Solyc03T003517.1	CA03g35260
OG0002126	Solyc06T001439.1	CA06g15800
OG0002127	Solyc03T000087.1	CA04g00880
OG0002128	Solyc06T002609.1	CA02g17540, CA02g17530, CA06g26120
OG0002129	Solyc08T000873.1	CA08g04090
OG0002131	Solyc03T002693.1	CA03g28380
OG0002132	Solyc08T001226.1	CA01g22070
OG0002132	Solyc06T001525.1	CA06g15380, CA06g15370
OG0002133	Solyc11T002377.1, Solyc11T002383.1	CA11g20210, CA11g20250, CA06g25280
OG0002133	Solyc11T002381.1	CA11g20190
OG0002134	Solyc08T000575.1, Solyc06T001587.1	CA02g11560
OG0002134	Solyc09T001406.1	CA00g16580, CA00g16000, CA06g14250
OG0002135	Solyc02T000947.1	CA02g08220
OG0002135	Solyc02T002464.1	CA02g27090
OG0002136	Solyc03T002701.1	CA03g28500
OG0002137	Solyc04T002039.1	CA04g13020
OG0002137	Solyc11T000070.1	CA12g12220
OG0002138	Solyc05T002397.1	CA05g14730
OG0002139	Solyc02T002504.1	CA02g26580
OG0002139	Solyc02T002505.1	CA02g26570
OG0002141	Solyc01T003673.1	CA00g60470
OG0002142	Solyc09T001117.1, Solyc09T001730.2	CA08g09240
OG0002142	Solyc12T001420.1	CA00g66730, CA03g14820, CA00g73320, CA04g03520, CA01g22970, CA04g07390, CA11g09340, CA00g57200, CA01g15200, CA04g06590
OG0002143	Solyc09T000598.1	CA00g80480
OG0002144	Solyc02T001323.1	CA02g12880, CA02g12870
OG0002144	Solyc03T000088.1, Solyc02T001321.1	CA02g12860
OG0002145	Solyc05T002359.1	CA05g15680, CA05g15690
OG0002145	Solyc12T001467.1	CA03g33140
OG0002146	Solyc04T002821.1	CA04g20870
OG0002146	Solyc02T000744.1	CA02g05090
OG0002146	Solyc02T002118.1	CA02g22290
OG0002147	Solyc03T000792.1	CA04g08130
OG0002147	Solyc02T002836.1	CA02g14540
OG0002147	Solyc02T000879.1	CA02g01830
OG0002148	Solyc05T000563.1	CA11g02190
OG0002148	Solyc04T000100.1	CA05g08430
OG0002148	Solyc02T002497.1	CA02g26650
OG0002149	Solyc02T001932.1	CA02g19930
OG0002149	Solyc03T000529.1	CA04g05210
OG0002150	Solyc03T000532.1	CA04g05250, CA11g12440
OG0002151	Solyc02T002802.1	CA00g84770
OG0002152	Solyc05T000262.1	CA11g04360
OG0002153	Solyc08T002069.1	CA01g06350
OG0002153	Solyc06T001358.1	CA01g06340, CA01g06110, CA06g12770
OG0002154	Solyc03T002267.1	CA03g23120
OG0002155	Solyc06T001111.1	CA00g63980
OG0002155	Solyc08T000436.1	CA01g28950
OG0002156	Solyc04T002015.1	CA04g12880
OG0002156	Solyc03T002272.1	CA03g23210
OG0002157	Solyc01T000565.1	CA01g17900
OG0002157	Solyc05T000153.1	CA11g06240
OG0002158	Solyc08T000014.1	CA01g07300, CA00g71010
OG0002159	Solyc01T002275.1	CA00g36670
OG0002159	Solyc08T000090.1	CA00g87310
OG0002159	Solyc08T001734.1	CA01g09320, CA01g09330
OG0002160	Solyc07T000862.7, Solyc09T000986.1	CA04g02370, CA02g15830
OG0002161	Solyc08T000008.1	CA00g50270
OG0002161	Solyc08T001975.1	CA01g07140
OG0002162	Solyc01T003428.1	CA00g62140
OG0002162	Solyc04T000879.1, Solyc05T000015.1	CA11g07980, CA11g07920
OG0002163	Solyc05T000001.1	CA11g11490
OG0002163	Solyc01T000220.1	CA08g00760
OG0002164	Solyc05T000231.1	CA00g49370
OG0002164	Solyc03T002911.1	CA03g31540
OG0002165	Solyc08T001937.1	CA01g07610
OG0002165	Solyc08T000023.1	CA01g30330
OG0002165	Solyc11T002149.1, Solyc06T001401.1	CA06g13530
OG0002166	Solyc06T001878.1	CA06g18320
OG0002166	Solyc03T002755.1	CA00g74580
OG0002166	Solyc05T000642.1	CA11g03180
OG0002167	Solyc10T001039.3, Solyc01T003551.1	CA08g15180
OG0002168	Solyc02T000929.1	CA02g26340, CA02g08000, CA02g07990
OG0002169	Solyc01T003221.1	CA00g46120
OG0002170	Solyc07T000952.1	CA04g19910, CA06g27650
OG0002171	Solyc03T000524.1	CA04g05160
OG0002171	Solyc02T001918.1	CA04g07900, CA02g20040
OG0002171	Solyc02T001919.1	CA09g08720
OG0002171	Solyc02T000638.1	CA02g20030, CA02g20020
OG0002172	Solyc03T002569.1	CA00g80740
OG0002173	Solyc09T002223.1	CA03g08260
OG0002173	Solyc03T000189.1	CA00g56330
OG0002174	Solyc02T002660.1	CA02g24060
OG0002174	Solyc03T000713.1	CA00g95850, CA04g08030
OG0002175	Solyc07T002622.1	CA07g19070
OG0002175	Solyc10T000145.1	CA07g19530, CA10g00070
OG0002176	Solyc04T002755.1	CA04g20060
OG0002177	Solyc07T000143.1	CA07g00590
OG0002178	Solyc04T002996.1	CA04g22860
OG0002178	Solyc02T000243.1	CA12g19540
OG0002179	Solyc04T002635.1	CA04g18330
OG0002179	Solyc02T002830.1	CA02g14590
OG0002180	Solyc11T000619.1	CA10g16480
OG0002180	Solyc10T002631.1	CA10g16490
OG0002180	Solyc12T002499.1	CA12g18080, CA00g93010, CA12g18090
OG0002180	Solyc05T002524.1	CA05g17850
OG0002181	Solyc12T000166.1	CA09g14910
OG0002181	Solyc12T000179.1	CA09g15310
OG0002181	Solyc08T001396.1	CA04g05470
OG0002183	Solyc01T001962.1	CA01g25670
OG0002183	Solyc01T003265.6	CA08g11980
OG0002184	Solyc03T002617.1	CA03g27590
OG0002184	Solyc06T001956.1	CA06g19410
OG0002187	Solyc07T002228.1, PRAM_26247.1.p1	CA08g12110, CA03g27450, CA07g14610, CA02g23620
OG0002188	Solyc02T002005.1	CA02g21360
OG0002192	Solyc02T001654.4	CA02g17060
OG0002193	Solyc07T000038.1, Solyc12T000420.1	CA09g18370
OG0002194	Solyc03T002675.1	CA03g28190
OG0002194	Solyc08T001596.1, Solyc08T000296.1, Solyc05T000065.1	CA11g07710
OG0002195	Solyc07T001956.1, Solyc05T001973.1	CA00g76080
OG0002195	Solyc07T002589.1	CA07g19450
OG0002196	Solyc02T001773.1	CA02g18720
OG0002196	Solyc05T001883.1, Solyc07T001828.1	CA07g10480
OG0002197	Solyc08T002030.1	CA06g12870, CA01g06970
OG0002198	PRAM_21934.1.p1, Solyc02T000180.1	CA02g03100
OG0002199	Solyc11T001117.1	CA09g14370
OG0002199	Solyc10T000996.1, Solyc00T000026.1	CA04g14390
OG0002200	Solyc09T002669.2	CA03g02260
OG0002200	Solyc06T002011.1	CA06g19990
OG0002200	Solyc03T002498.1	CA00g00410
OG0002201	Solyc03T003210.1	CA06g17830, CA03g33250
OG0002201	Solyc05T000391.1	CA11g00500
OG0002202	Solyc05T002608.1	CA05g19320
OG0002202	Solyc09T000088.1	CA09g03750
OG0002204	Solyc02T002885.1, Solyc02T002796.1	CA02g30390, CA02g24970
OG0002205	Solyc02T001137.2	CA00g50530, CA00g67880, CA03g22320, CA11g08510
OG0002206	Solyc06T002751.1	CA06g26840
OG0002206	Solyc05T001341.1, Solyc03T000989.1, Solyc09T001931.1	CA09g11820
OG0002206	Solyc01T002148.1	CA01g24670
OG0002208	Solyc10T000667.1	CA10g10260
OG0002208	Solyc01T002711.1	CA01g10950
OG0002208	Solyc05T002202.1	CA05g11870
OG0002209	Solyc10T002283.1	CA10g21300
OG0002209	Solyc09T002546.1	CA03g05700, CA03g05230
OG0002210	Solyc05T001410.2	CA11g08840
OG0002211	Solyc12T000004.1	CA07g19090
OG0002211	Solyc07T002620.1	CA03g11840
OG0002211	Solyc03T000475.1	CA04g03470
OG0002212	Solyc10T001773.1	CA10g08620
OG0002212	Solyc01T004177.1	CA00g71930
OG0002213	Solyc12T000090.1	CA09g10500
OG0002213	Solyc07T001871.1	CA07g11350
OG0002213	Solyc07T002672.1	CA07g20020
OG0002214	Solyc01T000347.1	CA01g13640
OG0002214	Solyc11T002421.2	CA01g21480
OG0002214	Solyc01T002518.2	CA11g15450, CA01g21470
OG0002215	Solyc09T000893.1	CA01g29520
OG0002215	Solyc10T002825.1	CA10g12940
OG0002215	Solyc06T002576.1	CA00g97550, CA06g25800
OG0002216	Solyc11T002353.1	CA11g19970
OG0002216	Solyc08T001301.1	CA08g02300
OG0002217	Solyc04T001175.1	CA03g24400
OG0002219	Solyc01T003956.1	CA00g51980
OG0002219	Solyc06T000607.1	CA00g51970
OG0002220	Solyc01T002853.1	CA08g07330
OG0002221	Solyc04T000735.1	CA05g00510, CA00g91850, CA00g91860, CA05g00490, CA05g00520, CA05g00330
OG0002222	Solyc01T001870.1	CA01g17350
OG0002222	Solyc12T002765.1	CA12g21410
OG0002223	Solyc05T002063.1	CA05g12840
OG0002225	Solyc02T002356.1	CA00g19930, CA09g11880, CA01g22240, CA02g28370
OG0002226	Solyc06T001783.1	CA06g17320
OG0002226	Solyc03T003059.1	CA03g30470
OG0002227	Solyc09T002521.1	CA03g05610
OG0002227	Solyc06T001123.1	CA06g10400
OG0002228	Solyc09T002032.1	CA09g01280
OG0002228	Solyc06T002727.1	CA00g80770
OG0002234	Solyc11T001708.1, Solyc11T000161.1	CA01g20670, CA00g68210, CA00g68170, CA12g13210, CA12g11330, CA12g10310, CA00g70860, CA01g14320, CA10g02230, CA01g25970, CA03g03020
OG0002249	Solyc10T000757.1, Solyc06T002133.1	CA06g21330
OG0002250	Solyc02T002232.1	CA02g29980
OG0002250	Solyc12T000500.1	CA09g13630
OG0002250	Solyc03T002501.1	CA00g00370, CA00g00380
OG0002251	Solyc04T002585.1	CA04g17920
OG0002251	Solyc01T003904.1	CA08g16870
OG0002253	Solyc05T002002.1	CA09g07330
OG0002253	Solyc12T000077.2, Solyc12T000076.1, Solyc08T001861.1	CA09g07310, CA09g07250
OG0002254	Solyc08T002430.1	CA01g01720
OG0002260	Solyc07T002817.1	CA07g21250, CA07g21220
OG0002262	Solyc03T003148.1	CA03g31000
OG0002267	Solyc11T000943.1	CA12g16860, CA04g06010, CA01g07660, CA12g11090, CA07g09970, CA01g09790, CA12g05700, CA10g08240, CA02g20810, CA07g05100, CA04g08720, CA09g03670, CA08g06150, CA03g10370
OG0002269	Solyc02T002417.1	CA07g10860
OG0002269	Solyc12T001751.1, Solyc12T001744.1	CA11g09420, CA06g03770, CA12g13070, CA09g05080, CA02g26500, CA00g62280, CA02g28140, CA09g12790, CA05g09680, CA01g11810, CA03g19530, CA07g01460
OG0002270	Solyc05T001887.1	CA00g11090, CA11g05480, CA03g09430, CA03g17700
OG0002270	Solyc11T001493.1	CA12g06710, CA01g13560, CA02g20730, CA03g09100, CA06g09920, CA02g21490, CA01g21070, CA11g14980, CA07g08330, CA00g80650
OG0002271	Solyc05T001709.1	CA03g16330, CA00g47450
OG0002271	Solyc05T000974.1	CA07g09120
OG0002271	Solyc05T001539.1	CA01g17740
OG0002271	Solyc05T000970.1	CA11g06840
OG0002271	Solyc10T001316.1	CA11g12950, CA04g11300
OG0002273	Solyc11T001994.1	CA11g12220
OG0002273	Solyc12T002788.1, Solyc12T002792.1	CA12g21630
OG0002273	Solyc11T002000.1	CA11g12580, CA01g27800
OG0002273	Solyc11T001995.1	CA11g12210
OG0002273	Solyc11T002002.1	CA11g12250
OG0002273	Solyc11T002001.1	CA11g12560
OG0002274	Solyc05T001501.1	CA07g13220
OG0002274	Solyc05T000982.1	CA00g16010
OG0002274	Solyc02T000343.1	CA04g11840
OG0002275	Solyc04T000806.1	CA00g50580
OG0002275	Solyc08T001051.1	CA09g06220, CA04g10990, CA11g10360, CA03g16750, CA07g12260, CA08g01720, CA08g02900, CA08g03540, CA03g17660, CA02g13930, CA10g02460, CA00g71880, CA03g11100
OG0002276	Solyc09T001824.1	CA04g09060, CA00g70600, CA07g17150, CA09g05590, CA07g17490, CA00g91830, CA12g01270, CA06g08410, CA06g25580
OG0002276	Solyc06T000419.1, Solyc02T000080.1	CA02g15940, CA11g08270, CA12g18860, CA07g17480
OG0002277	Solyc12T000990.1	CA09g17760
OG0002277	Solyc12T000363.1	CA03g11900
OG0002277	Solyc04T001773.1	CA09g17750
OG0002277	Solyc12T000611.1	CA09g08690, CA09g07470
OG0002278	Solyc07T000594.1, Solyc07T000492.1, Solyc07T000484.1, Solyc07T000477.1, Solyc07T000488.1, Solyc07T000596.1, Solyc07T000481.1, Solyc11T002490.1, Solyc03T000430.1, Solyc07T000802.1, Solyc07T000803.1, Solyc07T000794.1, Solyc07T000790.1, Solyc07T000808.1, Solyc07T000789.1	CA03g16500
