Orthogroup	Solanum_lycopersicum	Prunus_persica
OG0001814	Solyc05T002399.1	Prupe.2G244900.1
OG0001816	Solyc05T000317.1, Solyc05T000319.1, Solyc05T000318.1	Prupe.1G323600.1
OG0001816	Solyc02T002666.1	Prupe.3G158800.1
OG0001817	Solyc10T001620.1, Solyc10T001616.1, Solyc01T004030.1	Prupe.8G116900.1, Prupe.8G116800.1, Prupe.8G117000.1, Prupe.1G441800.1, Prupe.1G390400.1
OG0001818	Solyc01T004314.1	Prupe.2G218100.1
OG0001819	Solyc11T002426.1	Prupe.8G239200.1
OG0001820	Solyc11T002392.1, Solyc10T001085.1, Solyc08T001613.1	Prupe.1G451300.1
OG0001821	Solyc06T000968.2	Prupe.6G052400.1, Prupe.2G254500.1
OG0001822	Solyc08T002130.1	Prupe.5G067500.1, Prupe.5G067200.1
OG0001823	Solyc06T001639.1, Solyc06T001640.1	Prupe.5G023600.1, Prupe.5G022800.1, Prupe.5G023200.1, Prupe.5G022900.1, Prupe.5G023000.1, Prupe.5G023400.1
OG0001824	Solyc04T002985.3, Solyc04T002922.5, Solyc12T002502.1	Prupe.8G177900.1
OG0001824	Solyc03T000536.1	Prupe.7G180800.1
OG0001825	Solyc10T001082.1, Solyc08T000990.1, Solyc01T003214.1	Prupe.6G225700.1
OG0001826	Solyc03T000523.1, Solyc02T001912.1	Prupe.7G185200.1
OG0001827	Solyc06T001965.1, Solyc03T002637.1	Prupe.5G179700.1, Prupe.5G179800.1, Prupe.3G277000.1
OG0001828	Solyc11T001590.1, Solyc10T001957.1, Solyc06T000774.1, Solyc01T004332.1, Solyc01T004333.1	Prupe.1G361400.1, Prupe.7G172700.1, Prupe.2G100400.1, Prupe.2G099500.1, Prupe.8G166100.1
OG0001831	Solyc08T002314.1	Prupe.5G093200.1
OG0001831	Solyc03T000402.1	Prupe.2G292100.1
OG0001832	Solyc04T002734.1	Prupe.1G386400.1
OG0001832	Solyc02T002539.1	Prupe.7G145100.1, Prupe.5G021600.1
OG0001833	Solyc04T000104.1, Solyc01T000430.1, Solyc05T000529.1	Prupe.1G301200.1
OG0001833	Solyc02T002515.1	Prupe.3G241800.1
OG0001834	Solyc05T000178.1, Solyc04T000092.1	Prupe.1G265500.1
OG0001834	Solyc06T001948.1	Prupe.5G184900.1
OG0001835	Solyc09T000691.1, Solyc06T000741.1, Solyc03T000286.1	Prupe.2G304300.1, Prupe.2G291700.1, Prupe.2G304200.1
OG0001836	Solyc04T002707.2	Prupe.1G441200.1
OG0001836	Solyc02T002585.1	Prupe.7G136300.1
OG0001837	Solyc01T000295.1, Solyc01T000294.1	Prupe.3G028800.1
OG0001837	Solyc04T002826.1	Prupe.1G376300.1
OG0001837	Solyc02T002114.1	Prupe.7G158000.1
OG0001838	Solyc07T002693.2	Prupe.4G234600.1
OG0001838	Solyc07T001794.1	Prupe.3G200500.1
OG0001839	Solyc01T000081.1, Solyc12T002848.1	Prupe.6G011600.1
OG0001839	Solyc08T000043.3	Prupe.5G024100.1
OG0001840	Solyc02T000776.2, Solyc02T002168.1	Prupe.7G150700.1
OG0001841	Solyc08T001973.1	Prupe.5G035200.1
OG0001842	Solyc02T002123.1, Solyc02T002124.1, Solyc02T000750.1	Prupe.8G095400.1, Prupe.8G094800.1, Prupe.8G097000.1, Prupe.8G095000.1, Prupe.6G177700.1, Prupe.7G156500.1
OG0001843	Solyc02T000151.1, Solyc11T001721.1	Prupe.5G243200.1, Prupe.1G347300.1
OG0001844	Solyc08T001724.1, Solyc05T000074.1	Prupe.1G256800.1
OG0001845	Solyc07T001603.1, Solyc07T001601.1, Solyc07T001602.1, Solyc07T001600.1	Prupe.6G059000.1, Prupe.6G058900.1, Prupe.3G184400.1
OG0001846	Solyc04T003025.1	Prupe.7G187900.1
OG0001847	Solyc08T001510.1, Solyc06T001258.1	Prupe.1G489400.1
OG0001849	PRAM_67549.1.p1	Prupe.3G054300.1
OG0001849	Solyc11T002367.3, Solyc08T001370.2, Solyc12T002538.1	Prupe.1G416000.1
OG0001850	Solyc04T000990.1, Solyc05T000079.1	Prupe.1G257800.1
OG0001851	Solyc01T004281.1	Prupe.1G365600.1
OG0001852	Solyc03T002536.1	Prupe.5G170800.1
OG0001852	Solyc06T000025.1	Prupe.3G288100.1
OG0001853	Solyc06T001034.1, Solyc03T000249.1	Prupe.2G306400.1
OG0001854	Solyc01T003875.1, Solyc10T002628.1	Prupe.2G324700.1, Prupe.1G091200.1, Prupe.1G091000.1, Prupe.1G091100.1, Prupe.1G090500.1, Prupe.1G090400.1
OG0001855	Solyc07T002690.1, Solyc12T000720.1	Prupe.4G232600.1
OG0001856	Solyc12T000701.1, Solyc07T002655.1, Solyc10T000111.3	Prupe.4G222600.1, Prupe.4G222500.1
OG0001857	Solyc09T001056.1	Prupe.6G290400.1
OG0001857	Solyc06T000138.1	Prupe.2G261600.1
OG0001858	Solyc02T000524.1, Solyc02T001745.1, Solyc03T000470.1	Prupe.I005500.1, Prupe.4G019200.1, Prupe.4G216100.1
OG0001859	Solyc06T000126.1, Solyc09T000910.1	Prupe.6G051900.1, Prupe.6G282900.1
OG0001860	Solyc09T001119.1	Prupe.1G108400.1, Prupe.1G103300.1, Prupe.3G073500.1, Prupe.1G106000.1, Prupe.6G043600.1, Prupe.6G045800.1, Prupe.1G103400.1
OG0001861	Solyc09T000610.1	Prupe.6G269400.1
OG0001861	Solyc09T001130.2	Prupe.6G063200.1
OG0001863	Solyc01T002754.1	Prupe.2G156500.1
OG0001863	Solyc06T000671.1, Solyc01T000385.1, Solyc06T000667.1, Solyc03T000416.1	Prupe.2G290800.1
OG0001864	Solyc08T001345.2	Prupe.1G413900.1
OG0001864	Solyc07T000946.1, Solyc05T001664.1	Prupe.7G213100.1
OG0001865	Solyc04T001461.1	Prupe.2G217600.1
OG0001865	Solyc10T002892.1, Solyc09T000137.1, Solyc10T002711.1	Prupe.6G239700.1
OG0001867	Solyc01T003372.1	Prupe.6G313000.1
OG0001868	Solyc07T001650.1, Solyc05T001109.1	Prupe.3G187500.1
OG0001869	Solyc09T000068.1	Prupe.8G262300.1
OG0001870	Solyc08T000085.1, Solyc03T001343.5, Solyc10T002420.1, Solyc10T002514.1	Prupe.7G026400.1, Prupe.7G026300.1
OG0001872	Solyc06T001499.1, Solyc01T004109.1	Prupe.3G018800.1, Prupe.2G014200.1, Prupe.2G290000.1
OG0001873	Solyc09T002798.3, Solyc09T002812.1, Solyc09T002811.1, Solyc09T002810.1, Solyc09T002797.1	Prupe.3G205800.1
OG0001874	Solyc02T000585.1, Solyc02T000584.1	Prupe.3G011300.1, Prupe.3G011200.1
OG0001875	Solyc02T001163.1, Solyc07T001698.2	Prupe.3G178700.1
OG0001876	Solyc02T001095.1	Prupe.4G116200.1
OG0001877	Solyc09T002470.3, Solyc03T000037.2	Prupe.4G011700.1
OG0001878	Solyc01T004178.1, Solyc01T001765.1, Solyc02T001655.1, Solyc06T000611.1, Solyc12T002159.1, Solyc05T001518.1, Solyc02T002844.1, Solyc10T001460.1, Solyc07T000356.1, Solyc03T002991.1, Solyc08T000657.1, Solyc09T002219.1	Prupe.8G091000.1
OG0001880	Solyc02T001160.1	Prupe.4G107500.1, Prupe.4G107800.1
OG0001880	Solyc07T001697.2	Prupe.3G178800.1
OG0001883	Solyc02T001848.1	Prupe.1G101100.1
OG0001884	Solyc05T000736.1	Prupe.1G280700.1, Prupe.3G262100.1
OG0001885	Solyc05T001870.1, Solyc07T001807.1, Solyc07T001806.1, Solyc11T000627.1	Prupe.4G008600.1
OG0001886	Solyc02T001129.1	Prupe.4G107600.1, Prupe.4G107700.1, Prupe.4G110500.1
OG0001887	Solyc05T002586.1	Prupe.2G228100.1
OG0001888	Solyc09T002686.1	Prupe.1G061500.1
OG0001891	Solyc10T002238.1, Solyc01T003016.1	Prupe.7G038200.1, Prupe.2G041200.1
OG0001892	Solyc02T000004.1, Solyc02T000029.1	Prupe.3G076600.1
OG0001893	Solyc04T000403.2, Solyc04T000402.1, Solyc05T002605.1	Prupe.2G224800.1
OG0001893	Solyc09T000087.1	Prupe.6G246200.1
OG0001900	Solyc02T002385.1, Solyc02T000981.1	Prupe.1G276100.1, Prupe.3G266000.1
OG0001925	Solyc06T000371.1, Solyc03T000505.1, Solyc02T001799.1	Prupe.1G201900.1, Prupe.1G202100.1, Prupe.1G202500.1, Prupe.3G013100.1
OG0001931	Solyc01T002042.1	Prupe.3G135900.1, Prupe.4G275000.1
OG0001940	Solyc04T000852.1	Prupe.7G060300.1, Prupe.7G062500.1, Prupe.7G062900.1, Prupe.7G063000.1, Prupe.7G062700.1, Prupe.7G063800.1, Prupe.7G062600.1, Prupe.7G062200.1, Prupe.7G033700.1, Prupe.7G062300.1, Prupe.7G060200.1, Prupe.7G062800.1
OG0001944	Solyc11T000236.1, Solyc11T000237.1, Solyc08T000390.1	Prupe.2G085700.1, Prupe.2G086000.1, Prupe.2G085200.1, Prupe.2G085000.1, Prupe.2G084900.1, Prupe.2G085300.1, Prupe.2G085100.1
OG0001958	Solyc08T001466.3	Prupe.1G449700.1
OG0001959	Solyc12T002207.1, Solyc08T002394.1	Prupe.5G104700.1, Prupe.2G174500.1
OG0001961	Solyc12T002419.2	Prupe.1G434300.1
OG0001961	Solyc01T003714.1	Prupe.3G105200.1
OG0001962	Solyc03T000095.1	Prupe.3G031900.1
OG0001963	Solyc05T002161.1, Solyc01T002962.1	Prupe.5G121300.1, Prupe.2G188500.1
OG0001965	Solyc03T003557.1	Prupe.3G031000.1
OG0001969	Solyc12T001760.1, Solyc12T001765.1, Solyc03T003175.1	Prupe.5G225100.1
OG0001970	Solyc09T002274.1, Solyc06T000293.1	Prupe.8G264100.1
OG0001971	Solyc10T002690.1, Solyc10T002895.1, Solyc09T000170.1	Prupe.6G100500.1, Prupe.6G237500.1
OG0001972	Solyc03T003442.1	Prupe.3G050100.1
OG0001973	Solyc09T002110.1, Solyc06T000206.1	Prupe.8G220200.1
OG0001973	Solyc10T000037.1, Solyc03T000487.1	Prupe.4G025100.1
OG0001974	Solyc09T002624.1	Prupe.1G048900.1
OG0001974	Solyc06T002696.1	Prupe.8G215800.1
OG0001975	Solyc04T000832.1, Solyc10T002337.1, Solyc05T001209.1, Solyc10T002371.1	Prupe.7G046800.1
OG0001976	Solyc12T001315.1, Solyc03T000794.1, Solyc10T002480.1, Solyc10T002227.1	Prupe.7G028700.1
OG0001977	Solyc08T002569.1	Prupe.5G131300.1
OG0001977	Solyc09T002275.1	Prupe.8G264200.1
OG0001978	Solyc11T002445.1, Solyc06T002256.1	Prupe.6G146600.1
OG0001979	Solyc04T002482.3	Prupe.1G540200.1
OG0001980	Solyc03T003567.1, Solyc06T001456.1	Prupe.3G030100.1
OG0001983	Solyc01T003185.2	Prupe.6G332500.1
OG0001983	Solyc01T002218.1	Prupe.6G124800.1
OG0001984	Solyc01T002868.1	Prupe.2G299800.1
OG0001986	Solyc08T002221.1	Prupe.5G079800.1
OG0001987	Solyc01T001910.1	Prupe.1G138300.1
OG0001988	Solyc01T001640.1, Solyc12T002746.1	Prupe.1G116900.1
OG0001990	Solyc09T000426.1, Solyc10T002606.1	Prupe.7G100600.1
OG0001991	Solyc07T000139.1	Prupe.1G098100.1
OG0001992	Solyc09T000321.1	Prupe.2G086500.1
OG0001992	Solyc10T002640.1	Prupe.7G116400.1
OG0001993	Solyc09T002178.1	Prupe.1G022700.1
OG0001993	Solyc06T001119.1	Prupe.8G250200.1
OG0001994	Solyc10T002577.1	Prupe.7G096000.1
OG0001994	Solyc11T000156.1, Solyc04T000344.1	Prupe.2G071900.1
OG0001995	Solyc09T000257.1, Solyc10T002664.5	Prupe.7G123800.1
OG0001995	Solyc11T002110.1	Prupe.6G113900.1
OG0001997	Solyc11T001467.1, Solyc08T000397.1	Prupe.1G200100.1
OG0001998	Solyc01T002784.1, Solyc01T002783.1, Solyc01T002782.1	Prupe.2G151200.1
OG0001999	Solyc11T002034.1	Prupe.3G202500.1
OG0002002	Solyc10T002564.1, Solyc01T000153.1	Prupe.7G091200.1
OG0002003	Solyc08T000347.3	Prupe.5G123400.1
OG0002003	Solyc05T002719.1, Solyc01T002971.1	Prupe.2G190400.1
OG0002004	Solyc09T000337.1	Prupe.7G037300.1, Prupe.1G162900.1
OG0002005	Solyc03T003334.1	Prupe.3G075100.1
OG0002006	Solyc12T000024.1, Solyc07T002568.1	Prupe.4G201200.1, Prupe.4G029200.1
OG0002007	Solyc06T000835.1, Solyc06T000834.1	Prupe.6G287000.1
OG0002007	Solyc06T000838.1	Prupe.2G259100.1
OG0002008	Solyc11T001945.1	Prupe.5G099200.1
OG0002009	Solyc03T003360.1	Prupe.3G068600.1
OG0002010	Solyc03T001581.1, Solyc03T000166.1, Solyc02T001635.1	Prupe.4G037800.1
OG0002011	Solyc10T002901.1	Prupe.6G235900.1
OG0002012	Solyc09T001840.1, Solyc06T002691.1	Prupe.8G210000.1, Prupe.2G015600.1
OG0002013	Solyc02T002164.1	Prupe.7G151700.1
OG0002014	Solyc06T001344.1, Solyc08T000232.1, Solyc08T002109.1	Prupe.5G064300.1
OG0002015	Solyc05T002203.1, Solyc03T001774.1, Solyc11T002483.1, Solyc10T000666.1	Prupe.4G286400.1, Prupe.2G144200.1
OG0002016	Solyc06T000282.1, Solyc06T002774.1	Prupe.8G260100.1
OG0002017	Solyc10T002421.1	Prupe.7G067700.1
OG0002020	Solyc03T001224.1	Prupe.2G039100.1
OG0002021	Solyc01T001027.1	Prupe.7G157200.1
OG0002021	Solyc01T001081.1	Prupe.4G268900.1, Prupe.1G194700.1, Prupe.7G013300.1
OG0002022	Solyc12T002044.1	Prupe.3G051600.1, Prupe.3G051800.1
OG0002023	Solyc11T000855.1	Prupe.8G056000.1
OG0002023	Solyc05T000461.1	Prupe.1G309100.1
OG0002024	Solyc01T002024.1, Solyc05T000259.1	Prupe.6G304900.1, Prupe.6G305300.1, Prupe.6G305200.1, Prupe.6G305100.1, Prupe.6G305000.1
OG0002026	Solyc03T002427.1	Prupe.5G158100.1
OG0002028	Solyc03T001945.1, Solyc03T001944.1	Prupe.2G268700.1, Prupe.2G268600.1, Prupe.3G146900.1
OG0002029	Solyc03T001697.1	Prupe.2G315000.1
OG0002029	Solyc04T002084.1	Prupe.8G024700.1
OG0002030	Solyc12T000610.1, Solyc12T000607.1, Solyc12T002478.1	Prupe.8G167400.1, Prupe.I003800.1, Prupe.I004000.1, Prupe.8G167700.1, Prupe.8G167500.1
OG0002031	Solyc04T001859.1	Prupe.6G186700.1
OG0002034	Solyc06T002195.1	Prupe.1G189800.1
OG0002035	Solyc08T001695.1, Solyc08T000103.1	Prupe.1G521400.1
OG0002035	Solyc12T002574.1	Prupe.6G192100.1
OG0002036	Solyc03T003208.1	Prupe.5G224500.1, Prupe.5G224600.1
OG0002039	Solyc05T002710.1	Prupe.2G221800.1
OG0002040	Solyc11T002010.1, Solyc01T003283.1, Solyc11T001701.1	Prupe.1G210900.1
OG0002042	Solyc03T000366.1	Prupe.2G295800.1, Prupe.2G295700.1
OG0002043	Solyc01T002541.1	Prupe.1G551700.1, Prupe.2G113900.1
OG0002044	Solyc10T001506.1, Solyc03T002467.1	Prupe.8G134300.1
OG0002045	Solyc01T003237.1	Prupe.6G326400.1
OG0002046	PRAM_36921.1.p1	Prupe.1G319600.1
OG0002046	Solyc03T003183.1	Prupe.5G227100.1
OG0002049	Solyc02T000454.1, Solyc01T003422.2	Prupe.6G307400.1
OG0002051	Solyc05T000499.1	Prupe.1G304900.1
OG0002052	Solyc07T000303.1	Prupe.2G300000.1
OG0002053	Solyc03T003448.1	Prupe.3G049500.1
OG0002053	Solyc07T001286.1	Prupe.7G209300.1
OG0002054	Solyc11T002086.1	Prupe.6G109700.1, Prupe.2G208100.1
OG0002055	Solyc09T002574.3, Solyc03T000062.1	Prupe.1G045700.1
OG0002056	Solyc02T002217.2	Prupe.3G148800.1
OG0002056	Solyc05T000383.2	Prupe.1G317400.1
OG0002057	Solyc01T003376.1	Prupe.6G312700.1
OG0002058	Solyc04T001303.1, Solyc05T002768.1	Prupe.3G035400.1, Prupe.4G233300.1
OG0002058	Solyc11T000900.1, Solyc06T001566.1	Prupe.8G057600.1
OG0002059	Solyc01T003274.1	Prupe.6G322800.1
OG0002060	Solyc03T003044.1, Solyc06T001776.1	Prupe.3G103700.1
OG0002060	Solyc07T000106.1	Prupe.1G102300.1
OG0002061	Solyc09T000837.1	Prupe.2G216800.1
OG0002062	Solyc02T002485.1	Prupe.3G247200.1
OG0002063	Solyc07T000321.1	Prupe.7G245500.1, Prupe.7G245600.1
OG0002063	Solyc11T002416.1, Solyc06T002231.1	Prupe.3G086200.1
OG0002064	Solyc02T001566.1	Prupe.3G136700.1, Prupe.7G086900.1, Prupe.8G026200.1, Prupe.3G136900.1
OG0002065	Solyc07T002793.1, Solyc03T003475.1	Prupe.1G191700.1
OG0002066	Solyc03T003566.1, Solyc06T001454.1	Prupe.3G030300.1
OG0002067	Solyc06T002473.1, Solyc06T000063.1	Prupe.6G071600.1
OG0002067	Solyc04T000443.1	Prupe.2G238500.1
OG0002068	Solyc08T000022.1, Solyc04T002754.1, Solyc03T003502.1, Solyc03T002885.1	Prupe.6G022700.1
OG0002069	Solyc07T002449.1	Prupe.4G168000.1
OG0002069	Solyc10T000065.1	Prupe.4G143900.1
OG0002070	Solyc07T000162.1	Prupe.7G059800.1, Prupe.1G197600.1
OG0002072	Solyc10T000226.1, Solyc12T000670.1	Prupe.4G168400.1, Prupe.4G168200.1
OG0002073	Solyc02T001713.1	Prupe.4G025000.1
OG0002073	Solyc10T000143.1, Solyc07T002583.1	Prupe.4G205300.1
OG0002076	Solyc07T001901.1, Solyc02T000174.1	Prupe.3G214800.1
OG0002076	Solyc02T000531.1, Solyc02T001752.1	Prupe.4G017600.1
OG0002077	Solyc03T003412.1	Prupe.3G053700.1
OG0002077	Solyc12T000280.1	Prupe.7G215300.1
OG0002078	Solyc10T002297.1	Prupe.7G068900.1
OG0002079	Solyc07T002034.1	Prupe.3G227400.1, Prupe.3G227200.1
OG0002079	Solyc10T000174.1, Solyc07T002551.1	Prupe.4G033700.1
OG0002080	Solyc07T002164.1	Prupe.3G233300.1
OG0002081	Solyc05T001639.1, Solyc12T000273.1	Prupe.3G056700.1, Prupe.7G216900.1
OG0002082	Solyc03T002391.1	Prupe.5G154800.1, Prupe.3G006400.1
OG0002082	Solyc02T002904.1	Prupe.3G301300.1
OG0002083	Solyc03T000098.1, Solyc02T001358.1	Prupe.4G068200.1
OG0002083	Solyc07T002417.1	Prupe.4G158400.1
OG0002084	Solyc08T000120.1, Solyc08T000119.1, Solyc08T000176.1	Prupe.1G461800.1, Prupe.1G461700.1
OG0002085	Solyc10T000202.1, Solyc12T000621.1, Solyc07T002493.1	Prupe.4G180700.1
OG0002086	Solyc12T002610.1, Solyc12T000892.3, Solyc08T000475.1	Prupe.7G269500.1
OG0002087	Solyc02T001872.1	Prupe.4G125900.1, Prupe.4G120000.1
OG0002088	Solyc06T002442.3, Solyc11T002061.1	Prupe.6G079100.1
OG0002089	Solyc02T001379.1, Solyc02T001378.1, Solyc12T000502.1	Prupe.3G113400.1
OG0002089	Solyc07T002233.1	Prupe.4G066000.1
OG0002090	Solyc02T002073.1	Prupe.7G164600.1
OG0002091	Solyc01T001526.1, Solyc12T001694.1, Solyc02T001859.1, Solyc09T002475.1, Solyc06T001143.1	Prupe.1G030600.1, Prupe.6G345200.1
OG0002092	Solyc12T000769.1, Solyc07T002772.1	Prupe.6G033900.1, Prupe.3G137300.1
OG0002093	Solyc05T000043.1	Prupe.1G253500.1, Prupe.3G284300.1, Prupe.3G284600.1, Prupe.3G284400.1, Prupe.3G284500.1, Prupe.3G284800.1, Prupe.3G284900.1, Prupe.3G284700.1
OG0002094	Solyc02T000380.1, Solyc01T002312.1, Solyc12T000751.1	Prupe.6G026800.1
OG0002094	Solyc07T000199.1	Prupe.1G071900.1
OG0002095	Solyc02T001784.1	Prupe.3G014600.1
OG0002096	Solyc06T002252.1, Solyc01T000352.1, Solyc01T000353.1, Solyc11T002454.1	Prupe.6G145500.1
OG0002098	Solyc02T001226.1	Prupe.4G081400.1
OG0002099	Solyc12T002458.1, Solyc04T002810.1	Prupe.1G378500.1
OG0002100	Solyc09T001563.2, Solyc06T000173.3	Prupe.1G161000.1, Prupe.1G160800.1, Prupe.8G199600.1
OG0002101	Solyc03T000144.1, Solyc03T000143.1	Prupe.5G045200.1, Prupe.5G045500.1
OG0002102	Solyc06T001798.1, Solyc12T001860.1	Prupe.5G139900.1
OG0002103	Solyc12T000715.1, Solyc07T002675.1	Prupe.4G228400.1
OG0002104	Solyc03T000136.1, Solyc02T001531.1	Prupe.4G050800.1
OG0002105	Solyc02T001360.1, Solyc03T000099.1	Prupe.4G068100.1
OG0002106	Solyc12T000063.1, Solyc12T000064.1	Prupe.1G212200.1, Prupe.1G212100.1
OG0002107	Solyc04T000217.2	Prupe.1G331900.1
OG0002107	Solyc05T002238.1, Solyc11T000478.1	Prupe.3G017500.1
OG0002108	Solyc05T000324.1	Prupe.5G230700.1, Prupe.5G230800.1, Prupe.1G323400.1, Prupe.3G158700.1
OG0002108	Solyc08T000084.1, Solyc12T002564.3, Solyc08T002539.1	Prupe.2G192100.1
OG0002109	Solyc02T002394.1, Solyc02T000978.1	Prupe.3G264900.1
OG0002109	Solyc04T000069.1, Solyc05T000271.1	Prupe.1G277100.1
OG0002110	Solyc06T002125.1, Solyc03T002161.1	Prupe.4G144200.1
OG0002110	Solyc08T000020.1, Solyc08T001941.1	Prupe.5G031100.1
OG0002111	Solyc02T001900.1	Prupe.7G186400.1, Prupe.7G186500.1
OG0002112	Solyc09T000510.4	Prupe.8G068900.1
OG0002113	Solyc08T000621.1	Prupe.1G336700.1
OG0002113	Solyc01T000016.1	Prupe.1G336800.1
OG0002114	Solyc02T001742.1	Prupe.4G019400.1
OG0002114	Solyc12T000237.1	Prupe.7G224600.1
OG0002115	Solyc05T000739.1	Prupe.1G280400.1
OG0002116	Solyc02T001682.1	Prupe.4G030700.1
OG0002116	Solyc10T000160.1, PRAM_80945.1.p1	Prupe.4G197200.1
OG0002117	Solyc12T000341.1, Solyc07T001534.1, Solyc05T001596.1	Prupe.7G192900.1
OG0002118	Solyc06T002007.1, Solyc05T000786.1	Prupe.1G248000.1, Prupe.5G168100.1
OG0002119	Solyc11T002500.1	Prupe.6G094600.1
OG0002119	Solyc09T000135.1	Prupe.6G240800.1
OG0002120	Solyc09T002040.1, Solyc06T000243.1	Prupe.6G345100.1, Prupe.8G230700.1
OG0002121	Solyc04T002311.1	Prupe.1G516900.1
OG0002122	Solyc03T001610.1, Solyc05T002407.1	Prupe.2G241900.1
OG0002122	Solyc06T000075.1, Solyc06T002484.1	Prupe.6G068000.1
OG0002123	Solyc03T000629.1, Solyc02T000753.1, Solyc01T004154.1	Prupe.8G095700.1
OG0002124	Solyc12T000264.1	Prupe.4G196100.1, Prupe.7G218400.1
OG0002125	Solyc02T000944.1, Solyc02T002473.2	Prupe.1G213500.1, Prupe.3G248900.1
OG0002126	Solyc08T001135.1, Solyc06T001634.1	Prupe.1G394900.1, Prupe.1G402200.1
OG0002126	Solyc01T001788.1, Solyc03T003517.1, Solyc06T001439.1	Prupe.3G038900.1
OG0002127	Solyc03T000087.1	Prupe.4G072000.1
OG0002128	Solyc06T002609.1, Solyc03T000456.1	Prupe.4G030500.1
OG0002129	Solyc08T000873.1	Prupe.4G085600.1
OG0002131	Solyc03T002693.1	Prupe.4G276200.1, Prupe.1G346400.1, Prupe.1G346500.1
OG0002132	Solyc07T001414.1	Prupe.1G406400.1
OG0002132	Solyc08T001226.1, Solyc06T001525.1	Prupe.3G043200.1
OG0002133	Solyc11T002377.1, Solyc11T002383.1, Solyc11T002381.1	Prupe.3G263600.1
OG0002134	Solyc08T000575.1, Solyc06T001587.1, Solyc09T001406.1	Prupe.3G177000.1, Prupe.4G079200.1
OG0002135	Solyc02T000947.1, Solyc02T002464.1	Prupe.3G250000.1
OG0002136	Solyc03T002701.1	Prupe.5G214700.1, Prupe.6G096100.1, Prupe.6G096400.1, Prupe.6G097300.1
OG0002137	Solyc04T002039.1	Prupe.8G019600.1, Prupe.8G019500.1
OG0002138	Solyc05T002397.1	Prupe.2G249300.1
OG0002139	Solyc02T002504.1, Solyc02T002505.1	Prupe.3G243500.1
OG0002141	Solyc01T003673.1	Prupe.1G564000.1
OG0002143	Solyc09T000598.1	Prupe.6G268200.1, Prupe.2G244400.1
OG0002144	Solyc02T001323.1, Solyc03T000088.1, Solyc02T001321.1	Prupe.4G071100.1
OG0002145	Solyc05T002359.1, Solyc12T001467.1	Prupe.1G346300.1, Prupe.6G047400.1, Prupe.6G047500.1, Prupe.6G047600.1, Prupe.4G074200.1, Prupe.2G029000.1
OG0002146	Solyc04T002821.1	Prupe.1G376900.1
OG0002146	Solyc02T000744.1, Solyc02T002118.1	Prupe.7G157500.1
OG0002147	Solyc03T000792.1, Solyc02T002836.1, Solyc02T000879.1	Prupe.6G231700.1
OG0002148	Solyc05T000563.1, Solyc04T000100.1	Prupe.1G299300.1
OG0002148	Solyc02T002497.1	Prupe.3G244900.1
OG0002149	Solyc02T001932.1, Solyc03T000529.1	Prupe.7G182800.1, Prupe.7G182700.1
OG0002150	Solyc03T000532.1	Prupe.8G178100.1, Prupe.7G181000.1
OG0002151	Solyc02T002802.1	Prupe.6G225900.1
OG0002152	Solyc05T000262.1	Prupe.1G275000.1
OG0002153	Solyc08T002069.1, Solyc06T001358.1	Prupe.5G057900.1
OG0002154	Solyc03T002267.1	Prupe.3G231900.1, Prupe.5G240800.1
OG0002155	Solyc06T001111.1, Solyc08T000436.1	Prupe.1G185700.1
OG0002156	Solyc04T002015.1	Prupe.8G016100.1
OG0002156	Solyc03T002272.1	Prupe.5G240000.1
OG0002157	Solyc01T000565.1, Solyc05T000153.1	Prupe.5G182500.1, Prupe.1G263000.1
OG0002158	Solyc08T000014.1	Prupe.5G033100.1
OG0002159	Solyc01T002275.1	Prupe.2G102400.1, Prupe.2G102300.1
OG0002159	Solyc08T000090.1, Solyc08T001734.1	Prupe.5G018500.1
OG0002160	Solyc07T000862.7, Solyc09T000986.1	Prupe.8G151300.1
OG0002161	Solyc08T000008.1, Solyc08T001975.1	Prupe.5G035400.1
OG0002162	Solyc01T003428.1	Prupe.1G108300.1
OG0002162	Solyc04T000879.1, Solyc05T000015.1	Prupe.1G250100.1
OG0002163	Solyc05T000001.1, Solyc01T000220.1	Prupe.1G248400.1
OG0002164	Solyc05T000231.1	Prupe.1G272400.1
OG0002164	Solyc03T002911.1	Prupe.5G190000.1
OG0002165	Solyc08T001937.1, Solyc08T000023.1, Solyc11T002149.1, Solyc06T001401.1	Prupe.5G030000.1
OG0002166	Solyc06T001878.1, Solyc03T002755.1	Prupe.5G208600.1
OG0002166	Solyc05T000642.1	Prupe.1G290800.1
OG0002167	Solyc10T001039.3, Solyc01T003551.1	Prupe.1G581100.1
OG0002168	Solyc02T000929.1	Prupe.7G148300.1
OG0002169	Solyc01T003221.1	Prupe.6G329000.1
OG0002170	Solyc07T000952.1	Prupe.7G211600.1
OG0002171	Solyc03T000524.1, Solyc02T001918.1, Solyc02T001919.1, Solyc02T000638.1	Prupe.8G179700.1, Prupe.7G183800.1
OG0002172	Solyc03T002569.1	Prupe.6G093200.1, Prupe.5G229500.1, Prupe.5G188400.1
OG0002173	Solyc09T002223.1, Solyc03T000189.1	Prupe.2G286000.1, Prupe.2G285900.1, Prupe.2G286100.1, Prupe.5G086600.1
OG0002174	Solyc04T000181.1	Prupe.1G323000.1
OG0002174	Solyc02T002660.1, Solyc03T000713.1	Prupe.3G152300.1
