Orthogroup	Brassica_napus	Prunus_persica
OG0001604	CDY32135, CDY31125, CDX95031, CDX93535	Prupe.7G018400.1
OG0001605	CDX85556, CDX91000	Prupe.3G152900.1, Prupe.3G157700.1, Prupe.3G153500.1, Prupe.3G267100.1
OG0001606	CDY09208, CDY57394, CDY01976, CDY11459, CDY18299, CDY59512, CDY32698, CDY60016, CDY32981, CDY09207	Prupe.6G050700.1
OG0001607	CDX94536, CDY16689	Prupe.4G013000.1
OG0001607	CDY29816, CDY25408	Prupe.4G222700.1
OG0001608	CDY20808	Prupe.7G175500.1
OG0001608	CDY06701, CDY10270	Prupe.5G103800.1, Prupe.6G062800.1
OG0001608	CDX75526	Prupe.6G062700.1
OG0001609	CDY21033, CDY31240, CDY53347, CDY64848, CDY32208	Prupe.5G073200.1
OG0001610	CDX80081, CDY37786	Prupe.3G004900.1
OG0001612	CDY19372, CDX97990, CDY50175, CDY21094, CDX83565, CDX99751, CDY40976, CDY13594	Prupe.5G220600.1, Prupe.1G309700.1
OG0001617	CDY20591, CDY20975, CDY54579, CDY33318, CDY54581, CDY44833, CDY12877, CDY46194, CDY19334, CDX97925, CDY03773	Prupe.1G573600.1
OG0001618	CDY60110, CDY53595, CDY07017, CDX93254, CDX93253, CDY07018, CDX93252	Prupe.2G233800.1, Prupe.2G233900.1, Prupe.2G233700.1
OG0001619	CDX87522, CDX88364, CDX88365	Prupe.1G491100.1, Prupe.1G491200.1, Prupe.1G491000.1, Prupe.1G491300.1
OG0001619	CDY21569, CDX69918, CDX81121, CDX78353, CDY31348, CDY39844	Prupe.4G277700.1
OG0001633	CDX88612, CDY11879, CDY65175, CDY46482, CDX71463, CDY41002, CDY48995, CDX99716, CDY56372, CDY22003, CDY56374, CDX83611, CDY13625, CDY13626, CDY71300, CDY65177	Prupe.1G242300.1, Prupe.1G242400.1
OG0001638	CDX83396, CDY27391, CDX95635	Prupe.2G139300.1, Prupe.2G139500.1, Prupe.2G139000.1, Prupe.5G072800.1
OG0001639	CDX93634, CDY20929, CDY35000, CDY39016, CDX82376	Prupe.1G114500.1, Prupe.3G146800.1, Prupe.5G112600.1
OG0001644	CDX74680	Prupe.2G021200.1, Prupe.2G121500.1, Prupe.3G154900.1, Prupe.3G154300.1, Prupe.3G154100.1, Prupe.3G142200.1, Prupe.2G107700.1, Prupe.3G155100.1, Prupe.1G407000.1, Prupe.7G203800.1
OG0001646	CDY02901	Prupe.1G188900.1
OG0001661	CDX82599, CDY64825, CDY61862, CDX80750, CDY64827, CDY64826, CDX82597, CDX90004, CDY15205	Prupe.2G200300.1, Prupe.2G200400.1
OG0001662	CDX92332, CDY26961	Prupe.7G121300.1, Prupe.6G116000.1
OG0001664	CDY01034, CDY08514, CDY62471, CDX73869, CDY00740	Prupe.8G014400.1, Prupe.7G101300.1
OG0001665	CDY44634, CDX74861	Prupe.2G220900.1
OG0001665	CDY46767, CDY63499, CDX79727, CDY18459, CDY55438, CDY70087	Prupe.6G244100.1
OG0001666	CDY07697, CDY07535, CDX67603	Prupe.8G233200.1
OG0001666	CDY21851	Prupe.1G472200.1, Prupe.7G236800.1
OG0001667	CDY48913, CDY65355	Prupe.5G105400.1, Prupe.2G175100.1
OG0001668	CDY01043, CDY08506, CDY40419, CDY32068, CDY29084, CDY69198, CDY68967, CDX90600, CDY72430, CDX95339	Prupe.7G097100.1
OG0001669	CDX86608, CDX84731	Prupe.8G204500.1, Prupe.4G108800.1, Prupe.1G003400.1
OG0001670	CDY17113	Prupe.2G317800.1, Prupe.5G132100.1
OG0001670	CDX70277, CDY41427, CDY69711, CDX80897, CDY11278, CDY60165, CDY00905, CDY22216	Prupe.7G109500.1
OG0001671	CDY15517	Prupe.1G060900.1
OG0001671	CDY05305, CDY33938, CDY05655	Prupe.8G206800.1
OG0001672	CDY42133, CDY08447, CDY50568, CDY52622, CDY00758, CDX73833	Prupe.7G071600.1
OG0001672	CDY54519	Prupe.2G009000.1
OG0001674	CDY49191, CDY47345, CDY49885, CDY45375	Prupe.2G158500.1, Prupe.2G158600.1, Prupe.2G158800.1, Prupe.2G158700.1, Prupe.5G094600.1
OG0001675	CDY36448, CDY36439, CDY23300, CDY67280, CDY68019	Prupe.1G459900.1
OG0001676	CDY22717, CDY06282	Prupe.6G090100.1
OG0001676	CDY10423, CDY55687	Prupe.2G221400.1, Prupe.6G244400.1
OG0001678	CDY35204, CDY38373	Prupe.8G215300.1
OG0001678	CDX97498, CDY31136	Prupe.6G352100.1
OG0001679	CDY18169, CDX89894, CDX89895	Prupe.8G249300.1
OG0001679	CDY17553, CDY48379, CDY41737, CDY64215	Prupe.6G332400.1
OG0001680	CDX89237, CDY19053, CDY46788, CDY43054, CDY43841, CDY14335, CDY28794, CDY41775	Prupe.2G321200.1
OG0001683	CDX83383, CDX95673	Prupe.2G172900.1
OG0001685	CDY66568, CDY00894, CDX80880, CDY44377, CDY04891	Prupe.7G114000.1, Prupe.2G081000.1, Prupe.2G080200.1, Prupe.2G080500.1, Prupe.2G080800.1, Prupe.2G080100.1
OG0001687	CDY31533, CDY67417, CDY09194	Prupe.6G238100.1, Prupe.6G100700.1
OG0001688	CDX73609, CDX78120, CDX95368, CDY23232	Prupe.7G110700.1, Prupe.6G129600.1
OG0001689	CDY44353, CDY62893, CDY10391, CDY11246, CDX80859, CDX70316, CDY41584, CDY44732	Prupe.6G235200.1
OG0001690	CDX86321, CDX85318	Prupe.3G196200.1
OG0001691	CDY52291, CDY15092	Prupe.7G267500.1, Prupe.8G185400.1
OG0001692	CDX74746, CDY71616, CDY18916, CDY53881, CDY18924, CDY60682, CDY53882	Prupe.2G148500.1, Prupe.2G148700.1, Prupe.2G148600.1, Prupe.2G148400.1
OG0001694	CDY18444, CDX93378, CDX91365, CDX74958, CDX79734, CDY07788, CDX79735	Prupe.6G249600.1, Prupe.2G230600.1, Prupe.2G230500.1
OG0001695	CDY31415, CDX90031, CDY15178	Prupe.5G115700.1, Prupe.2G184500.1
OG0001696	CDY68110, CDY32777, CDY20720, CDY41810, CDY41552, CDX80042, CDX80044, CDY41553, CDX80043, CDY47748	Prupe.2G196400.1
OG0001698	CDX79630, CDX84595, CDY32083, CDY40430, CDY23207, CDX95332, CDX78083, CDX73642	Prupe.7G090200.1
OG0001699	CDX71698, CDY57871, CDY71495, CDX89135, CDY27309, CDY61720, CDX80036, CDY41546	Prupe.5G129900.1, Prupe.2G194200.1
OG0001701	CDX70004, CDX99011	Prupe.2G047600.1
OG0001702	CDX84310, CDY17256, CDY43669	Prupe.2G087000.1, Prupe.8G094900.1, Prupe.2G087700.1
OG0001704	CDY09292, CDY26384, CDX87802, CDY39417, CDY48624, CDX76481	Prupe.5G016300.1, Prupe.2G104800.1
OG0001705	CDX97534, CDY55213, CDY39086, CDY33260, CDY33081, CDY24062, CDY02475, CDY10614, CDY02474	Prupe.1G406300.1, Prupe.3G043400.1
OG0001707	CDY31180, CDX83269, CDY04502	Prupe.8G257100.1, Prupe.6G179600.1
OG0001708	CDY02597, CDY47188, CDX70854, CDX88908	Prupe.1G145600.1
OG0001709	CDY06591, CDY20772, CDY67493, CDY20154, CDY30114, CDX97708, CDY58465, CDX75846	Prupe.3G087400.1, Prupe.3G087500.1
OG0001711	CDX69408, CDY16966	Prupe.7G269100.1, Prupe.6G211500.1, Prupe.7G268600.1, Prupe.7G268800.1, Prupe.7G268700.1
OG0001712	CDX67903, CDY25117, CDX89148, CDX93962, CDX76661, CDY11447	Prupe.6G322300.1, Prupe.8G256500.1
OG0001713	CDY12082, CDX90273	Prupe.1G206700.1, Prupe.3G126900.1, Prupe.7G029900.1, Prupe.7G013600.1, Prupe.7G009500.1, Prupe.4G274900.1, Prupe.8G176900.1
OG0001715	CDX69914, CDY21573	Prupe.5G245600.1, Prupe.1G565000.1, Prupe.1G565700.1, Prupe.1G565500.1, Prupe.1G565800.1
OG0001716	CDY40423, CDY24982, CDX90241	Prupe.4G138900.1, Prupe.4G138700.1
OG0001718	CDY38503, CDY54053, CDY51237, CDX70805, CDY42903	Prupe.7G001000.1
OG0001719	CDY64844, CDX85800, CDY64845, CDY46811, CDY31314, CDY18706, CDX81228, CDY56489, CDY51292	Prupe.8G231400.1, Prupe.1G027800.1
OG0001720	CDY24640, CDY39557, CDY24639	Prupe.8G200200.1
OG0001721	CDX82802, CDY38303, CDY48965, CDY46408	Prupe.6G210800.1, Prupe.6G106700.1
OG0001723	CDX76296, CDX75453, CDX69078, CDY50760, CDY41904	Prupe.1G019500.1, Prupe.6G340700.1
OG0001724	CDY50785	Prupe.3G082200.1
OG0001724	CDX86203	Prupe.6G345600.1
OG0001725	CDY06183, CDY10006	Prupe.6G362400.1, Prupe.8G245700.1, Prupe.1G177600.1
OG0001726	CDX81462, CDY37223, CDY50369	Prupe.8G142300.1, Prupe.6G222500.1
OG0001728	CDY40714, CDX74142, CDY27761, CDY05176, CDY18801, CDY18782	Prupe.6G320300.1
OG0001730	CDY07659, CDY24971, CDX93276, CDY06996, CDX77586, CDX67621, CDY07505, CDX73415, CDY51439, CDY02903, CDX76125	Prupe.2G221600.1
OG0001731	CDY39663, CDY36572, CDX81720, CDY68965, CDY38661, CDY37589, CDY39986, CDX87302	Prupe.3G075600.1, Prupe.2G061700.1, Prupe.7G235400.1
OG0001732	CDY39955, CDX87331, CDY53220, CDY66129, CDX67958, CDX79362	Prupe.1G558700.1, Prupe.5G049100.1, Prupe.7G019500.1
OG0001733	CDX96055, CDY04197, CDY07406, CDY12683, CDY68725, CDY12088, CDX90281, CDY14443	Prupe.7G263800.1
OG0001736	CDX75258, CDX68865, CDY23333, CDY51672	Prupe.1G467000.1
OG0001736	CDY38666, CDY37594	Prupe.3G074400.1
OG0001737	CDY68782, CDY06387, CDY19597, CDY57915, CDY29623, CDY35571, CDY72251, CDY72154	Prupe.6G023000.1
OG0001738	CDX96645, CDY54328, CDY29363, CDY51327, CDY31899, CDY01384, CDX73218, CDX87646	Prupe.8G168500.1
OG0001739	CDY54475, CDY52415, CDY52414, CDX71197, CDY49382, CDX72437	Prupe.8G141000.1
OG0001740	CDX72245, CDY39682, CDY65185	Prupe.1G099700.1, Prupe.8G039000.1
OG0001741	CDY56916, CDY51451	Prupe.3G053800.1
OG0001741	CDX97140, CDX97139, CDX97141, CDX69735	Prupe.1G415400.1
OG0001742	CDX98325, CDX67762, CDX89001, CDY00584, CDY49248, CDX71929	Prupe.3G169600.1
OG0001743	CDY30462, CDY23425, CDX95597, CDX83433	Prupe.2G001300.1, Prupe.8G213300.1
OG0001745	CDY24092, CDY45116	Prupe.1G458500.1
OG0001745	CDY40003, CDY35137	Prupe.3G170800.1, Prupe.4G155800.1
OG0001746	CDY22383, CDX71516	Prupe.1G378700.1
OG0001746	CDX81390, CDX81389, CDY18610, CDY45239, CDY30767	Prupe.7G155200.1
OG0001747	CDY48205, CDX90886, CDY48560, CDY21965	Prupe.3G235200.1
OG0001748	CDY69920, CDY46379	Prupe.4G034600.1, Prupe.3G228300.1
OG0001749	CDX91135, CDX85659, CDY09781, CDX69652	Prupe.1G216900.1
OG0001749	CDY06621, CDY20797, CDX70538, CDX78557	Prupe.3G312900.1
OG0001751	CDY29628, CDY65471, CDY03629, CDY66973, CDY01220	Prupe.7G066100.1, Prupe.4G248800.1, Prupe.4G250300.1
OG0001752	CDY52953, CDY46544, CDX87836, CDY43923, CDY48879, CDY32420, CDY56923, CDY51457, CDY69021, CDY37299	Prupe.3G052300.1
OG0001753	CDY57485, CDY57791, CDY06313, CDY22684, CDX97481, CDY31148	Prupe.6G145800.1
OG0001754	CDX95126, CDX71059, CDX88738	Prupe.6G087100.1, Prupe.6G246900.1
OG0001755	CDY05500, CDY54900	Prupe.1G465000.1
OG0001755	CDX71021, CDX88777, CDY26969, CDY50333	Prupe.7G126100.1
OG0001756	CDY30818	Prupe.4G172300.1, Prupe.4G055200.1
OG0001758	CDY09169, CDY50286	Prupe.6G116500.1
OG0001759	CDY51108, CDX85729	Prupe.1G483300.1
OG0001759	CDY47278, CDY10116	Prupe.7G250200.1
OG0001760	CDY36432, CDY23304, CDY60852, CDX68763, CDX72310, CDY13441, CDY20325, CDY45583	Prupe.1G459100.1, Prupe.1G071400.1
OG0001761	CDX79379, CDX67953, CDX67954, CDX79374	Prupe.7G257000.1, Prupe.3G093500.1
OG0001762	CDX99359, CDY09329, CDX76472, CDY65933, CDY26395, CDY39416, CDX82583	Prupe.4G137700.1, Prupe.4G137800.1
OG0001763	CDY59800, CDY10037, CDY49518	Prupe.3G219700.1
OG0001764	CDY27925, CDY17214, CDY62768	Prupe.4G057000.1
OG0001765	CDY52419, CDY54470	Prupe.6G226100.1, Prupe.8G137900.1
OG0001766	CDY35358, CDX76980	Prupe.7G244300.1, Prupe.1G480700.1
OG0001767	CDY06292, CDY22707, CDY32814, CDY58827, CDX93601, CDX95104	Prupe.6G102600.1
OG0001768	CDY14791, CDY06902, CDX79907, CDY48768	Prupe.2G014800.1, Prupe.7G063900.1, Prupe.8G218900.1
OG0001769	CDX88560, CDX87360, CDY35066, CDY33356	Prupe.3G104100.1, Prupe.1G101600.1
OG0001770	CDY64520, CDX71000, CDX79872, CDY35379, CDY22561	Prupe.3G125500.1
OG0001770	CDX98266, CDX71974, CDY06053, CDY56238	Prupe.6G282200.1
OG0001772	CDY22282, CDY25343	Prupe.4G124200.1
OG0001773	CDX80265	Prupe.6G073300.1, Prupe.6G073400.1, Prupe.6G073700.1, Prupe.6G073800.1, Prupe.I004400.1, Prupe.I004500.1, Prupe.6G073500.1, Prupe.6G073600.1
OG0001774	CDY38765, CDY11649	Prupe.5G186000.1, Prupe.1G267500.1
OG0001776	CDX76935, CDY13771, CDY25585, CDX89451	Prupe.6G187700.1, Prupe.8G060300.1
OG0001778	CDX84812, CDY23977	Prupe.4G079100.1, Prupe.3G176500.1
OG0001779	CDX85773, CDY40084, CDX69385, CDY13774, CDX76938, CDX89446, CDY25580	Prupe.6G180500.1
OG0001781	CDY43156, CDY28732	Prupe.2G326600.1, Prupe.5G027500.1, Prupe.5G027700.1
OG0001782	CDY08815, CDY14544	Prupe.6G182400.1
OG0001782	CDX72676, CDY22393, CDY39454, CDX90361	Prupe.1G513800.1
OG0001783	CDX91343, CDX74980	Prupe.6G236400.1
OG0001783	CDY30491, CDX77175	Prupe.6G102400.1
OG0001784	CDY33211, CDX75000, CDY33212, CDX74999	Prupe.6G108000.1, Prupe.6G233600.1, Prupe.6G233400.1, Prupe.6G233100.1, Prupe.6G233200.1, Prupe.6G233300.1, Prupe.6G233500.1
OG0001785	CDY54941, CDY28406	Prupe.8G060100.1, Prupe.1G517700.1
OG0001786	CDY03623, CDY58940, CDY22956, CDX82280, CDY24617, CDY33416, CDY51692, CDY42205	Prupe.1G346100.1, Prupe.5G019300.1, Prupe.3G165200.1
OG0001788	CDX98461, CDX97578, CDX82479, CDX75773, CDY39118, CDY70358, CDX97831, CDY66837	Prupe.4G149200.1
OG0001789	CDY69707, CDX80321, CDY02848, CDY32674, CDY32673, CDX71145, CDX88676	Prupe.4G048400.1
OG0001790	CDY35167, CDY69073, CDX87708, CDY43979, CDX90196, CDY35302, CDX94673, CDY44311, CDY48343, CDX99831	Prupe.4G073300.1
OG0001791	CDX91929, CDX74317	Prupe.1G233900.1, Prupe.3G300800.1
OG0001792	CDY32747, CDY02769, CDY51280, CDY50795, CDX88639, CDY11848	Prupe.7G050800.1, Prupe.1G098000.1
OG0001793	CDX96546, CDX73091, CDY47860, CDY36012, CDY58995, CDY66603, CDY26733, CDY64871	Prupe.1G561900.1, Prupe.8G031200.1
OG0001794	CDY31321, CDY46800	Prupe.8G074200.1
OG0001794	CDY69955	Prupe.1G539200.1, Prupe.1G539300.1
OG0001795	CDY53405, CDX73559, CDX92226, CDY24455, CDY18513, CDX95534	Prupe.1G314300.1, Prupe.2G085600.1, Prupe.5G223100.1
OG0001796	CDX67442, CDY65333	Prupe.1G265600.1, Prupe.3G272400.1
OG0001797	CDY27935, CDY17204, CDY57212, CDY37684	Prupe.4G177200.1, Prupe.1G223500.1
OG0001798	CDX97437, CDY14244, CDY18975, CDY49660, CDX92865, CDY29899	Prupe.3G140900.1
OG0001799	CDX84941, CDY27597, CDY03896, CDY15732, CDY36141	Prupe.1G233400.1, Prupe.2G103500.1, Prupe.3G006500.1, Prupe.5G154900.1
OG0001800	CDY32227, CDY34441	Prupe.1G371600.1
OG0001800	CDX90310, CDY71205, CDX99593, CDY15894	Prupe.8G088700.1
OG0001801	CDY12048, CDX90245, CDY02285, CDY09598	Prupe.4G085900.1, Prupe.3G182900.1
OG0001802	CDY34239, CDY55260	Prupe.8G237500.1, Prupe.1G018000.1, Prupe.1G017700.1
OG0001803	CDY68704, CDY35875, CDX81938	Prupe.7G212100.1
OG0001803	CDX97146, CDY61437, CDY70147	Prupe.1G413300.1
OG0001804	CDX77309, CDY41827, CDY61284, CDY67567, CDX95816, CDX92167	Prupe.5G235500.1
OG0001805	CDY48788, CDY53414	Prupe.4G173300.1, Prupe.4G054000.1, Prupe.4G054100.1, Prupe.4G054200.1, Prupe.5G016600.1
OG0001806	CDY45139, CDY30897, CDY00605, CDY72322, CDY70329	Prupe.7G199000.1, Prupe.1G403400.1
OG0001807	CDX82253, CDY36045, CDY22810, CDY37119, CDY37113	Prupe.3G209100.1, Prupe.4G222300.1
OG0001808	CDY34181, CDY28496, CDY35747, CDY00586, CDX84923, CDY27615	Prupe.1G226600.1, Prupe.3G306200.1
OG0001809	CDY39447, CDX77611, CDY60533, CDY23103	Prupe.3G113800.1
OG0001811	CDX74288, CDY28696, CDY69290, CDY69034, CDY70306, CDX70596, CDX78614, CDX69546, CDX85054	Prupe.3G269900.1
OG0001812	CDY56786, CDY03794, CDY19340, CDX97934, CDY20586, CDY20981	Prupe.3G233800.1, Prupe.4G040100.1
OG0001813	CDX79059, CDY63479	Prupe.6G308200.1, Prupe.1G162400.1, Prupe.6G308300.1, Prupe.4G245300.1, Prupe.7G010700.1, Prupe.6G185900.1, Prupe.2G140300.1, Prupe.8G128400.1, Prupe.1G509200.1, Prupe.1G168800.1, Prupe.3G103800.1, Prupe.1G189700.1
OG0001814	CDY11341, CDX80975, CDX98868, CDX70125, CDY08536, CDY01011, CDX73882, CDY00731	Prupe.2G244900.1
OG0001816	CDX74556, CDY01698, CDY36204, CDX96144	Prupe.1G323600.1, Prupe.3G158800.1
OG0001817	CDY08660	Prupe.8G116900.1, Prupe.8G116800.1, Prupe.8G117000.1, Prupe.1G441800.1, Prupe.1G390400.1
OG0001818	CDX71311, CDY31404	Prupe.2G218100.1
OG0001819	CDX76672	Prupe.6G167600.1
OG0001819	CDX91311, CDY58145, CDY53463, CDY21912, CDY70496, CDY22074, CDY21909, CDX76671, CDY11457, CDY10535	Prupe.8G239200.1
OG0001820	CDY45016, CDY49322, CDX68888, CDX75282, CDX72371, CDY13501	Prupe.1G451300.1
OG0001821	CDY07072, CDX93203, CDX76063, CDY43340, CDY66807, CDX72177	Prupe.6G052400.1, Prupe.2G254500.1
OG0001822	CDY64500, CDY65120, CDX90479, CDY09634, CDY40085, CDX77767, CDY59298	Prupe.5G067500.1, Prupe.5G067200.1
OG0001823	CDY29935, CDY59205, CDY35543	Prupe.5G023600.1, Prupe.5G022800.1, Prupe.5G023200.1, Prupe.5G022900.1, Prupe.5G023000.1, Prupe.5G023400.1
OG0001824	CDY26816, CDY30357, CDY07838, CDY29184	Prupe.8G177900.1, Prupe.7G180800.1
OG0001825	CDY22367, CDX71501	Prupe.1G426800.1
OG0001825	CDY57356, CDY30609, CDX68564, CDX83107	Prupe.6G225700.1
OG0001826	CDY30361, CDY26812, CDY20805, CDY24342, CDY57767, CDY55102, CDY18579, CDX81425, CDY57768	Prupe.7G185200.1
OG0001827	CDY21809, CDX77890	Prupe.5G179700.1, Prupe.5G179800.1, Prupe.3G277000.1
OG0001828	CDY39073	Prupe.1G361400.1, Prupe.7G172700.1, Prupe.2G100400.1, Prupe.2G099500.1, Prupe.8G166100.1
OG0001831	CDY64186, CDX90804, CDX86761, CDY59386	Prupe.5G093200.1
OG0001831	CDY67248, CDY00246, CDX86938	Prupe.2G292100.1
OG0001832	CDY68677, CDY46073, CDY38944, CDX89573	Prupe.1G386400.1, Prupe.7G145100.1, Prupe.5G021600.1
OG0001833	CDY59350, CDY16146	Prupe.1G301200.1
OG0001833	CDY01653, CDX74517	Prupe.3G241800.1
OG0001834	CDY20637, CDY20944, CDY30900, CDY45143	Prupe.1G265500.1
OG0001834	CDX68447, CDX83026, CDY21803	Prupe.5G184900.1
OG0001835	CDX84361, CDY29871, CDX92855, CDX97408, CDY14262, CDX89215, CDY19015	Prupe.2G304300.1, Prupe.2G291700.1, Prupe.2G304200.1
OG0001836	CDX75617, CDX69268, CDY44054, CDY62342	Prupe.1G441200.1, Prupe.7G136300.1
OG0001837	CDY45231	Prupe.3G028800.1, Prupe.1G376300.1, Prupe.7G158000.1
OG0001838	CDY15048, CDX93079, CDY30580, CDY33395	Prupe.4G234600.1, Prupe.3G200500.1
OG0001839	CDY19364, CDX97957	Prupe.6G011600.1
OG0001839	CDX99400, CDX78915	Prupe.5G024100.1
OG0001840	CDY24770, CDY35476, CDX75592, CDX69240	Prupe.7G150700.1
OG0001841	CDX76553, CDX90438	Prupe.5G035200.1
OG0001842	CDX70319	Prupe.8G095400.1, Prupe.8G094800.1, Prupe.8G097000.1, Prupe.8G095000.1, Prupe.6G177700.1, Prupe.7G156500.1
OG0001843	CDX78327, CDX81087, CDY20605, CDY44762, CDY40759, CDY21521, CDX69966, CDY61916, CDY02209	Prupe.5G243200.1, Prupe.1G347300.1
OG0001844	CDX88245, CDX80596, CDX87030, CDY19754	Prupe.8G070800.1, Prupe.8G074400.1, Prupe.1G256800.1
OG0001845	CDY10261, CDY06691	Prupe.6G059000.1, Prupe.6G058900.1, Prupe.3G184400.1
OG0001846	CDY31512, CDY29493, CDY31857, CDY01346, CDX96612, CDY33659, CDX88289, CDY69754, CDY13393	Prupe.8G182600.1, Prupe.7G187900.1, Prupe.5G004500.1
OG0001847	CDX92478, CDY35822, CDX88846, CDY60377, CDY45099, CDY35823, CDX92479	Prupe.1G489400.1
OG0001849	CDX76735, CDY11505, CDY35321, CDY66493	Prupe.3G054300.1, Prupe.1G416000.1
OG0001850	CDY65646, CDY61698, CDY38802, CDY11606, CDY42998, CDY03759, CDX68349, CDY23506	Prupe.1G257800.1
OG0001851	CDY44046, CDY13540, CDY39057, CDY30303, CDY65245, CDY68406, CDX85912, CDY47499, CDX73193	Prupe.1G365600.1
OG0001852	CDX87276, CDY16749, CDX84377, CDY00348	Prupe.5G170800.1
OG0001852	CDY36849, CDY44566	Prupe.3G288100.1
OG0001853	CDY29870, CDX92852, CDY71485, CDY71170, CDX97406, CDY14263, CDX96208, CDY49175, CDY61587, CDY54340, CDY47066	Prupe.2G306400.1
OG0001854	CDX85476, CDY02736	Prupe.2G324700.1, Prupe.1G091200.1, Prupe.1G091000.1, Prupe.1G091100.1, Prupe.1G090500.1, Prupe.1G090400.1
OG0001855	CDY70490, CDY02413, CDY46692, CDX92808, CDX97359, CDY14304, CDX89317, CDX94303	Prupe.4G232600.1
OG0001856	CDX82254, CDY36047, CDY50089, CDY68401, CDY29817, CDY25409, CDY22809, CDY37123	Prupe.4G222600.1, Prupe.4G222500.1
OG0001857	CDY70046, CDY43857, CDY02816, CDY32704, CDX70006, CDX99009	Prupe.6G290400.1, Prupe.2G261600.1, Prupe.6G043700.1
OG0001858	CDX94072, CDX98723, CDX82892, CDX79117, CDY16659	Prupe.I005500.1, Prupe.4G019200.1, Prupe.4G216100.1
OG0001859	CDX97850, CDY29699, CDX84858, CDY24028, CDY02037, CDY10711	Prupe.6G051900.1, Prupe.6G282900.1
OG0001860	CDY29679, CDY54005, CDY54009, CDX84841, CDY24007	Prupe.1G108400.1, Prupe.1G103300.1, Prupe.3G073500.1, Prupe.1G106000.1, Prupe.6G043600.1, Prupe.6G045800.1, Prupe.1G103400.1
OG0001861	CDY13183, CDX76170, CDX67588, CDX73508, CDX78208	Prupe.6G269400.1
OG0001861	CDX80317	Prupe.6G063200.1
OG0001863	CDX74761, CDY18904	Prupe.2G156500.1, Prupe.2G290800.1
OG0001864	CDY70688, CDY61438	Prupe.1G413900.1
OG0001864	CDY32881, CDY32761, CDX88587, CDY11905	Prupe.7G213100.1
OG0001865	CDX70333, CDY10410, CDX80849, CDY11238, CDY55696, CDY04876	Prupe.2G217600.1, Prupe.6G239700.1
OG0001867	CDX93517, CDX94991, CDY42364, CDY39002, CDY17383, CDY28616, CDY64985, CDY06526, CDY11321, CDX80931, CDX98807, CDX70180	Prupe.6G313000.1
OG0001868	CDY28660	Prupe.3G315400.1
OG0001868	CDY24290, CDX92935, CDY24299, CDY10629, CDY37401, CDY39511, CDY46333	Prupe.3G187500.1
OG0001869	CDY22047, CDY50389, CDX91326, CDY55368, CDX80654, CDY47494, CDY47495, CDY09939, CDX82140, CDY49857, CDX69552, CDY59596	Prupe.8G262300.1
OG0001870	CDY44967, CDY01224, CDY01227, CDX93794, CDY01229	Prupe.7G026400.1, Prupe.7G026300.1
OG0001872	CDY28537, CDY48982, CDX82498, CDX75748, CDY13647, CDX83633	Prupe.3G018800.1, Prupe.2G014200.1, Prupe.2G290000.1
OG0001873	CDY52058	Prupe.3G205800.1
OG0001874	CDX70689, CDX78686, CDY39074, CDY62984	Prupe.3G011300.1, Prupe.3G011200.1
OG0001875	CDX78950, CDX99355, CDX76469, CDY38554	Prupe.4G107300.1
OG0001875	CDX77555, CDY49551, CDX98245, CDY02374	Prupe.3G178700.1
OG0001876	CDX84744, CDY65454, CDY12222, CDY48279, CDY10032, CDY59794	Prupe.3G185600.1
OG0001876	CDY47795, CDY22937, CDY06500	Prupe.4G116200.1
OG0001877	CDX79148	Prupe.4G011700.1
OG0001878	CDX82035, CDY13813	Prupe.8G091000.1
OG0001880	CDY26398, CDY39410, CDX82577, CDY36698, CDX99350, CDX78955	Prupe.4G107500.1, Prupe.4G107800.1, Prupe.3G178800.1
OG0001883	CDX99515, CDX86887	Prupe.1G101100.1
OG0001884	CDY37191, CDY52777, CDY45169, CDY03003, CDY53941, CDY33788, CDY16122, CDY62213, CDX96873, CDY36419, CDX98138	Prupe.1G280700.1, Prupe.3G262100.1
OG0001885	CDX74637, CDY47293, CDY25961, CDY41054, CDY28924, CDY40560, CDY42977, CDY35584	Prupe.4G008600.1
OG0001886	CDY51885, CDX78959	Prupe.4G107600.1, Prupe.4G107700.1, Prupe.4G110500.1
OG0001886	CDY51884	Prupe.8G030100.1, Prupe.8G030200.1, Prupe.8G030000.1, Prupe.8G029800.1, Prupe.3G082500.1, Prupe.6G223700.1
OG0001887	CDY02924, CDX76111	Prupe.2G228100.1
OG0001888	CDY05659, CDY33942, CDY66053, CDX85369, CDY71938, CDY00043	Prupe.8G204700.1, Prupe.1G061500.1
OG0001890	CDX87598, CDX88279, CDX87600, CDX88274, CDY45985, CDY72521, CDY31501, CDY29499, CDY31503, CDX88276, CDX82274, CDX85949, CDX68097, CDX87599	Prupe.5G006100.1
OG0001891	CDY35426, CDY22506, CDX79952, CDY23869, CDY47371, CDX76008, CDX72115, CDY32029, CDY68642, CDX76009	Prupe.7G038200.1, Prupe.2G041200.1
OG0001893	CDX74853, CDX76119, CDY02909, CDX69629, CDY09810	Prupe.2G224800.1
OG0001893	CDX73549, CDX93388, CDY18451	Prupe.6G246200.1
OG0001894	CDY30175, CDY46725, CDX93875, CDY51588, CDY46726, CDY30174, CDY30193, CDY26111, CDX72642, CDY03551, CDY14192, CDY30192, CDY30173, CDY63647, CDY26112, CDY46727	Prupe.1G078000.1
