Orthogroup	Brassica_napus	Solanum_lycopersicum
OG0001169	CDY29458, CDX99953, CDY39486, CDY29457	Solyc09T001212.1
OG0001170	CDY66773, CDY15844, CDX76943, CDY13777, CDX90353, CDY56636	Solyc03T002094.1, Solyc03T002105.1, Solyc03T002107.1, Solyc04T001847.1
OG0001171	CDX75568, CDX69218	Solyc02T002088.1
OG0001171	CDX81912, CDX81913, CDY21683, CDY41018	Solyc06T001998.1, Solyc01T003267.1
OG0001172	CDY26834, CDY30342, CDY29205, CDY07811, CDY24828, CDY34072, CDX72573, CDX69193, CDX75547	Solyc04T002911.1
OG0001173	CDY58059	Solyc10T000394.1
OG0001174	CDY70933, CDY46213, CDX71276, CDY41969, CDY42616, CDX90323	Solyc01T004150.1, Solyc10T001703.1, Solyc10T001702.1
OG0001175	CDY23596, CDY43995, CDX82541, CDX75707, CDY68850, CDY49392	Solyc01T001332.1, Solyc03T001285.1, Solyc11T000369.1, Solyc05T002687.1
OG0001176	CDY38147, CDY61901, CDY52796	Solyc01T004302.1
OG0001176	CDY63398, CDY20846, CDY38139	Solyc03T000571.1, Solyc02T002017.1
OG0001177	CDY66455, CDY65372, CDY70504, CDY53543, CDX81650	Solyc11T000931.1, Solyc11T000932.1, Solyc11T000928.1, Solyc11T000929.1
OG0001178	CDY45329	Solyc02T002053.1, Solyc04T002868.1, Solyc10T001840.1, Solyc10T001832.1, Solyc10T001835.1
OG0001179	CDX91809, CDY28601, CDY21183, CDY05408	Solyc03T001084.1
OG0001180	CDX85697, CDX91168, CDY63783, CDY44912, CDX92536, CDY13993, CDX69700, CDX97174, CDX70450, CDX78468	Solyc01T000298.1, Solyc11T001946.1, Solyc12T002797.1
OG0001181	CDX92181, CDX95799, CDX93681, CDY40594, CDX68222, CDY11100	Solyc03T003165.1, Solyc12T001799.1, Solyc06T001824.1
OG0001182	CDY31809	Solyc05T001645.1, Solyc05T001646.1
OG0001183	CDY17659, CDY36240, CDY48811, CDY09431, CDY09432, CDY48812, CDY04096	Solyc05T002240.1, Solyc11T000496.1, Solyc04T000212.1
OG0001184	CDY27839	Solyc03T000301.1, Solyc06T000727.1, Solyc07T002746.1, Solyc12T000755.1
OG0001186	CDY51252, CDY69555, CDY59884, CDY50111, CDY18093, CDY50112, CDY61573, CDY63752	Solyc09T001450.1, Solyc12T002694.1, Solyc09T002781.1
OG0001187	CDX72490, CDY45319, CDX75445, CDX69072, CDY31528, CDY17470, CDX76292	Solyc03T000600.1, Solyc10T001770.1, Solyc01T004174.1, Solyc04T002838.1
OG0001188	CDY20019	Solyc02T002353.1
OG0001188	CDY28689, CDX78606, CDX70589	Solyc01T000496.1, Solyc05T000203.2
OG0001189	CDY24381, CDY20844, CDY07815, CDY29202, CDX77984, CDX73738, CDY01133	Solyc02T002008.1, Solyc02T000697.1, Solyc02T000687.1, Solyc02T000701.1, Solyc01T004312.1
OG0001190	CDY08048, CDX74101	Solyc01T001498.2
OG0001190	CDY28671, CDX91943, CDX74304, CDX85591, CDX91036	PRAM_26263.1.p1, PRAM_26262.1.p1, Solyc12T001344.1
OG0001191	CDY56546, CDX81137, CDX85795, CDY40060, CDY40057, CDX85798, CDX69889, CDY21602, CDY21601, CDX69890	Solyc03T001522.1, Solyc03T001523.1, Solyc11T000071.1
OG0001192	CDY43664, CDX79568, CDX84639, CDY17268, CDX84301, CDX90230, CDY51470, CDX99884, CDY26288	Solyc08T000647.1, Solyc08T000637.1, Solyc08T000635.1, Solyc08T000634.1
OG0001194	CDY17194, CDY71924, CDY27950, CDX79540, CDX84673, CDY26873	Solyc08T001871.1, Solyc08T001870.1, Solyc03T001508.1
OG0001195	CDY04932, CDY14135, CDY04931, CDX98805, CDX70181, CDX98804, CDX70182, CDX80930, CDY11319	Solyc09T002350.1, Solyc10T002194.2
OG0001196	CDY46145, CDY20308	Solyc08T000113.1, Solyc08T001684.2, Solyc05T002061.1, Solyc04T001352.1
OG0001197	CDY65560, CDY17109	Solyc04T002663.3
OG0001197	CDX72445, CDY68227, CDX69020	Solyc01T003996.1, Solyc11T001527.1, Solyc10T001552.1
OG0001198	CDY14044, CDY55181	Solyc06T000581.1, Solyc03T001936.1, Solyc05T002330.1
OG0001198	CDY21157, CDY29969, CDY38492, CDY25453	Solyc10T002249.1
OG0001199	CDX72159, CDY27236, CDY27234, CDY27235, CDY66186, CDY52929	Solyc06T000941.1, Solyc05T002356.1, Solyc06T000940.1
OG0001200	CDY66166	Solyc11T001664.1, Solyc11T001621.1, Solyc11T001539.1
OG0001201	CDX82218, CDY32404, CDY27541, CDY37315	Solyc01T002280.1
OG0001202	CDY05095	Solyc07T000508.1
OG0001203	CDY26806, CDY30366, CDY26807, CDY26805, CDY30367, CDY07845, CDX72537, CDY40633, CDY41653, CDY24812, CDY66403	Solyc02T001889.1, Solyc03T000513.1
OG0001204	CDX84176, CDY71448, CDY32094, CDY72553, CDX84602, CDX79619, CDY09667, CDX90497, CDY72344, CDY42937	Solyc01T002648.1, Solyc05T002183.1, Solyc08T002122.1, Solyc08T002121.1
OG0001205	CDY49620, CDX92190	Solyc12T001788.1, Solyc06T001828.1
OG0001205	CDX70861, CDY66706, CDX92566, CDY13942	Solyc01T002185.1
OG0001206	CDY05915, CDY08119, CDY00194, CDX86984	Solyc06T001047.5, Solyc11T001399.1, Solyc11T001392.1, Solyc11T001393.1, Solyc03T001737.1, Solyc11T001416.1, Solyc03T001012.1, Solyc03T001009.1, Solyc03T001010.1, Solyc03T001742.1, Solyc11T001395.1
OG0001207	CDX84193, CDY31703, CDY32117, CDY40460, CDY12272, CDY22572, CDY35527, CDY41750, CDX84115, CDY35526, CDY29915	Solyc12T002557.1, Solyc08T001873.1, Solyc08T000049.1
OG0001208	CDY21353, CDY38230, CDY46637, CDY00441, CDX87469, CDX83082, CDY26857, CDX79249, CDX68028, CDX88424, CDX87471, CDX88423	Solyc04T002305.1
OG0001209	CDY31491, CDY29516, CDY33637, CDX96629, CDY01361, CDY31876, CDX88264, CDX87610, CDX68103, CDX72535, CDY27141, CDX74395, CDX98943, CDY27140, CDY31492	Solyc04T002991.1
OG0001210	CDX75459, CDX69085	Solyc01T004232.1
OG0001210	CDY69518, CDY01394, CDY68586, CDY29393, CDY62584, CDX83744	Solyc04T002885.1, Solyc12T002468.1
OG0001211	CDY29697, CDY18654, CDY12840, CDY57437	Solyc02T002786.1, Solyc02T002788.1, Solyc03T000768.1, Solyc04T002598.1
OG0001212	CDY50438, CDY10983, CDY66676, CDY03496, CDY25264, CDY61072, CDX99567, CDX86842, CDY05119	Solyc06T001055.1, Solyc03T001714.1
OG0001213	CDX98244, CDX77556	PRAM_25911.1.p1
OG0001213	CDX67650, CDY67461, CDX75993, CDX72132, CDY27209	Solyc10T002518.1
OG0001214	CDX74119, CDY49991, CDY19017, CDX89220, CDX92850, CDY29868, CDX92849, CDY29867	Solyc09T002753.1, Solyc05T002226.1, Solyc02T000726.1, Solyc09T002754.1, Solyc03T001762.1
OG0001215	CDY23092, CDY02179, CDX87195, CDY16827, CDY42844, CDY47006	Solyc02T000391.1, Solyc02T000385.1, Solyc02T000518.1, Solyc02T000957.1, Solyc02T002443.2, Solyc11T000521.1, Solyc02T000393.1, Solyc10T002596.1
OG0001216	CDY39150, CDX82671, CDY12863, CDY01402, CDY39151, CDY69048, CDY46707, CDY30195, CDY43525, CDX68586, CDY37378	Solyc07T001380.1
OG0001217	CDY41066, CDY25949, CDY40544, CDY28908	Solyc11T000668.1
OG0001217	CDY10527, CDY42389, CDY52903, CDY53762	Solyc07T002736.1
OG0001218	CDY71359, CDY14463, CDY54423, CDY18385, CDY14461, CDY14462, CDY66717, CDY54462, CDY61536, CDX73489, CDX78229, CDY71064	Solyc04T001578.1, Solyc04T001576.1, Solyc04T001577.1, Solyc04T001574.2
OG0001219	CDY02605, CDY47180, CDX70831, CDX88926, CDX92593, CDY13909	Solyc06T001220.1, Solyc01T001933.1
OG0001219	CDX76679, CDY11467	Solyc06T002771.2
OG0001220	CDY44878, CDX70203, CDY11309, CDY04927, CDY14138, CDY08586, CDY00960, CDY25845, CDY19565, CDY48004, CDX80997, CDY47259	Solyc10T002602.1, Solyc11T000163.1, Solyc05T002639.1
OG0001221	CDX72309, CDY13438, CDX68755	Solyc03T003150.1, Solyc12T001544.1
OG0001222	CDY28599, CDY05406	Solyc12T001435.1, Solyc01T000948.1, Solyc00T000021.1, Solyc01T000947.1, Solyc12T001434.1
OG0001223	CDY18281	Solyc12T000092.1, Solyc07T001861.1, Solyc07T001863.1, Solyc02T001778.1, Solyc02T000572.1
OG0001225	CDY06517, CDY64978, CDY65747, CDX82543, CDX75705, CDY44006, CDY23591, CDY26091, CDY42377, CDY10543	Solyc01T001747.1, Solyc01T001749.1, Solyc07T002776.1, Solyc10T000074.1
OG0001226	CDY15456, CDX86682, CDX86683, CDY15455, CDY37436, CDY32500	Solyc01T002159.1, Solyc01T002160.1, Solyc01T002161.1
OG0001227	CDX95224, CDY21193, CDY72511, CDY03032, CDY19658	Solyc00T000037.3, Solyc10T000844.1, Solyc11T001077.1
OG0001228	CDY30545, CDX77119, CDX83271, CDY31182, CDY04500, CDX71446	Solyc11T002203.1, Solyc06T002292.1, Solyc11T000185.1, Solyc05T002644.1, Solyc04T000342.1
OG0001229	CDX98968, CDX70056, CDY58889, CDX81022, CDY58884, CDY58887, CDY58888, CDX81023, CDX70060, CDX98965, CDX70058, CDX70057, CDX98967, CDX70059, CDX98966	Solyc07T002673.1
OG0001230	CDX72858, CDY38644, CDY42613	Solyc07T000438.1, Solyc07T000443.1, Solyc07T000420.6, Solyc07T000821.4, Solyc07T000822.1, Solyc07T000419.1, Solyc07T000445.1, Solyc07T000444.1, Solyc07T000627.1, Solyc01T000577.1, Solyc01T000265.1, Solyc01T000583.1
OG0001232	CDY17346, CDY66688	Solyc07T002704.1
OG0001246	CDY40314, CDY48117, CDY55902	Solyc09T000655.1
OG0001246	CDX93218, CDY07045, CDX74815, CDY24938	Solyc05T002390.1, Solyc05T002389.1
OG0001263	CDY54459, CDY61534	Solyc09T000723.1
OG0001264	CDY15498, CDX86642, CDY32539, CDY10066, CDY18218, CDX89828, CDY68000	Solyc03T000041.1, Solyc09T002491.1, Solyc06T001133.1
OG0001265	CDY23233, CDX95371, CDX84568, CDX67536, CDY13349, CDX73606, CDX78123, CDX84138, CDX75053	Solyc11T000204.1, Solyc09T000359.1
OG0001266	CDY69452, CDX79810, CDY30427, CDY44245, CDX83471, CDY30425, CDY23384	Solyc06T001098.1
OG0001267	CDY25967, CDY41050, CDY65118	Solyc10T002600.2
OG0001268	CDY33774, CDX81613, CDY33773, CDX81614, CDX84043, CDX96865, CDY49109, CDY39339, CDY39340, CDY49110, CDY49111	Solyc02T001084.4, Solyc10T002424.1
OG0001269	CDY46753, CDX79715, CDX74989, CDX91334	Solyc11T002507.1, Solyc10T000776.1, Solyc10T002890.1, Solyc09T000133.3, Solyc10T002712.1
OG0001270	CDX93914, CDY53717	Solyc09T001992.1
OG0001270	CDY29764, CDY50683, CDY16256, CDY36868, CDY36869	Solyc09T002394.1
OG0001271	CDY10485, CDY40315, CDY13185	Solyc06T002507.1, Solyc07T000371.1
OG0001273	CDY69420, CDY53408, CDY52213, CDY66934, CDY48783	Solyc09T002573.1, Solyc09T002123.1
OG0001274	CDX68449, CDY16232, CDY46411, CDY62371	Solyc03T002624.1, Solyc05T000149.1
OG0001275	CDY37960, CDY45058, CDY21380, CDY04796, CDY12519, CDY25748, CDY54229	Solyc11T000934.2, Solyc11T000924.1
OG0001276	CDY44344, CDY11241, CDX80854, CDY10404, CDX70328	Solyc09T000155.1, Solyc10T002700.1, Solyc11T002282.1
OG0001280	CDX70248, CDY67470, CDY41387	Solyc11T002342.2, Solyc09T000199.1
OG0001280	CDY63485, CDY53709	Solyc04T001129.1
OG0001281	CDX88532, CDX87388, CDY22274, CDY56805, CDX96817, CDX83951	Solyc12T000806.1, Solyc10T002064.1, Solyc05T002506.1
OG0001282	CDX79522, CDX84693, CDY19477, CDY17158, CDY18243, CDX89814, CDY59182, CDY53196	Solyc09T001875.1, Solyc12T002640.1, Solyc09T002621.2
OG0001283	CDY22486, CDY00937, CDY57164, CDX82488, CDY60692, CDY21825, CDY33237, CDX75762	Solyc12T002108.1, Solyc03T003552.1, Solyc07T000618.2
OG0001284	CDY27325, CDY66318, CDX83370	Solyc10T000492.1, Solyc10T000490.1, Solyc10T000478.1, Solyc08T000945.1, Solyc10T000482.2, Solyc06T000830.1, Solyc10T000479.1, Solyc05T002124.3, Solyc01T002929.1
OG0001286	CDX71430, CDY04508, CDY31188, CDX83277	Solyc07T000293.1, Solyc01T000373.1, Solyc11T002167.1, Solyc06T002307.1
OG0001287	CDX67712, CDX98254, CDY47660, CDY69710	Solyc10T002429.1, Solyc02T000003.1, Solyc03T001984.1, Solyc10T002428.1, Solyc10T002261.1
OG0001288	CDY34836, CDY34649, CDX97955, CDY19362	Solyc10T000178.1, Solyc02T002058.1, Solyc03T000167.1
OG0001289	CDY38388	Solyc02T001515.1
OG0001289	CDY22173, CDY68815	Solyc09T000036.1
OG0001290	CDY22116, CDY21951, CDX90892	Solyc02T001648.1, Solyc03T000169.1, Solyc07T002199.1
OG0001292	CDX81783	Solyc01T001980.1, Solyc10T001657.1, Solyc03T001989.1, Solyc06T000669.1, Solyc12T001236.1, Solyc01T001434.1, Solyc06T000778.1, Solyc06T001788.1, Solyc09T001411.1
OG0001294	CDY60374, CDY45095	Solyc06T000150.1, Solyc06T002644.1, Solyc09T001447.2, Solyc10T000106.2, Solyc07T002681.1
OG0001295	CDY19672, CDY63601	Solyc07T000507.1, Solyc12T001080.1, Solyc10T000854.1
OG0001296	CDY17943, CDY70902, CDY30386	Solyc09T002879.1
OG0001297	CDY45084, CDY51844, CDX70929	Solyc07T001408.1
OG0001297	CDY39088, CDY33257, CDY65327, CDX97536	Solyc06T001431.1
OG0001298	CDX97319, CDY71094	Solyc12T000131.1, Solyc07T001699.1, Solyc04T000248.1
OG0001300	CDX96430, CDX72938	Solyc07T001338.1, Solyc05T001121.1
OG0001300	CDX94377, CDY69293	Solyc03T003471.1
OG0001301	CDY45917, CDY35765, CDX86337, CDX85314, CDY67293	Solyc06T002423.1
OG0001302	CDY51132, CDY42101, CDX84993, CDY24398, CDY69424, CDY39185, CDY03849	Solyc06T001850.1
OG0001302	CDY04182, CDY13586	Solyc05T000468.1
OG0001304	CDX70568, CDX78580	Solyc02T002858.1
OG0001304	CDY51128, CDY20528, CDX85002, CDY16138	Solyc05T000495.1
OG0001305	CDX86296, CDY05670, CDX85347, CDX86297, CDY51061, CDY35923, CDY28061	Solyc09T001452.1, Solyc12T002699.1, Solyc09T002823.1
OG0001306	CDY30004	Solyc05T002623.1, Solyc11T000114.2
OG0001306	CDY70443, CDY35503, CDY08978	Solyc06T001130.1, PRAM_52553.1.p1, Solyc09T002500.1
OG0001308	CDX73725, CDY16313	Solyc10T001963.1, Solyc01T004341.1, Solyc03T000556.1, Solyc02T001983.1
OG0001309	CDX91340, CDY46758	Solyc06T000393.1, Solyc11T002300.1
OG0001310	CDX73836, CDY00756, CDY01104, CDY08453, CDY47892	Solyc01T000732.1, Solyc01T002357.1, Solyc03T001290.1, Solyc10T002269.2, Solyc10T002434.1
OG0001312	CDY12285	Solyc08T000058.1, Solyc08T001850.1, Solyc08T002090.1, Solyc01T004349.1, Solyc09T002777.1
OG0001313	CDX87075, CDY19792, CDX80542, CDX88201	Solyc03T003374.1, Solyc08T001432.1
OG0001314	CDY38934, CDX89556	Solyc02T002816.1
OG0001314	CDX69035, CDY69287, CDX75411, CDY54466, CDY52422	Solyc01T003952.1
OG0001315	CDY04014, CDY47236, CDY00136, CDY20027, CDY44591, CDY53111	Solyc02T002287.1
OG0001315	CDY60795, CDY16244	Solyc05T000116.1
OG0001316	CDY16786, CDX87240, CDX86911, CDY00270	Solyc01T002727.1, Solyc11T002485.1, Solyc03T000217.1
OG0001317	CDX91998, CDX74251	Solyc04T000129.1
OG0001317	CDX67404, CDY58121, CDX74522, CDY01661	Solyc02T000797.1, Solyc02T002194.2
OG0001318	CDX93600, CDX95103, CDY32815, CDY58825, CDY06293, CDY22706, CDY30494, CDY72431, CDX71356, CDY04556	Solyc11T002308.2, Solyc06T002366.1
OG0001319	CDX72362, CDY13492, CDX68852, CDX75250	Solyc08T001476.1
OG0001319	CDY39649	Solyc03T003298.5, Solyc06T001717.1
OG0001322	CDX86041, CDX99125, CDX86040, CDX88722, CDX71075, CDY49581, CDX80230, CDY70097, CDY69199	Solyc06T002409.1, Solyc06T000031.1, Solyc06T000030.1, Solyc11T002572.1
OG0001324	CDY00798, CDX73803, CDY24247, CDY43401	Solyc07T002822.2
OG0001325	CDY16105	Solyc05T000680.1
OG0001325	CDY03409, CDY34321	Solyc08T002574.2
OG0001326	CDY31982, CDY56816, CDX76259, CDX76257, CDY48088, CDY48861, CDY16488, CDX77254	Solyc01T004132.1
OG0001327	CDY65129, CDY48471, CDX83923, CDY70865, CDY52446, CDX88445, CDX79262, CDX68015, CDY26862	Solyc10T000264.1, Solyc07T002354.1, Solyc12T000546.1
OG0001329	CDY12630, CDY67849	Solyc03T000888.1, Solyc02T002518.1
OG0001330	CDY18346, CDY42470, CDY43811, CDY43029, CDY43813	Solyc05T002009.1, Solyc07T001983.1, Solyc07T002566.1, Solyc10T001060.1, Solyc10T000153.1
OG0001331	CDX89247, CDY29313, CDY53481, CDY66674, CDY28817, CDX96240	Solyc10T000409.1, Solyc03T000146.1, PRAM_26082.1.p1, Solyc10T000190.1
OG0001332	CDY14626, CDY26852	Solyc04T002294.1, Solyc12T002313.1
OG0001332	CDY40087, CDX85770	Solyc05T002315.1, Solyc05T002316.1, Solyc05T002314.1, Solyc04T001852.1
OG0001333	CDY27626, CDX84911, CDY41275	Solyc07T000771.1
OG0001333	CDX99581, CDY15884	Solyc01T004163.3
OG0001334	CDX92112	Solyc01T001641.1, Solyc05T002460.1
OG0001334	CDX78827, CDY61670	Solyc02T001291.1, Solyc03T001845.1
OG0001335	CDX72379, CDY13507, CDY49819, CDX68921, CDX75300	Solyc08T001381.1, Solyc05T001632.1
OG0001336	CDY01500, CDX90437, CDX76551, CDY08880, CDY44504, CDX78810	Solyc08T001967.1, Solyc08T000013.1, Solyc06T001392.1
OG0001337	CDY62994	Solyc05T000069.1, Solyc04T000969.1
OG0001337	CDY51491, CDY30305	Solyc07T000159.1
OG0001338	CDX77568, CDY67309, CDY02326	Solyc09T002112.1, Solyc10T001831.1, Solyc02T001170.1
OG0001339	CDY50467, CDY51023, CDY20702, CDY62828	Solyc12T000302.2, Solyc12T000300.1, Solyc10T000632.1
OG0001340	CDX92286, CDX99298	Solyc10T001668.1
OG0001341	CDX99302, CDX92282	Solyc01T004121.1
OG0001341	CDY46009, CDY37264, CDY46017, CDX85871, CDX68152	Solyc04T002750.2
OG0001342	CDY46716, CDY38264, CDY53981	Solyc07T000337.1
OG0001342	CDX82212, CDY32412, CDY50072, CDY19575, CDY27537, CDY37311	Solyc03T003581.2
OG0001343	CDY71100, CDY31992, CDY70304, CDY05721, CDY31993, CDY13886, CDX81958, CDY35227, CDY06862, CDY50928, CDX92898	Solyc12T000232.1, Solyc07T000747.1
OG0001344	CDY28669, CDX77080, CDY37506, CDY17992	Solyc05T000848.1, Solyc04T000957.1, Solyc05T000844.1, Solyc03T002450.1
OG0001345	CDY40325, CDY10476	Solyc09T000568.1, Solyc10T002949.1
OG0001345	CDX70109, CDX98888	Solyc08T000146.1
OG0001346	CDY08628, CDY03280, CDY39794, CDY12936, CDY24883, CDY08625, CDY12934, CDY19523, CDY00628	Solyc07T001912.1, Solyc04T002861.1, Solyc03T000467.1
OG0001347	CDX89126, CDY43942	Solyc10T000498.1, Solyc01T002923.1
OG0001347	CDX88076, CDX80413	Solyc08T000330.1, Solyc08T002448.1
OG0001348	CDY28834	Solyc06T001003.1
OG0001349	CDY03912, CDX84931, CDY66149, CDY11821, CDX84929, CDY27607, CDY15716, CDY15714, CDY03910	Solyc03T001443.1, Solyc12T001038.1, Solyc04T000572.1, Solyc05T001032.1
OG0001350	CDY49805, CDY71649	Solyc10T000646.1, Solyc05T002137.1, Solyc05T002145.1, Solyc01T001790.1, Solyc01T002511.1, Solyc01T000285.2, Solyc11T001986.1
OG0001351	CDY13846, CDX81995	Solyc01T004320.2, Solyc02T002589.1
OG0001352	CDY34305, CDY03424, CDY05799, CDY05798, CDX71613, CDX91545, CDY16372, CDX83019, CDY34047, CDY64637	Solyc03T002469.1
OG0001353	CDY03264, CDY39805, CDY46906, CDY31826, CDY03265, CDY39804	Solyc03T001809.1, Solyc08T002191.1
OG0001354	CDX73482	Solyc06T001097.1, Solyc04T002173.1
OG0001355	CDY10991, CDX92619, CDY34263, CDY03478	Solyc04T002914.1
OG0001355	CDY12096, CDY72463	Solyc02T002014.1
OG0001356	CDY37835, CDY69978, CDY08769	Solyc02T002693.1, Solyc02T000832.1, Solyc04T002484.1, Solyc12T002364.1
OG0001357	CDY40268	Solyc05T000247.1, Solyc01T000506.1
OG0001357	CDX78823	Solyc08T002003.1
OG0001358	CDY32082, CDY40429, CDX79631, CDX84594, CDY23209, CDX95333, CDX81004, CDY55758, CDY57989, CDX98919, CDY01050, CDY08502	Solyc01T000149.1, Solyc10T002559.1
OG0001359	CDX99586, CDY15887	Solyc10T001760.3, Solyc11T001675.2, Solyc01T004172.1
OG0001360	CDY07066, CDX93211, CDY24921, CDY07615	Solyc06T000986.1, Solyc03T002041.1
OG0001361	CDX92596, CDY13906, CDX88927, CDX70830	Solyc01T001937.1
OG0001361	CDX78510, CDX69664, CDX97232, CDX85669, CDX91145	Solyc05T001492.1
OG0001362	CDX95738, CDY53022, CDX80137	Solyc06T001228.1, Solyc01T001958.1, Solyc06T000257.1, Solyc09T002209.1
OG0001366	CDX71497, CDY46486, CDX71499, CDY30789, CDY22365, CDY25235, CDY68956, CDY58727	Solyc04T002591.1
OG0001367	CDY33975, CDY37811, CDX81273, CDY18683, CDY08810, CDY14552, CDX85782, CDY40074, CDY21625, CDX69866	Solyc04T000452.2, Solyc04T001758.1
OG0001368	CDX78321, CDX81083, CDY47005, CDY68618, CDY58696, CDY02180	Solyc02T002451.1, Solyc10T002589.1, Solyc02T000952.1, Solyc06T001882.1, Solyc03T002778.1
OG0001369	CDY34951, CDY34950, CDX74102, CDY08049, CDY24690, CDY05268	Solyc07T000728.1, Solyc07T000729.1, Solyc10T001234.1, Solyc10T001232.1, Solyc01T003623.1
OG0001370	CDY66509, CDY66511, CDY29535	Solyc02T002848.1
OG0001370	CDY51044, CDY00365, CDY16515, CDY32851	Solyc01T003986.1
OG0001371	CDX88561, CDX87359	Solyc03T003047.1, Solyc06T001778.1
OG0001371	CDY05381, CDY05469, CDX88152, CDX80483	Solyc08T000161.1
OG0001372	CDY15967, CDY26539, CDY21035, CDY31242, CDY69100, CDY30051, CDY30052, CDY71412	Solyc08T000247.1, Solyc08T002181.1, Solyc06T001319.1
OG0001373	CDY57444, CDY18648, CDX81324	Solyc04T002613.1, Solyc12T002402.1, Solyc05T000908.1, Solyc12T002400.1, Solyc12T002404.1, Solyc12T002405.1, Solyc12T002067.1
OG0001374	CDY27012, CDY66366, CDX74543, CDY01684, CDX74544	Solyc03T000662.1, Solyc02T002213.1, Solyc05T000394.1
OG0001376	CDY24395, CDY51131, CDY03848	Solyc05T000478.1
OG0001376	CDX92240, CDY24483, CDY69364, CDY18523, CDX82342, CDX75968	Solyc03T003262.1, Solyc06T001855.1
OG0001377	CDX72041, CDX72040, CDY64936, CDY31779, CDY16277, CDY06498, CDY68588, CDY09049, CDY22732, CDY09056, CDY06499, CDY68587	Solyc01T002600.1, Solyc11T002516.1
OG0001378	CDX77738, CDY33513, CDY66626, CDY43445, CDY40585, CDY12407, CDY69789	Solyc11T001373.1, Solyc01T002566.1
OG0001379	CDY09897, CDY28677	Solyc05T001721.1, Solyc02T002275.1
OG0001379	CDY36908, CDY44983, CDY30736, CDY45749, CDY00331, CDX84362	Solyc03T002673.1
OG0001380	CDY01274, CDX93833	Solyc01T002244.1, Solyc10T000833.1, Solyc07T002386.1, Solyc08T000206.1, Solyc08T001996.1
OG0001381	CDY14687, CDY16227, CDY46415, CDY52250, CDY16226, CDY14693, CDY46413, CDY62366	Solyc05T000156.1, Solyc05T000155.1
OG0001382	CDX99903, CDY00487	Solyc03T001772.1
OG0001382	CDX82961, CDX79173	Solyc01T002713.1, Solyc08T002217.1
OG0001383	CDY11612, CDY38797, CDY03761, CDY42991	Solyc05T000133.2
OG0001383	CDY29265, CDY19873, CDY17285	Solyc12T000011.1
OG0001384	CDY07462, CDY39272	Solyc02T001814.1, Solyc03T000506.1
OG0001385	CDY28166, CDY51649, CDX72214	Solyc07T000660.1
OG0001385	CDX69313, CDX75661, CDY29561, CDX72634	Solyc03T000762.1, Solyc02T002779.1
OG0001386	CDY30593, CDY17765, CDX83121, CDX68583, CDX81342, CDY18636, CDY43559, CDY63952, CDY01443, CDY12799	Solyc03T000812.1, Solyc02T002629.1, Solyc04T002658.1
OG0001387	CDY17058, CDY43217	Solyc04T002660.1
OG0001387	CDX75626, CDX69276, CDY67768, CDY42723	Solyc02T002625.1, Solyc02T000882.1
OG0001388	CDY47595, CDY17037, CDY17091, CDY06753, CDY06752, CDY22369	Solyc04T002612.1, Solyc12T002396.1, Solyc12T002393.1, Solyc12T002398.1, Solyc12T002399.2
OG0001390	CDX82545, CDX75703, CDY23589, CDY44007	Solyc12T002162.1, Solyc03T003573.1, Solyc07T002308.1, Solyc12T000517.1
OG0001391	CDX91807	Solyc06T000332.1, Solyc01T002121.1, Solyc01T001672.1, Solyc01T003357.1
OG0001392	CDY57705	Solyc10T000095.1, Solyc12T000735.1, Solyc05T001138.1, Solyc05T001133.1, Solyc05T002541.1
OG0001393	CDY28259, CDX68738, CDY66853, CDY03361, CDY01412, CDY12850, CDX83505, CDY30178, CDY46724, CDY14193, CDY03552	Solyc07T000415.2
OG0001394	CDX94980, CDY52287, CDY20312, CDY09940, CDY59064, CDY06675, CDY10247, CDY02038, CDY10712, CDY61050, CDY32978, CDY32697, CDY59510, CDY32977	Solyc06T002554.1
OG0001395	CDY21016, CDY31217	Solyc07T002642.1, Solyc12T000008.1
OG0001396	CDX84001, CDY52026, CDX81675	Solyc01T000026.1
OG0001396	CDX89053	Solyc08T002015.1, Solyc10T001022.1, Solyc01T002547.1
OG0001397	CDY45941, CDY20395, CDY16975	Solyc11T001387.4, Solyc10T002907.1
OG0001398	CDY66932	Solyc02T000102.1, Solyc09T002147.1
OG0001398	CDY40617, CDX93705, CDX93703	Solyc09T002190.2
OG0001399	CDY01039, CDY08510, CDX73863	Solyc06T002258.1, Solyc11T002236.1
OG0001399	CDY64732, CDY14087, CDY04984	Solyc01T000211.1, Solyc10T002599.1
OG0001400	CDY49169, CDY35652, CDX96219, CDY54346, CDY47071	Solyc10T000458.1, Solyc01T000576.1, Solyc03T001761.1
OG0001401	CDX76535	Solyc03T000079.1
OG0001401	CDX76537, CDY08899, CDY08897, CDX76538, CDY08900, CDX76536, CDX78835, CDX99493	Solyc02T001276.1
OG0001402	CDY62897, CDX70322, CDY10397	Solyc04T002903.1
OG0001403	CDX95204	Solyc10T000860.1, Solyc05T001415.1, Solyc09T001216.1
OG0001405	CDY32390, CDX82228, CDY06379, CDY19606, CDY60391, CDY19608, CDY27563	Solyc01T003040.1, Solyc01T000341.1, Solyc06T002232.1
OG0001406	CDY07739, CDY14471, CDY54453, CDX91449, CDY18391, CDY54415	Solyc09T000765.1, Solyc03T002018.1, Solyc06T000909.1, Solyc10T002127.1, Solyc09T000791.1, Solyc10T002813.1
OG0001407	CDY22349	Solyc09T002526.1
