Orthogroup	Brassica_napus	Capsicum_anuum
OG0002052	CDY27061, CDX91657, CDY50293, CDY70009, CDY27832	CA07g03880, CA07g03860
OG0002053	CDY32894, CDY32753, CDY20707	CA03g36350, CA07g05930
OG0002054	CDY33782, CDY08588	CA11g18080
OG0002054	CDY50330, CDY26972, CDX71024, CDX88774	CA06g23440
OG0002055	CDX89822, CDY18234, CDY53192, CDY59176, CDY37722, CDY23738, CDX79528, CDX84688, CDY37723	CA03g04710, CA04g00650
OG0002056	CDX74243, CDX92005, CDY57538, CDY43231	CA02g23800, CA11g00420, CA01g27860, CA11g00430
OG0002057	CDX80597, CDX88246, CDY54108, CDY54109, CDY19753, CDX87029	CA08g12950
OG0002058	CDY05064	CA04g10290, CA06g14010
OG0002059	CDY27769, CDY05166, CDY18777, CDY18797, CDY40708, CDX74147, CDY25029, CDY05568	CA08g12190, CA00g77480
OG0002060	CDY34799, CDX76839	CA03g30320, CA00g74830, CA07g01250, CA09g02390, CA07g01240
OG0002061	CDX90608, CDY29075	CA03g04830, CA05g10620
OG0002062	CDX74501, CDY37890	CA02g26810
OG0002063	CDX83243, CDY38531	CA07g04050
OG0002063	CDY20153, CDY21869	CA11g15290, CA06g22400
OG0002064	CDY39781, CDY03299	CA10g04110, CA02g16020
OG0002065	CDY10002, CDY06187	CA07g21510, CA01g32630, CA03g35580
OG0002066	CDX83916, CDX96778, CDY16367, CDX91550	CA03g36900, CA06g15670, CA05g10290
OG0002067	CDY50144, CDY31766	CA06g24760, CA06g04630, CA05g03200
OG0002068	CDY49736, CDX87354, CDX88566, CDY22290, CDX79342, CDX67977, CDY59457	CA04g20050, CA01g30340
OG0002069	CDY35110, CDY40041, CDX81772, CDY50994, CDX81773, CDY50993	CA07g17260, CA10g00890
OG0002070	CDY55788, CDX76521, CDX78855, CDX87752, CDY60886, CDY01541, CDY55639	CA04g23100, CA07g00160
OG0002072	CDX75801, CDX82454, CDX97626, CDX98522, CDY20096, CDY32326	CA10g01580, CA09g12880
OG0002073	CDY57659, CDY19626, CDY36030, CDX82237, CDY43072, CDY55591	CA02g18030, CA10g00050, CA07g19500
OG0002076	CDY08634, CDY24892, CDY19535, CDY12937	CA07g11490, CA02g18540
OG0002077	CDY43926, CDX87841, CDY22869, CDY69786, CDY42210, CDY32768, CDY32874, CDY11910, CDX88581	CA03g36120, CA09g16730
OG0002078	CDY35567, CDY25219, CDY22831, CDY60839	CA01g16220, CA01g19950, CA10g20690
OG0002079	CDY19360, CDX97953	CA04g02700, CA02g17050
OG0002080	CDX73007, CDY60135	CA07g13410
OG0002081	CDX87868, CDY45641, CDY06399, CDY22877, CDY33843, CDY53441, CDY46536	CA09g16860
OG0002082	CDY48139, CDY16729, CDX84396	CA03g24360
OG0002082	CDY20057	CA03g24370, CA02g30570
OG0002083	CDY14593, CDY26877, CDY66394, CDY00299, CDX87440, CDX88466	CA04g01080, CA02g13270, CA07g16850
OG0002084	CDX73808, CDY00793, CDY08417, CDY42162, CDY50538, CDY52668	CA01g29720, CA01g29730, CA01g32180
OG0002085	CDY69722, CDX92833, CDY29841, CDY14277, CDX97386, CDX97653, CDX98547, CDY21833, CDY20123	CA07g17670
OG0002086	CDY58363, CDY19113, CDY34515, CDY42071, CDX86566, CDY15549	CA12g19460, CA00g10840
OG0002087	CDY52187, CDY12453, CDY43180, CDY02345, CDX77564, CDX98230, CDY52186, CDY12452	CA02g19620
OG0002088	CDY46044, CDY31737, CDX77214, CDY47891, CDY15789, CDX83303, CDX95759	CA06g24570, CA11g11830
OG0002090	CDX75562, CDX69213, CDX72583, CDX72582	CA02g21830
OG0002091	CDY15495	CA02g19510, CA03g06210
OG0002092	CDY06519, CDY65745, CDY51970, CDY17399, CDY51971, CDY11953, CDY11956, CDY36781	CA07g20900, CA07g19580
OG0002093	CDY61544, CDY47631	CA11g07870
OG0002094	CDY17369, CDY28626	CA03g14440
OG0002094	CDX88607, CDY11885	CA00g69650
OG0002095	CDX87985, CDX87989, CDX87986, CDY31624, CDX87987	CA02g20280, CA02g20260
OG0002096	CDY09119, CDX88810, CDX70983, CDX92383, CDY65551	CA06g22610, CA01g13730, CA01g13720, CA11g16000
OG0002097	CDX89445, CDY25579, CDY13775, CDX76940, CDX76939, CDX78371, CDX81164, CDY40083, CDX85774	CA08g15600
OG0002098	CDY30902	CA02g11290
OG0002098	CDY33461, CDX77644, CDY35152, CDY03235, CDX87735, CDY43957	CA02g03290
OG0002099	CDY37254, CDX68139, CDX73151, CDX81930, CDY21664	CA04g20730, CA02g22520
OG0002100	CDY24637, CDY34911, CDX86289, CDX85354, CDY51051, CDY66081, CDY19941, CDY00050	CA00g30100
OG0002101	CDY48348, CDY34166, CDY04304, CDY23682, CDY41842, CDX77319, CDY43276, CDX93661	CA02g15920, CA04g02460
OG0002102	CDY53158, CDY71893, CDY00232	CA06g17430, CA12g12920, CA03g22330, CA10g04470
OG0002103	CDY71959, CDY17323, CDY45656, CDY11996, CDY36746, CDX86765, CDX86766, CDY58867	CA07g20050
OG0002104	CDY27934, CDY17205, CDX84669, CDX79546, CDY14920, CDX96961, CDY30802, CDY34109	CA02g15240
OG0002105	CDX78902, CDX99415, CDX76506, CDY09259, CDY01562, CDY69818	CA05g10250, CA02g13280, CA04g01070
OG0002106	CDY07520, CDX67610	CA09g07040
OG0002107	CDY36246, CDY17654	CA05g08840
OG0002107	CDX74571, CDY01724	CA12g02460
OG0002109	CDX78624, CDX70605, CDX69534	CA02g28100, CA02g01070, CA00g74660
OG0002111	CDX79576, CDX84629, CDY43658, CDY31637, CDX84284, CDY71933	CA00g65290
OG0002112	CDY46111, CDX72409, CDY28307, CDX75366, CDX68989, CDY58271, CDX84518	CA09g05100
OG0002113	CDY41099, CDY45283, CDX81667, CDY33743	CA08g01260
OG0002114	CDY31215, CDY21014	CA02g18360
OG0002114	CDX96102, CDY01796	CA00g82820
OG0002115	CDY51503, CDY15739, CDX84493, CDY07350, CDY28549, CDY44067, CDY40920, CDX95936	CA11g03730
OG0002116	CDY52313, CDY61843, CDY07279	CA02g17500
OG0002116	CDY42459, CDY61742	CA10g00200, CA07g18500
OG0002117	CDX70944, CDX88840, CDY16564, CDX92434, CDY45067, CDY12336	CA09g14770, CA00g93630, CA05g11840
OG0002118	CDX97909, CDY19316, CDY54239, CDY61312, CDY63681, CDY46183, CDY63680	CA05g10460, CA06g20020, CA00g64430
OG0002119	CDY41305, CDY22195, CDY71255, CDX70335, CDY10412	CA11g14470, CA09g03070
OG0002120	CDX84824, CDY23988, CDY29658, CDX97806, CDY47130, CDY10749	CA06g07080, CA06g01330
OG0002121	CDY08834, CDY14527, CDX97455, CDY39471	CA04g08970, CA05g13650
OG0002122	CDY09919, CDY06256, CDY06703, CDY33014	CA05g16110, CA06g04770, CA06g24870
OG0002124	CDY68784, CDY42290, CDX92506	CA07g21080, CA07g00920, CA00g69830, CA09g14830, CA04g09410, CA00g88350
OG0002125	CDY57522, CDY43243, CDY49069, CDX67418, CDY37886, CDX74495	CA02g26970
OG0002126	CDY53293, CDY69028, CDX96415, CDX72923	CA03g35260, CA06g15800
OG0002127	CDY68974, CDX94684, CDX94683, CDX90198, CDY35299, CDX99846, CDY26321, CDX84328, CDY17236, CDY43682, CDY72186	CA04g00880
OG0002128	CDY66550, CDX82550, CDY24208, CDY43367, CDY66549, CDY23570, CDY26081, CDY08267	CA02g17540, CA02g17530, CA06g26120
OG0002129	CDY09600, CDY26270, CDX90243, CDY12046, CDY48570, CDY21980, CDY21334, CDY21335, CDY61999	CA08g04090
OG0002131	CDY10956, CDY10957, CDY62740, CDY54854, CDY44126	CA03g28380
OG0002132	CDX91178	CA01g22070
OG0002133	CDX86389, CDX85245, CDY04055, CDY44409, CDY00100, CDY19996	CA11g20210, CA11g20250, CA06g25280, CA11g20190
OG0002134	CDY17253, CDX98480, CDX82474, CDX97587	CA02g11560, CA00g16580, CA00g16000, CA06g14250
OG0002135	CDX85284, CDX86355, CDY00084, CDY19979, CDY35786, CDY66116	CA02g08220, CA02g27090
OG0002136	CDX82336, CDX92251, CDX99342, CDX95512, CDY18530, CDX75974	CA03g28500
OG0002137	CDY04633	CA04g13020
OG0002137	CDY18535, CDX99329, CDX92257, CDX99330, CDY53768	CA12g12220
OG0002138	CDY60343, CDY07624, CDY07053, CDY69146, CDX72192, CDY27257, CDY06531, CDY70442, CDX67627	CA05g14730
OG0002139	CDY01642, CDY71553, CDY19975, CDY45910, CDY35771, CDY70892, CDX85301	CA02g26580, CA02g26570
OG0002140	CDX75973, CDX82337, CDX92250, CDX99343, CDY18529	CA06g18100, CA03g34000
OG0002141	CDY07529, CDX73464	CA00g60470
OG0002143	CDY53102, CDY44687, CDY44678, CDY53094, CDY07898, CDX73952, CDY55910, CDY48111, CDX80792, CDY11212	CA00g80480
OG0002144	CDY23109, CDY13043, CDY39440, CDY59325, CDY35297, CDX90201	CA02g12880, CA02g12870, CA02g12860
OG0002145	CDY09180, CDY20338, CDY29729	CA05g15680, CA05g15690, CA03g33140
OG0002146	CDY47592, CDY17034, CDY67628	CA04g20870
OG0002146	CDX83758	CA02g05090, CA02g22290
OG0002147	CDX69282, CDY71282, CDY71179, CDY62228, CDY29538	CA04g08130, CA02g14540, CA02g01830
OG0002148	CDY48073, CDX83534	CA11g02190, CA05g08430
OG0002148	CDX69484, CDY26481	CA02g26650
OG0002149	CDY31871, CDY01357	CA02g01510, CA02g08320, CA02g19930, CA04g05210
OG0002150	CDX88001, CDY07870, CDY31374, CDX71349, CDY26796, CDY47488, CDX75489	CA04g05250, CA11g12440
OG0002151	CDY17090, CDY17036, CDY47594	CA04g18210
OG0002151	CDY57441, CDY46091, CDX76871	CA00g84770
OG0002152	CDY45187, CDY03024, CDX85158, CDX85159, CDX85157, CDX81623, CDY33760, CDY39331, CDY49103, CDY39332, CDY49104	CA11g04360
OG0002153	CDY09659, CDX90493, CDY65447, CDY42954, CDY35606	CA01g06350, CA01g06340, CA01g06110, CA06g12770
OG0002154	CDX92152, CDX95833, CDY46885, CDY65691, CDY24513, CDY46049	CA03g23120
OG0002155	CDY10012, CDY06180, CDY34507, CDY42065	CA00g63980, CA01g28950
OG0002156	CDY35992, CDY21728, CDX83880, CDX81853, CDY21727, CDX96742	CA04g12880, CA03g23210
OG0002157	CDY34892, CDY07799, CDX93426, CDY45151, CDY11632, CDY38778, CDY52461	CA05g11730, CA01g17900, CA11g06240
OG0002158	CDX77681, CDY63052, CDY35174, CDY03202, CDX78812, CDY44502, CDX90435, CDY01503, CDY01502	CA01g07300, CA00g71010
OG0002159	CDY02381, CDY59567, CDY12423, CDY27154	CA00g36670, CA00g87310, CA01g09320, CA01g09330
OG0002160	CDY45045	CA04g02370, CA02g15830
OG0002160	CDY71256	CA08g16510
OG0002160	CDY29333, CDY46271, CDY50976, CDY28135	CA08g16500
OG0002161	CDY42402, CDX78808, CDY44507, CDY58502, CDX77688, CDY35179, CDY03195	CA00g50270, CA01g07140
OG0002162	CDY31092	CA00g62140
OG0002162	CDY70177, CDY40500	CA11g07980, CA11g07920
OG0002163	CDY20607, CDY20966, CDY54240, CDY61314, CDY41451, CDY20861, CDX91709, CDY44139, CDY64839	CA11g11490, CA08g00760
OG0002164	CDY68275, CDY28578, CDY01753, CDY44085	CA00g49370
OG0002164	CDY70380, CDX96552	CA03g31540
OG0002165	CDY43620, CDY37158	CA01g07610, CA01g30330, CA06g13530
OG0002166	CDY33555, CDX95962	CA06g18320, CA00g74580, CA11g03180
OG0002167	CDX93747, CDY15301, CDX91795, CDY46452, CDY48801, CDY52194	CA08g15180
OG0002168	CDX75601, CDX69249, CDY62658, CDX72604, CDY70257, CDY39672, CDX89599, CDY46060, CDX76847	CA02g26340, CA02g08000, CA02g07990
OG0002169	CDY25037, CDY05576, CDY70098, CDX86158, CDY05149, CDY27784, CDY40702, CDY66561	CA00g46120, CA00g46130
OG0002170	CDY54269, CDY30210, CDY54272, CDY54275, CDY71998, CDY58323, CDY65102, CDY30209, CDY54276	CA04g19910, CA06g27650
OG0002171	CDY70145, CDY21456	CA04g05160, CA04g07900, CA02g20040, CA09g08720, CA02g20030, CA02g20020
OG0002172	CDY02116, CDY52820, CDY23040, CDX68435, CDY02115, CDY64181, CDY62596, CDY24159, CDY36933	CA00g80740
OG0002173	CDY52352, CDY64328, CDY55725, CDX94452, CDX92705, CDY49712	CA03g08260, CA00g56330
OG0002174	CDX85452, CDY55938, CDY16919, CDY38431	CA02g24060, CA00g95850, CA04g08030
OG0002175	CDY43020	CA07g19070
OG0002175	CDY08222, CDY02466, CDX97378	CA07g19530, CA10g00070, CA04g04030
OG0002176	CDX73138, CDY68761, CDY26678, CDY41041, CDY41038, CDY26680, CDY21671, CDX81923, CDX83770	CA04g20060
OG0002177	CDX85580, CDX91018	CA07g00590
OG0002178	CDY59096, CDY54798	CA04g22860, CA12g19540
OG0002179	CDX71536, CDY22372	CA04g18330
OG0002179	CDX81336, CDY01430, CDY35021	CA02g14590
OG0002180	CDY16707	CA10g16480, CA10g16490, CA12g18080, CA00g93010, CA12g18090, CA05g17850
OG0002181	CDY05336, CDY05510	CA09g14910, CA09g15310, CA04g05470
OG0002183	CDY22651, CDY06344, CDX95016, CDX93522, CDY32146, CDY31116	CA01g25670, CA08g11980
OG0002184	CDY19266, CDY26705, CDX81908, CDY21687, CDY45396, CDX73116, CDX68162, CDX85859	CA03g27590, CA06g19410
OG0002185	CDX90953, CDY70007, CDY51913, CDY59139, CDY09314, CDX76467	CA07g02290, CA04g08220
OG0002186	CDX69073, CDX75448, CDY48778	CA09g11700, CA12g08650
OG0002187	CDX87688, CDY66747, CDX90436, CDY01501	CA08g12110, CA03g27450, CA07g14610, CA02g23620
OG0002188	CDY29011, CDX77990, CDY42545, CDY33286, CDY42544, CDX77867, CDY27937, CDX99555, CDX77991, CDY33285, CDX90653	CA02g21360
OG0002192	CDY06532, CDY04808	CA02g17070
OG0002192	CDY06550, CDY68035, CDY17367, CDY28628	CA02g17060
OG0002193	CDY20290, CDY46132, CDY28232, CDX68710, CDY46133, CDY20289, CDY34780, CDX76819	CA09g18370
OG0002194	CDY44985, CDY36910, CDY21806	CA03g28190
OG0002194	CDX91724	CA11g07710
OG0002195	CDY55220	CA00g76080
OG0002195	CDY52572, CDY43022	CA07g19450
OG0002196	CDX79128, CDX82910, CDY16676, CDX94545, CDY21295, CDX90854	CA02g18720, CA07g10480
OG0002197	CDY72627, CDY40586, CDY12406, CDY43446, CDY33512, CDX77736, CDX90460, CDY09610, CDX78788, CDY38416	CA06g12870, CA01g06970
OG0002198	CDX88656, CDX71386, CDY11831, CDY02788, CDY32730, CDY43885, CDY02800, CDY32720	CA02g03100
OG0002199	CDY38704, CDX98582	CA08g14230, CA07g09910
OG0002199	CDX99949	CA01g14660, CA09g14370, CA01g18920, CA01g20560, CA04g14390
OG0002200	CDY21119, CDY30008	CA03g02260
OG0002200	CDX84385, CDY48127, CDY16736	CA06g19990, CA00g00410
OG0002201	CDX95546, CDY48021, CDX92224, CDY24453, CDY51937, CDX75963	CA06g17830, CA03g33250, CA11g00500, CA04g06430
OG0002202	CDX78183, CDX73550, CDY52755, CDY07586, CDY46773, CDX79732, CDY11223, CDX80835	CA05g19320, CA09g03750
OG0002204	CDX83688, CDY13709, CDY34152, CDY48359, CDY20051, CDY00158, CDX67470	CA02g30390, CA02g24970
OG0002205	CDY07129, CDY58223, CDY64994, CDX85150, CDY61859	CA00g50530
OG0002205	CDY64993, CDY38163, CDY64824	CA00g67880, CA03g22320, CA11g08510
OG0002206	CDY05229, CDY27711, CDY58337	CA06g26840, CA09g11820, CA01g24670
OG0002208	CDY63064	CA10g10260, CA01g10950, CA05g11870
OG0002208	CDX97356, CDX94504, CDY67756	CA01g04430
OG0002209	CDY35391, CDY22548, CDY14807, CDY06890, CDX79897, CDY64576	CA10g19180, CA10g21300, CA03g05700, CA03g05230
OG0002210	CDY28880, CDY07418	CA11g08840, CA03g31330
OG0002211	CDY36037, CDX82244	CA07g19090, CA03g11840
OG0002211	CDX97315, CDX91224	CA04g03470
OG0002212	CDY42611, CDY41965, CDX72716, CDY56767, CDX99749, CDX90314, CDY12123, CDX82036, CDY13812	CA10g08620, CA00g71930
OG0002213	CDX74640, CDY33681, CDY66421	CA09g10500, CA07g11350
OG0002213	CDX94293	CA07g20020
OG0002214	CDY30951, CDX87955, CDY12326, CDY09091	CA01g13640, CA01g21480, CA11g15450, CA01g21470, CA11g15430
OG0002215	CDY04828	CA01g29520, CA10g12940
OG0002215	CDX84840, CDY24005, CDY68071, CDY02060	CA00g97550, CA06g25800
OG0002216	CDX75319, CDX68934, CDY45025, CDY28280, CDY13515, CDX72386, CDX97156, CDX69718, CDX70434, CDX78456	CA11g19970, CA08g02300
OG0002217	CDY32904, CDX95780, CDY03193, CDX96082, CDY01820, CDY28876, CDY07415	CA03g24400
OG0002219	CDX95447, CDY50152	CA00g51980, CA00g51970
OG0002220	CDY65528, CDX67676, CDX72069, CDY65530, CDY69928	CA08g07330
OG0002221	CDY07646, CDY24957	CA05g00510, CA00g91850, CA00g91860, CA05g00490, CA05g00520, CA05g00330, CA00g96830, CA07g04160
OG0002222	CDX74074, CDY34922, CDY24661, CDY05297, CDY08027, CDX85391, CDX86254, CDY33930, CDY70669	CA01g17350, CA12g21410
OG0002223	CDX82258, CDY36051, CDY42231, CDY33451, CDY45065, CDY03611, CDY07311, CDY29594	CA05g12840
OG0002225	CDX85224, CDX86410, CDY20015, CDY00114, CDY70277, CDY04039, CDY67051, CDY30281, CDY00113	CA00g19930, CA09g11880, CA01g22240, CA02g28370
OG0002226	CDX68746, CDY28269, CDY13432, CDY63644, CDY23299, CDY36440	CA06g17320, CA03g30470, CA12g12670
OG0002227	CDY18224, CDY18223, CDY60665, CDY10058, CDY53186, CDY70993, CDY22348	CA00g36600, CA03g05610, CA06g10400
OG0002228	CDY10227, CDY54877, CDY29119, CDY49156, CDX97818, CDY47132, CDY10747, CDY29661, CDX97810, CDX97809	CA09g01280, CA00g80770
OG0002234	CDY28597, CDY47372	CA01g20670, CA00g68210, CA00g68170, CA12g13210, CA12g11330, CA12g10310, CA00g70860, CA01g14320, CA10g02230, CA01g25970, CA03g03020
OG0002240	CDY06392, CDY19592, CDY68499, CDY68033, CDY37331, CDY27555, CDY66732, CDY54388, CDY49036, CDY65223, CDY22835, CDY03627, CDY66468, CDY66467	CA11g12800
OG0002249	CDY16960, CDX69404, CDY16957, CDY45610, CDX69402, CDY72265, CDY02733, CDX85474, CDX78732, CDX70741, CDY23462, CDY49928	CA06g21330
OG0002250	CDY03988, CDY49771, CDY20040, CDY50118, CDX67456, CDY11685	CA02g29980, CA09g13630, CA00g00370, CA00g00380
OG0002251	CDX70236, CDY51312, CDX70238, CDY03945, CDY11770, CDX90105, CDX84907, CDY27629, CDY30794, CDY22361	CA04g17920, CA08g16870
OG0002252	CDY07316, CDY06475, CDY49801, CDY10064, CDY03861, CDX71222, CDY40534, CDY50457, CDY43474, CDY35615, CDX76586, CDY72574, CDY07317, CDY72291, CDX71517	CA01g06280
OG0002253	CDY55807, CDY71203, CDY43275, CDY37537, CDY55811	CA09g07330, CA09g07310, CA09g07250
OG0002254	CDX94207, CDY67926, CDY24804, CDY35446, CDY68371, CDY03531, CDX93160, CDX89657, CDY25277, CDY13238, CDX86806, CDY25563, CDY34400	CA01g01720
OG0002260	CDY42407, CDY10508, CDY10509	CA07g21250, CA07g21220
OG0002262	CDX96483, CDX68223, CDY11102, CDY26174, CDY19202, CDX96728, CDX83859, CDY21713, CDX81865, CDX81864, CDX81867, CDY21714, CDY21712	CA03g31000
OG0002265	CDY46701	CA06g07130, CA08g05150, CA00g77310, CA05g06270, CA00g77320, CA06g03260, CA02g15390
OG0002265	CDY40370	CA10g09960, CA06g13380, CA01g28800, CA09g04290
OG0002266	CDY32491	CA06g17120, CA01g23670, CA01g15720, CA09g11020, CA08g07940, CA02g09940, CA05g11690, CA00g60570, CA07g09840, CA01g25180, CA12g12000, CA10g11890, CA10g09330, CA08g03140, CA08g04730
OG0002286	CDX81553, CDX83958, CDX96823, CDY35069, CDY52850, CDX81751, CDX88556, CDX87367	CA03g30400
OG0002287	CDY20508, CDY61712, CDY07049, CDY60337, CDY07629, CDX74812, CDX69783, CDX97081	CA09g12330
OG0002288	CDY13374, CDX67520	CA00g64570, CA01g00440
OG0002293	CDY07728, CDY18382, CDY69942	CA10g11240, CA09g11960
OG0002294	CDY48648	CA06g25450
OG0002294	CDY52687	CA06g20080
OG0002294	CDY22556	CA06g25460
OG0002295	CDY42056	CA04g16870
OG0002295	CDX69325, CDX75674	CA02g07240
OG0002296	CDX94454, CDX89420, CDX92697, CDY49706, CDY65095, CDX91599	CA03g17350
OG0002297	CDY55418, CDY11217, CDY10440, CDY40365	CA09g04480, CA09g04740, CA10g11600
OG0002298	CDY24176, CDY07084, CDY24043, CDY33060	CA12g22920, CA01g12170
OG0002300	CDX71380, CDY04539	CA11g18170
OG0002303	CDX86612	CA07g14220, CA01g26960
OG0002304	CDY41761, CDY12399	CA02g03260, CA09g18520, CA07g02840, CA01g29000
OG0002305	CDX81876, CDY21704, CDY19217, CDY26154	CA06g08090, CA01g29060
OG0002306	CDY01035, CDY08513, CDX98909, CDY60443, CDY11358, CDX80995	CA09g00080
OG0002307	CDX82806, CDX79039, CDY65340, CDX94025, CDY58482	CA05g10970, CA07g09820
OG0002308	CDY27467, CDY55525	CA01g25580, CA03g08950
OG0002310	CDY52499, CDY59816, CDY00010, CDX80683, CDX86189, CDY05587, CDY41909	CA09g10940, CA06g26960, CA08g10820
OG0002311	CDY07152	CA06g10190, CA03g20560, CA03g20550, CA03g20570
OG0002312	CDY61957, CDY12910, CDY12909	CA10g05570, CA10g05820
OG0002313	CDX87128, CDY19836	CA03g20580
OG0002314	CDY45451, CDY53367, CDX97878, CDY51361	CA12g01150, CA12g00610
OG0002316	CDX86937, CDY00247	CA06g13640
OG0002317	CDY46386, CDY39752, CDY71891, CDX67492	CA01g02960
OG0002318	CDY55764, CDX81008, CDX98936, CDX70090	CA11g15580
OG0002320	CDX93135, CDX89627	CA01g31490, CA11g10800
OG0002322	CDY54367, CDY29180, CDY64459	CA02g19870, CA02g19880, CA00g96260, CA03g17900, CA03g29670
OG0002324	CDY61751, CDY47653, CDX98260, CDX67716	CA00g43000, CA10g20890, CA10g19340
OG0002325	CDY24950, CDY07640, CDX93240	CA10g14420, CA09g05540, CA10g04960
OG0002326	CDX90030, CDY15179	CA10g10410, CA11g18240, CA08g08230
OG0002327	CDY21940, CDY22101, CDX90902, CDY53779	CA03g09150, CA06g27600, CA06g25740
OG0002328	CDY71795, CDY66094, CDY27458	CA08g14930, CA04g00210
OG0002329	CDY16481, CDY25671, CDX77264	CA08g05670
OG0002331	CDX76083, CDY65769, CDX74831, CDY20481	CA01g02700
OG0002333	CDY67456, CDY00652	CA09g10540, CA10g13330, CA09g10180
OG0002334	CDY18351, CDX93284, CDY44630, CDX74865, CDX78269, CDX73443	CA12g04500
OG0002335	CDY68762, CDX78109, CDX73618	CA09g06020, CA09g00330, CA08g07470
OG0002336	CDY06073, CDX71992	CA09g13040
OG0002337	CDY35525, CDY29914	CA07g13670, CA00g84830, CA04g06790
OG0002339	CDY18360, CDY29147, CDY39900, CDY65408, CDY38691	CA04g17210
OG0002340	CDY54061	CA10g06550
OG0002340	CDX91901, CDX74342, CDY07205, CDY51147	CA08g06960
OG0002341	CDY02813, CDY32707, CDY32991, CDY43861, CDX88670, CDY69580	CA04g04090
OG0002342	CDY28609	CA01g20350, CA00g25610
OG0002342	CDX95209	CA00g81740
OG0002343	CDX80065, CDY15766, CDX99950, CDY67708	CA12g13290, CA09g05820, CA00g79870, CA04g03540, CA01g29030, CA00g68310, CA04g14370, CA00g81520
OG0002344	CDX83959, CDX96824, CDY35065, CDY33357, CDY52854	CA03g30290, CA12g12820
OG0002346	CDX81801, CDY21767, CDY48462	CA10g01200
OG0002347	CDX87563, CDY45956, CDY45955, CDY65284, CDX88320, CDY48545, CDX68080, CDX87564	CA12g14080, CA04g13540
OG0002348	CDY07155, CDY51721, CDY01945, CDY01943, CDX97239, CDX91864, CDX74373	CA01g00460, CA00g64590
OG0002349	CDX85083, CDX77531, CDY69731, CDY35523	CA06g27930, CA03g10110, CA03g05190
OG0002351	CDX69595, CDY57895	CA10g21020
OG0002352	CDY50073, CDY19576, CDY27538, CDY37312, CDY52949, CDY46552	CA10g09180
OG0002353	CDY36434, CDY23303, CDY60850, CDY68556, CDY13440, CDX68762	CA01g09840, CA12g19140
OG0002355	CDY08055, CDX74106, CDY18853, CDY05256, CDY24700	CA01g25540
OG0002356	CDX88045, CDX80383, CDX87160, CDY16864	CA00g79480, CA00g94390, CA03g02730
OG0002358	CDX90257, CDY12063, CDY49412, CDY12760	CA03g04890, CA04g00660
OG0002359	CDY22853, CDY55669, CDY52948, CDY46554, CDX82213, CDY32409, CDY19581, CDY50074	CA06g15600, CA03g36630
OG0002360	CDY10133, CDY14973, CDY12535	CA06g00500, CA00g89100, CA00g89080, CA06g11220
OG0002361	CDX92213, CDY24439, CDX75961, CDY51935	CA04g21310, CA11g00190
OG0002362	CDX96756, CDX83895, CDX81847, CDY59498	CA00g78500, CA06g16350
OG0002363	CDX80103, CDY55381, CDY12735, CDY01193	CA12g21620, CA00g80900
OG0002364	CDX71911, CDY06021	CA03g19050, CA12g08810, CA06g05660
OG0002365	CDY46459, CDX73304, CDY28397, CDY28401, CDX73305, CDX93723, CDY48632, CDX91785, CDY46460	CA04g14740
OG0002366	CDY34241	CA03g07220
OG0002367	CDX81723, CDY53305	CA06g16770
OG0002367	CDY21845, CDY20135, CDX82428, CDX75834, CDY71748	CA03g34530
OG0002368	CDY36151	CA01g30930, CA01g30940, CA01g30950, CA12g06370, CA12g06300, CA00g97560, CA12g06320, CA12g06340, CA12g06290
OG0002369	CDY10884, CDY44096, CDY13264, CDX86777	CA03g18410, CA03g18400, CA01g02470
OG0002370	CDY13125, CDY37314, CDY27540, CDX82217, CDY32405	CA02g30600, CA03g36580
OG0002371	CDX88938, CDY30992, CDY06118, CDX72054, CDX67684, CDY33831	CA10g20280, CA05g00410
OG0002372	CDX81695, CDY33719	CA11g00410
OG0002372	CDX92215, CDY24441	CA05g10330
OG0002373	CDX83311, CDX95746	CA00g83860
OG0002374	CDX86908, CDY69766, CDY00273, CDY69982, CDX87243, CDY16780	CA03g16880, CA03g16890
OG0002375	CDY65450, CDX96237, CDY65451, CDY67677, CDY20238, CDY47084, CDY53477, CDX96236	CA12g15270, CA02g23240
OG0002376	CDY63435, CDY05137, CDX90794, CDX86798, CDY13243	CA06g05830, CA03g25600
OG0002377	CDY08829, CDY14529	CA12g09890
OG0002377	CDY21785, CDY71298, CDX99060	CA06g10030
OG0002378	CDX88572, CDX87348, CDY49387, CDY54093, CDX79346, CDX67972	CA09g18310, CA03g32060
OG0002379	CDX94030, CDY58477, CDX79047, CDX82813, CDY71341, CDX76424, CDY47107	CA02g17870
OG0002380	CDY40715, CDX74141, CDY27759, CDY05177, CDY27760, CDY18820	CA00g66990
OG0002381	CDY60025, CDY02821, CDY58877	CA02g10710, CA06g02760
OG0002382	CDY57769, CDY55104	CA08g17800, CA03g08220, CA08g17820, CA00g72650, CA01g26990, CA01g27020
OG0002383	CDY47540, CDY21865	CA06g17100, CA03g31770, CA08g03130, CA08g03110
OG0002384	CDX72384, CDY13513, CDX68929, CDX75314, CDY45024, CDY28278	CA06g03490
OG0002385	CDY15348, CDY69097, CDY70980, CDY35050, CDX83963	CA08g14220
OG0002386	CDY11426, CDX76642, CDX89141, CDY63308	CA00g80910
OG0002387	CDX74756, CDY18910, CDX95656, CDY53888	CA03g16800
OG0002388	CDY13800	CA01g26810
